Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,P3 Mean FITC-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,P2 Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,P2 Mean SSC-A,P3 Mean SSC-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,P2 Mean FSC-Width,P3 Mean FSC-Width,All Events  Mean Time,P1 Mean Time,V1L Mean Time,V1R Mean Time,H1-UR Mean Time,H1-UL Mean Time,H1-LL Mean Time,H1-LR Mean Time,P2 Mean Time,P3 Mean Time,All Events  CV FITC-A,P1 CV FITC-A,V1L CV FITC-A,V1R CV FITC-A,H1-UR CV FITC-A,H1-UL CV FITC-A,H1-LL CV FITC-A,H1-LR CV FITC-A,P2 CV FITC-A,P3 CV FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A,P3 rCV FITC-A
01-Well-A1,1,,200000,173084,2960,170124,0,0,1553,112587,199826,114140,100.00%,86.54%,1.48%,85.06%,0.00%,0.00%,0.78%,56.29%,99.91%,57.07%,100.00%,86.54%,1.71%,98.29%,0.00%,0.00%,1.36%,98.64%,99.91%,65.94%,109443.4,112379.4,1563.9,114307.5,####,####,863.9,106352.2,109538.5,104916.9,12495,12687.7,10366.4,12728.1,####,####,10826.7,12313.5,12490.2,12293.3,10440.7,10250.1,8249.4,10284.9,####,####,8989.2,9806.3,10371.1,9795.2,681.7,691.8,667.1,692.2,####,####,673.2,678.2,681.7,678.1,484175.2,486227.7,367778.8,488288.6,####,####,378862.1,487312,484589.8,485836.4,58.92%,51.79%,211.36%,49.71%,####,####,146.42%,36.61%,58.82%,38.65%,42.87%,40.99%,149.89%,40.19%,####,####,127.74%,35.09%,42.83%,35.67%
01-Well-A2,1,,200000,179144,2014,177130,0,1,1386,122820,196019,124207,100.00%,89.57%,1.01%,88.56%,0.00%,0.00%,0.69%,61.41%,98.01%,62.10%,100.00%,89.57%,1.12%,98.88%,0.00%,0.00%,1.12%,98.88%,98.01%,69.33%,90663,92383,3405.2,93394.7,####,653.9,3884.7,87253.8,90968.7,86322.8,11659,11751.2,10641.7,11763.8,####,6381.1,11077.9,11488.6,11672.4,11484,10795.3,10705.6,9576.4,10718.4,####,10173.9,9730.6,10154.1,10776.2,10149.4,666.4,677.7,655.9,678,####,654.4,669.9,670.6,666.5,670.6,299296.6,297809.3,273380,298087.1,####,50335,286853.1,297125.7,305218.4,297009.1,56.94%,48.40%,127.40%,47.04%,####,0.00%,112.11%,33.68%,56.96%,35.34%,38.38%,37.04%,123.10%,36.57%,####,0.00%,121.51%,32.31%,38.33%,32.79%
01-Well-A3,1,,200000,181728,181651,77,0,0,127332,45,197204,127377,100.00%,90.86%,90.83%,0.04%,0.00%,0.00%,63.67%,0.02%,98.60%,63.69%,100.00%,90.86%,99.96%,0.04%,0.00%,0.00%,99.96%,0.04%,98.60%,70.09%,420.7,420.7,385.2,83996.8,####,####,377.6,86611,418.4,408,11527.3,11526.8,11526.6,11989.6,####,####,11465.6,11503.2,11541.1,11465.6,11183.1,10656.3,10656.2,10904,####,####,10636.5,10451.7,11183.3,10636.4,685.2,692.4,692.4,692.5,####,####,680.7,667.4,685.5,680.7,380789.8,381757.2,381802.1,275768.4,####,####,378536.7,261465.3,386082.2,378495.3,521.72%,445.90%,68.51%,40.66%,####,####,61.73%,35.14%,511.99%,424.50%,66.13%,62.85%,62.84%,40.73%,####,####,58.37%,30.04%,66.25%,58.39%
01-Well-A4,1,,200000,175147,140961,34186,0,0,105356,16282,198664,121638,100.00%,87.57%,70.48%,17.09%,0.00%,0.00%,52.68%,8.14%,99.33%,60.82%,100.00%,87.57%,80.48%,19.52%,0.00%,0.00%,86.61%,13.39%,99.33%,69.45%,12738.9,13117.6,10727.6,22972.4,####,####,11266.3,23319.9,12754.5,12879.8,13091.3,12593,11509.6,17059.8,####,####,12069.6,15417.2,13097.3,12517.7,13662.9,11285.7,10152.7,15957.8,####,####,10957.4,14182.4,13645.9,11389.1,691.4,710.1,694.4,775.1,####,####,691.3,723.1,691.7,695.5,662986.1,666784.4,656240.3,710261.3,####,####,652771.4,708306.1,667386.2,660205.1,101.90%,78.49%,23.97%,86.53%,####,####,23.43%,94.77%,101.67%,72.94%,34.28%,31.71%,25.41%,17.08%,####,####,25.03%,11.95%,34.26%,29.03%
01-Well-A5,2,,200000,175088,72800,102288,0,0,52380,59715,195603,112095,100.00%,87.54%,36.40%,51.14%,0.00%,0.00%,26.19%,29.86%,97.80%,56.05%,100.00%,87.54%,41.58%,58.42%,0.00%,0.00%,46.73%,53.27%,97.80%,64.02%,37750.6,38905.6,8145.7,60797.8,####,####,9151.8,58577.6,37767.3,35481.8,11471,11630.1,9609,13068.6,####,####,10342,11972.6,11481,11210.6,10601.4,10585.5,8062.4,12381.1,####,####,8728.4,10805.2,10530.7,9834.8,663.1,673.7,632.2,703.2,####,####,653.6,673.2,663,664,199954,196736.6,210285.8,187093.4,####,####,203846.4,178661.2,204252.9,190429.8,120.65%,114.78%,66.01%,77.85%,####,####,58.84%,72.32%,120.92%,111.95%,100.14%,93.33%,61.32%,87.69%,####,####,53.15%,88.15%,101.15%,78.08%
01-Well-A6,1,,200000,158748,157177,1571,0,0,83817,70,188762,83887,100.00%,79.37%,78.59%,0.79%,0.00%,0.00%,41.91%,0.03%,94.38%,41.94%,100.00%,79.37%,99.01%,0.99%,0.00%,0.00%,99.92%,0.08%,94.38%,52.84%,3855.6,4166.4,4005.8,20243,####,####,3769,30704.4,3862,3791.5,9994.5,10534.8,10357.4,28283.5,####,####,10443.9,13954.9,10017.6,10446.8,8828.8,9179.5,8971.9,29948.3,####,####,8539,11815.6,8838.4,8541.7,625,648.2,643.6,1105.1,####,####,650.2,687.3,624.2,650.3,130883.2,127507.4,127279.6,150299.9,####,####,118931.9,132208.9,138147,118942.9,101.69%,79.08%,67.70%,49.41%,####,####,54.00%,89.29%,103.19%,61.08%,70.40%,64.13%,63.51%,14.50%,####,####,51.09%,22.84%,71.29%,51.12%
01-Well-A7,1,,200000,184495,30346,154149,0,0,25143,105200,197568,130343,100.00%,92.25%,15.17%,77.07%,0.00%,0.00%,12.57%,52.60%,98.78%,65.17%,100.00%,92.25%,16.45%,83.55%,0.00%,0.00%,19.29%,80.71%,98.78%,70.65%,22719.3,23023.4,12796.9,25036.6,####,####,13840.6,23884.3,22773.4,21946.9,12448.3,12455.2,9038.8,13127.8,####,####,9635.4,12763.9,12462.4,12160.4,12478.4,11857.8,8262.7,12565.6,####,####,9258.8,12148.6,12453.1,11591.2,686.5,695.3,652,703.8,####,####,661.3,690.9,686.8,685.2,398122.2,400621.3,376115.5,405445.6,####,####,380415.8,403862.1,402915.9,399339.3,57.66%,42.94%,24.86%,37.97%,####,####,21.17%,25.78%,57.64%,31.55%,33.65%,31.86%,12.76%,26.93%,####,####,12.24%,22.64%,33.62%,28.06%
01-Well-A8,1,,10328,3166,1958,1208,0,0,819,679,6303,1498,100.00%,30.65%,18.96%,11.70%,0.00%,0.00%,7.93%,6.57%,61.03%,14.50%,100.00%,30.65%,61.84%,38.16%,0.00%,0.00%,54.67%,45.33%,61.03%,47.32%,4097,11646,4725.4,22863.2,####,####,6013.4,24133,3296.1,14226.5,12566.5,12420,11824.3,13385.4,####,####,11244.7,13883.5,13419.4,12440.8,32805.9,9816.1,9450,10409.4,####,####,9854.1,11605.9,36955.2,10648.1,655.8,740.9,738.6,744.7,####,####,706.1,722.8,653.3,713.7,2257892.8,2998335.8,2873371.8,3200885,####,####,2971323.8,3043056.3,744100.4,3003838,221.44%,102.10%,119.86%,46.93%,####,####,103.49%,47.13%,266.59%,89.24%,190.17%,118.25%,155.43%,22.67%,####,####,144.54%,21.93%,196.93%,80.22%
01-Well-A9,1,,200000,183148,1557,181591,0,0,970,129185,196557,130155,100.00%,91.57%,0.78%,90.80%,0.00%,0.00%,0.49%,64.59%,98.28%,65.08%,100.00%,91.57%,0.85%,99.15%,0.00%,0.00%,0.75%,99.25%,98.28%,71.07%,74014.5,75699,2504.6,76326.6,####,####,2766,72273.1,74168.8,71755.1,14118.7,11715.1,10285.7,11727.3,####,####,10514.2,11479.4,14022.6,11472.2,19522.3,11104.4,9847.5,11115.1,####,####,9921.6,10653.3,19194.7,10647.8,672.2,680.2,666.4,680.3,####,####,671.8,672.7,672.5,672.7,272599.3,272146.5,253165.8,272309.2,####,####,258303,272155.7,277200.3,272052.4,58.43%,42.98%,149.00%,41.87%,####,####,144.66%,29.61%,58.10%,30.87%,35.29%,33.59%,125.86%,33.27%,####,####,127.15%,29.23%,35.28%,29.49%
01-Well-A10,1,,200000,179180,1524,177656,0,0,856,117135,194982,117991,100.00%,89.59%,0.76%,88.83%,0.00%,0.00%,0.43%,58.57%,97.49%,59.00%,100.00%,89.59%,0.85%,99.15%,0.00%,0.00%,0.73%,99.27%,97.49%,65.85%,49523.3,50874.2,3138.1,51283.7,####,####,3144,50132.2,49695.7,49791.3,11875.5,11649.1,10407.2,11659.7,####,####,10776.2,11687.1,11903,11680.5,10924.8,10660.4,9878.6,10667.2,####,####,10235.3,10722.5,10908.5,10718.9,678.5,688.4,674.6,688.6,####,####,681.6,677.7,679,677.7,280448.9,277817.5,237142.2,278166.5,####,####,245260.2,274389.7,287425.4,274178.3,52.02%,44.38%,144.69%,43.35%,####,####,146.53%,29.91%,52.01%,31.07%,35.70%,34.00%,130.16%,33.70%,####,####,116.55%,29.25%,35.65%,29.51%
