,Tube Name:,RI
22,01-Well-B11,161980.4
20,01-Well-B9,160282.2
61,01-Well-F2,150116.6
14,01-Well-B3,148657.8
41,01-Well-D6,136894.6
35,01-Well-C12,134386.0
46,01-Well-D11,133435.5
45,01-Well-D10,132903.6
70,01-Well-F11,121366.4
64,01-Well-F5,120663.2
57,01-Well-E10,120058.7
51,01-Well-E4,117254.1
29,01-Well-C6,116261.0
25,01-Well-C2,115251.6
12,01-Well-B1,112241.0
52,01-Well-E5,111808.9
95,01-Well-H12,108346.2
81,01-Well-G10,108180.2
54,01-Well-E7,105605.2
0,01-Well-A1,104916.9
56,01-Well-E9,103795.7
72,01-Well-G1,100065.5
34,01-Well-C11,97992.6
27,01-Well-C4,92292.1
49,01-Well-E2,91715.6
30,01-Well-C7,91545.1
60,01-Well-F1,89373.6
39,01-Well-D4,86954.5
1,01-Well-A2,86322.8
93,01-Well-H10,85658.8
48,01-Well-E1,85374.7
63,01-Well-F4,84330.3
73,01-Well-G2,79780.9
71,01-Well-F12,79682.0
40,01-Well-D5,79644.4
13,01-Well-B2,77617.2
77,01-Well-G6,73999.5
94,01-Well-H11,73684.2
8,01-Well-A9,71755.1
32,01-Well-C9,69572.4
86,01-Well-H3,67325.6
11,01-Well-A12,66526.1
17,01-Well-B6,66450.2
10,01-Well-A11,64270.8
69,01-Well-F10,63643.8
89,01-Well-H6,63584.0
76,01-Well-G5,62710.8
47,01-Well-D12,56987.4
83,01-Well-G12,54644.4
33,01-Well-C10,54575.8
31,01-Well-C8,54427.4
90,01-Well-H7,51435.0
58,01-Well-E11,50089.5
9,01-Well-A10,49791.3
59,01-Well-E12,49785.2
44,01-Well-D9,47953.3
55,01-Well-E8,46934.2
75,01-Well-G4,43748.8
82,01-Well-G11,42382.6
21,01-Well-B10,39064.7
78,01-Well-G7,33721.8
80,01-Well-G9,24280.1
15,01-Well-B4,23579.9
18,01-Well-B7,23322.1
6,01-Well-A7,21946.9
19,01-Well-B8,19995.3
88,01-Well-H5,17321.6
38,01-Well-D3,17206.5
26,01-Well-C3,16654.4
74,01-Well-G3,15912.3
37,01-Well-D2,14723.6
65,01-Well-F6,14568.1
7,01-Well-A8,14226.5
3,01-Well-A4,12879.8
53,01-Well-E6,12382.4
68,01-Well-F9,11984.7
43,01-Well-D8,10366.3
36,01-Well-D1,9486.6
79,01-Well-G8,7839.8
85,01-Well-H2,4577.7
23,01-Well-B12,4512.7
16,01-Well-B5,4268.9
24,01-Well-C1,4082.4
67,01-Well-F8,4070.4
42,01-Well-D7,3881.0
5,01-Well-A6,3791.5
92,01-Well-H9,2929.9
91,01-Well-H8,2111.5
87,01-Well-H4,1261.6
2,01-Well-A3,408.0
66,01-Well-F7,370.4
