Tube Name:,strain_number,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P2 Mean FITC-A,All Events  rCV FITC-A,P1 rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P2 rCV FITC-A
01-Well-A1,1,,200000,192644,39433,160567,2,5,140784,16865,157656,100.00%,96.32%,19.72%,80.28%,0.00%,0.00%,70.39%,8.43%,78.83%,100.00%,96.32%,19.72%,80.28%,0.00%,0.00%,89.30%,10.70%,78.83%,8235.5,8384.2,3148.9,9484.7,71098.5,4134.6,6797.6,20899.9,8306.9,47.94%,46.98%,27.60%,38.19%,110.11%,15.77%,44.84%,21.43%,49.84%
01-Well-A2,1,,200000,193920,4412,195588,6,6,2799,120392,123203,100.00%,96.96%,2.21%,97.79%,0.00%,0.00%,1.40%,60.20%,61.60%,100.00%,96.96%,2.21%,97.79%,0.00%,0.00%,2.27%,97.72%,61.60%,118845.9,121190,551.4,121514.3,244129.1,3613.1,3803,129819.6,126956.1,41.54%,40.48%,157.49%,40.44%,49.75%,127.71%,152.79%,41.32%,42.36%
01-Well-A3,2,,200000,191139,119821,80179,10,8,67162,37027,104207,100.00%,95.57%,59.91%,40.09%,0.00%,0.00%,33.58%,18.51%,52.10%,100.00%,95.57%,59.91%,40.09%,0.01%,0.01%,64.45%,35.53%,52.10%,15216.9,15701.8,722.6,36877.4,41428.1,4063.9,1339.5,41821.2,15727.6,136.29%,134.82%,76.21%,51.66%,55.00%,30.40%,82.05%,43.09%,137.79%
01-Well-A4,1,,200000,186961,198915,1085,5,1,62849,11,62866,100.00%,93.48%,99.46%,0.54%,0.00%,0.00%,31.42%,0.01%,31.43%,100.00%,93.48%,99.46%,0.54%,0.01%,0.00%,99.97%,0.02%,31.43%,1264.8,1296.1,1217.3,9957.5,39092.3,6835,1285.2,46529.3,1296.2,52.25%,50.48%,52.00%,15.62%,11.94%,0.00%,55.03%,48.49%,55.04%
01-Well-A5,1,,200000,193183,5310,194690,9,9,4437,129190,133645,100.00%,96.59%,2.66%,97.35%,0.00%,0.00%,2.22%,64.60%,66.82%,100.00%,96.59%,2.66%,97.35%,0.01%,0.01%,3.32%,96.67%,66.82%,57622.7,59066.8,503.1,59180.5,51941.7,4905.5,4355.3,61806.5,59894.6,34.03%,32.93%,168.66%,32.91%,94.55%,87.97%,157.15%,32.19%,33.47%
01-Well-A6,1,,200000,184616,4275,195725,6,1,1436,92597,94040,100.00%,92.31%,2.14%,97.86%,0.00%,0.00%,0.72%,46.30%,47.02%,100.00%,92.31%,2.14%,97.86%,0.01%,0.00%,1.53%,98.47%,47.02%,161406.7,167092.3,482.7,164921.6,1180201.1,278.4,1273.9,175580.3,172980.8,43.32%,42.39%,152.48%,42.35%,136.64%,0.00%,132.23%,43.52%,44.18%
01-Well-A7,1,,200000,192796,5227,194773,8,8,4245,149294,153555,100.00%,96.40%,2.61%,97.39%,0.00%,0.00%,2.12%,74.65%,76.78%,100.00%,96.40%,2.61%,97.39%,0.01%,0.01%,2.76%,97.23%,76.78%,79171.8,81356.4,423.7,81285.1,51899,7546.5,4815.6,83741.3,81553.8,35.53%,34.31%,194.37%,34.35%,35.26%,52.08%,167.17%,33.71%,34.88%
01-Well-A8,1,,200000,193319,4579,195421,8,3,1518,91912,93441,100.00%,96.66%,2.29%,97.71%,0.00%,0.00%,0.76%,45.96%,46.72%,100.00%,96.66%,2.29%,97.71%,0.01%,0.00%,1.62%,98.36%,46.72%,221975.2,226382.5,496.2,227164.8,1556241.6,5178.2,1364.6,237599.8,233867.4,42.58%,41.62%,157.72%,41.41%,67.84%,16.29%,131.83%,41.73%,42.59%
01-Well-A9,1,,200000,191774,33879,166121,8,6,173482,6040,179536,100.00%,95.89%,16.94%,83.06%,0.00%,0.00%,86.74%,3.02%,89.77%,100.00%,95.89%,16.94%,83.06%,0.00%,0.00%,96.63%,3.36%,89.77%,7086.9,7289.2,3082.4,7903.5,35123.2,4577,6695.1,20384.7,7156.9,35.01%,33.59%,22.40%,28.79%,27.77%,63.79%,33.16%,14.72%,34.37%
01-Well-A10,1,,200000,193325,5526,194474,8,4,2711,142873,145596,100.00%,96.66%,2.76%,97.24%,0.00%,0.00%,1.36%,71.44%,72.80%,100.00%,96.66%,2.76%,97.24%,0.01%,0.00%,1.86%,98.13%,72.80%,122214.1,125315.7,446.6,125674.1,1656108.3,4662.3,2649.6,129923.9,127634.5,37.77%,36.51%,169.62%,36.45%,20.46%,26.37%,139.18%,36.08%,36.94%
