,Tube Name:,RI
22,01-Well-B11,243648.8
69,01-Well-F10,234498.0
56,01-Well-E9,233778.1
7,01-Well-A8,226382.5
65,01-Well-F6,214309.3
14,01-Well-B3,174339.5
62,01-Well-F3,173431.6
5,01-Well-A6,167092.3
16,01-Well-B5,163348.9
87,01-Well-H4,133848.8
9,01-Well-A10,125315.7
45,01-Well-D10,122544.8
94,01-Well-H11,121977.5
1,01-Well-A2,121190.0
77,01-Well-G6,115203.7
24,01-Well-C1,113358.6
27,01-Well-C4,112943.0
53,01-Well-E6,104867.2
61,01-Well-F2,82647.3
18,01-Well-B7,82332.0
52,01-Well-E5,82161.9
6,01-Well-A7,81356.4
49,01-Well-E2,77690.2
68,01-Well-F9,72789.2
82,01-Well-G11,71604.1
30,01-Well-C7,69280.5
43,01-Well-D8,69077.5
70,01-Well-F11,67572.9
33,01-Well-C10,64410.0
32,01-Well-C9,61393.7
4,01-Well-A5,59066.8
46,01-Well-D11,45629.1
86,01-Well-H3,45489.0
51,01-Well-E4,41963.8
48,01-Well-E1,41588.5
54,01-Well-E7,38889.8
17,01-Well-B6,38503.7
93,01-Well-H10,36835.9
39,01-Well-D4,36699.0
57,01-Well-E10,35928.7
78,01-Well-G7,35905.4
31,01-Well-C8,33745.4
20,01-Well-B9,32485.2
10,01-Well-A11,31925.2
58,01-Well-E11,31808.1
25,01-Well-C2,30005.2
79,01-Well-G8,27616.2
12,01-Well-B1,25455.7
85,01-Well-H2,25306.1
13,01-Well-B2,24265.5
73,01-Well-G2,23882.7
40,01-Well-D5,22665.9
37,01-Well-D2,19731.8
28,01-Well-C5,19563.9
84,01-Well-H1,17861.0
64,01-Well-F5,16853.0
72,01-Well-G1,11209.2
29,01-Well-C6,9794.6
89,01-Well-H6,9648.3
0,01-Well-A1,8384.2
8,01-Well-A9,7289.2
90,01-Well-H7,6144.5
34,01-Well-C11,5523.4
91,01-Well-H8,4293.2
80,01-Well-G9,4239.0
41,01-Well-D6,4160.8
21,01-Well-B10,3814.5
60,01-Well-F1,3782.8
44,01-Well-D9,3759.3
74,01-Well-G3,3701.3
75,01-Well-G4,3701.2
63,01-Well-F4,3633.3
50,01-Well-E3,2447.5
55,01-Well-E8,1686.2
15,01-Well-B4,1420.7
3,01-Well-A4,1296.1
38,01-Well-D3,1280.4
26,01-Well-C3,1239.2
67,01-Well-F8,1185.6
36,01-Well-D1,958.1
11,01-Well-A12,338.0
23,01-Well-B12,322.2
47,01-Well-D12,291.7
35,01-Well-C12,289.4
