Tube Name:,Time,Medium,All Events ,P1 Events,V1L Events,V1R Events,P2 Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P3 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,P2 % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P3 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,P2 % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,H2-UR % Parent,H2-UL % Parent,H2-LL % Parent,H2-LR % Parent,P3 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P2 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P3 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P2 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P3 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P2 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P3 Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,V1L Mean SSC-A,V1R Mean SSC-A,P2 Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,H2-UR Mean SSC-A,H2-UL Mean SSC-A,H2-LL Mean SSC-A,H2-LR Mean SSC-A,P3 Mean SSC-A,All Events  Mean PE-A,P1 Mean PE-A,V1L Mean PE-A,V1R Mean PE-A,P2 Mean PE-A,H1-UR Mean PE-A,H1-UL Mean PE-A,H1-LL Mean PE-A,H1-LR Mean PE-A,H2-UR Mean PE-A,H2-UL Mean PE-A,H2-LL Mean PE-A,H2-LR Mean PE-A,P3 Mean PE-A,All Events  Mean FSC-Width,P1 Mean FSC-Width,V1L Mean FSC-Width,V1R Mean FSC-Width,P2 Mean FSC-Width,H1-UR Mean FSC-Width,H1-UL Mean FSC-Width,H1-LL Mean FSC-Width,H1-LR Mean FSC-Width,H2-UR Mean FSC-Width,H2-UL Mean FSC-Width,H2-LL Mean FSC-Width,H2-LR Mean FSC-Width,P3 Mean FSC-Width,All Events  Mean Time,P1 Mean Time,V1L Mean Time,V1R Mean Time,P2 Mean Time,H1-UR Mean Time,H1-UL Mean Time,H1-LL Mean Time,H1-LR Mean Time,H2-UR Mean Time,H2-UL Mean Time,H2-LL Mean Time,H2-LR Mean Time,P3 Mean Time
A1,0:00:00,#1,100000,18462,5252,13210,96633,5,5002,80,12964,15,7541,70569,18508,18051,100.00%,18.46%,5.25%,13.21%,96.63%,0.00%,5.00%,0.08%,12.96%,0.02%,7.54%,70.57%,18.51%,18.05%,100.00%,18.46%,28.45%,71.55%,96.63%,0.03%,27.71%,0.44%,71.82%,0.02%,7.80%,73.03%,19.15%,97.77%,3078,15219.8,95.5,21232.9,3078.7,6550.5,101.2,59.5,21227.3,18323.7,138,5.7,15981.4,15275.3,386.8,1799.4,5003.8,525.4,385.9,2107.7,5120.6,209.4,511.4,5180.9,4075.3,-3.6,363.8,1787.7,5534.2,19882.8,18234,20538.3,5530.2,19437.7,18101.1,16842,20475.4,30362,16284,1988.8,14631.2,19801,5028.4,19759.8,18178.8,20388.4,5032,20000.6,18126.7,19473.6,20371.4,33705.3,17684.8,1034.1,15097.4,19745.3,173,704.5,1953.7,207.8,173.2,2488.4,1997.5,-83.1,202.2,1834.4,1863.6,0,143.8,699,284.2,663.1,657.3,665.3,284.1,663,654.9,655.8,663.7,759.8,517.1,218,441,661.2,269618.8,265212.3,268765.5,263799.7,278708.7,127309.4,269187.6,245212.8,263808.6,202996.6,277447.5,280109,273944.7,265178.9
A2,1:53:40,#1,100000,23385,7457,15928,96363,3,6938,82,14439,44,12799,61176,22344,21462,100.00%,23.39%,7.46%,15.93%,96.36%,0.00%,6.94%,0.08%,14.44%,0.04%,12.80%,61.18%,22.34%,21.46%,100.00%,23.39%,31.89%,68.11%,96.36%,0.01%,32.33%,0.38%,67.28%,0.05%,13.28%,63.48%,23.19%,91.78%,4127.1,16630.8,113.7,24363.6,4163.1,8278.6,128.7,174.2,21293.9,24501.2,271.7,12.7,17715.5,14369.3,1264.7,4869.4,12616.5,1242.4,1266.3,8614.4,12739.6,275.8,1003.4,6660,8222.2,-13.8,776.2,4795.7,18357,67932.2,63562.6,69977.9,18493.6,64192.6,62155.3,53357.2,65184.2,92298.6,43888.2,2392.2,47886.2,64159.8,14415.9,48756.7,43671.6,51137.4,14529.3,38116.1,42090.1,42290.4,46826,74282.8,37723.9,1651.2,36384.3,45276.5,543.3,1836.7,4720.2,486.7,544.9,3837.7,4706.9,24.3,391.7,3016.4,3554.4,1.2,304.6,1785.8,338.6,822.4,812,827.3,339.2,786.7,808.3,803.8,808.4,966,525.9,238.9,505.8,808.3,212621.3,214441.8,213483.6,214890.3,220309,225386.3,213317.8,217355.3,214173.2,207164.4,219853.3,220191.9,220916.5,213910.4
A3,1:56:30,#2,100000,7585,2478,5107,98061,0,2291,86,4867,1,4469,86272,7319,7244,100.00%,7.59%,2.48%,5.11%,98.06%,0.00%,2.29%,0.09%,4.87%,0.00%,4.47%,86.27%,7.32%,7.24%,100.00%,7.59%,32.67%,67.33%,98.06%,0.00%,31.63%,1.19%,67.19%,0.00%,4.56%,87.98%,7.46%,95.50%,1592.1,19858,97.2,29446.3,1594.9,####,95.9,107.4,26407.3,13327.6,108.9,5.9,21230.3,17773.8,536.8,6606.1,16902.7,1610.1,539.4,####,17998.2,131.3,1476.8,4199.9,10091.2,-3.8,1109,6685.9,5767.8,47795.6,42660,50287.4,5784.5,####,41826.1,32242.9,48027,20021.9,28817.5,2159.5,34448.3,45878.5,4260.3,39718.7,33719.1,42629.8,4276.4,####,32426.1,30125.3,40228.2,24679.1,29057,776.9,30392,37640.8,220.6,2451.4,6244.5,611,221,####,6569.7,44.9,557.2,1687.4,4136.4,1.2,420.5,2452.6,274,770.3,748.8,780.7,274.1,####,744.4,752.2,768.1,552.3,461.8,247.2,476.1,760.4,438072.8,457169.9,456479.5,457504.9,446566.7,####,457868.7,411001.5,457934.3,502556,453762.2,444776,463273,457356.4
A4,1:57:55,#3,100000,3865,1425,2440,97824,1,1197,88,2192,2,3557,90798,3467,3478,100.00%,3.86%,1.43%,2.44%,97.82%,0.00%,1.20%,0.09%,2.19%,0.00%,3.56%,90.80%,3.47%,3.48%,100.00%,3.86%,36.87%,63.13%,97.82%,0.03%,34.42%,2.53%,63.02%,0.00%,3.64%,92.82%,3.54%,89.99%,1074.9,25736.5,122.8,40695.3,1072.4,3112,141.6,68.9,35249.5,24001,112.9,4.1,30023.3,22267.3,419.7,9528.2,22090,2191.9,420,2276.3,24912.4,190.6,1948.2,6914.6,10119.8,-3.4,1553.7,9807.3,3968.6,41099.3,38072.9,42866.7,3967.7,33774.5,35671.5,28865.8,40721,42921,24648.4,2133.3,30770,38681.2,3123.6,36673.2,35027.2,37634.4,3122.5,37619.6,31512.2,32775.4,35344.2,35971.6,33803.8,997.9,27265.8,33961,194.6,3686.7,8623.4,803.6,193.9,1026.1,9461.4,78,715.6,2151.7,4704,2.9,567.9,3709.6,256.6,768.8,754.4,777.2,256.6,767.6,749.9,761.6,770.9,722.9,444,240.3,493.1,763.5,404133.9,398129.3,400853.8,396538.1,412930.3,701478,405767.6,352091.1,394794.3,236772.5,413477.8,413262.8,403762.8,397578.7
A5,1:59:07,#4,340484,6801,2741,4060,337456,0,1724,687,3817,8,2650,328927,5871,6228,100.00%,2.00%,0.81%,1.19%,99.11%,0.00%,0.51%,0.20%,1.12%,0.00%,0.78%,96.61%,1.72%,1.83%,100.00%,2.00%,40.30%,59.70%,99.11%,0.00%,27.68%,11.03%,61.29%,0.00%,0.79%,97.47%,1.74%,91.57%,523,23944.7,77,40058.3,524.4,####,90,88.2,37881,11910.9,174.2,5.2,29754.8,23251.1,261.3,11422.1,23251.7,3435.6,259.7,####,34671.3,251.5,3165.8,21222.9,26978.4,6.7,2345.2,11565.5,3104.8,25702.1,26646.5,25064.5,3097.1,####,23633,28118.2,24719,2890276,47933.4,2403.9,17759.1,24793.3,2320.6,26204.4,27811,25119.8,2278.8,####,23427.2,32326.9,24567.2,2066969.1,85854.3,1260,18821.4,25107.6,135.1,4479.1,9279.3,1238.4,133.2,####,13186,273.2,1143,17473.1,13791,10.1,844.6,4380.7,252.4,695,705.5,687.9,252.5,####,689,747.5,689.6,1680.5,605.3,246.2,439.5,695.8,1476401.6,1493467.3,1384923.3,1566747.9,1481453.5,####,1537602.1,1088660.3,1573997.3,1519798,1460803.8,1480114.4,1565746.8,1510385.9
A6,2:01:37,#5,323515,9453,3108,6345,320623,1,2561,165,5887,2,3470,307937,9214,8614,100.00%,2.92%,0.96%,1.96%,99.11%,0.00%,0.79%,0.05%,1.82%,0.00%,1.07%,95.18%,2.85%,2.66%,100.00%,2.92%,32.88%,67.12%,99.11%,0.01%,29.73%,1.92%,68.34%,0.00%,1.08%,96.04%,2.87%,91.12%,957,30235.4,82.3,45005.4,956.6,6284.5,115.7,69.6,43833.5,2941,154.7,5.1,33055.9,29993.2,387.2,11786.2,28847.1,3429.2,387.8,5314.2,32276.8,139.8,3150.5,5965.4,29317,4.7,2294.2,11752.5,2976.1,25107.7,24376.2,25466.1,2975.8,26906.9,24247.8,22264.5,25273.2,23989.2,29712,2227.1,17923.8,24910.9,1734.3,23483.4,23268.8,23588.5,1734.9,20948.5,22803.6,27631.8,23306.4,13106.3,38605.5,851.3,17379.3,23239.5,161.8,4392.4,10807.4,1250.1,162,2574.7,12027.8,21.2,1149.9,1721.6,12280.3,5.3,835.9,4362.5,260.3,703.9,707,702.4,260.4,579.8,710.5,712.1,703.4,668.7,620.1,250.5,455.9,705.7,1491020.4,1553289.3,1547536.8,1556107,1496080.6,2991581,1570942.6,1314452.5,1557578,2205649.5,1571668,1493221.8,1563005.8,1557060.9
A7,2:50:30,#1,490244,134427,42337,92090,486008,15,40573,136,87156,40,49044,303026,133898,127880,100.00%,27.42%,8.64%,18.78%,99.14%,0.00%,8.28%,0.03%,17.78%,0.01%,10.00%,61.81%,27.31%,26.08%,100.00%,27.42%,31.49%,68.51%,99.14%,0.01%,31.73%,0.11%,68.15%,0.01%,10.09%,62.35%,27.55%,95.13%,2427.1,8299.7,132.2,12054.6,2429,4505.4,134.2,44.7,11199.3,7048.3,134.3,6,8751.6,7676,589.2,1999.7,5452.4,412.4,589.5,6665.9,5471.1,369.3,342,9900.5,5068.8,2.5,274.5,1970.1,15400.2,49786.3,47641,50772.5,15399.5,67479.7,47340.8,38201.6,48494.5,77910.7,44345.1,1994.6,35115.4,48119.7,12521,40541.3,37123.4,42112.6,12520.8,59708.6,36848,31669.6,39778,70317,36445.3,842.5,30169.7,38842.1,227.9,746.1,1994.7,172.1,228,2406.7,1986.5,-65.3,144.7,3596.1,1949.4,-0.9,114.7,729.1,339.2,774.8,771.6,776.3,339.2,832.1,769.8,756.6,764.2,977.3,679.3,224.3,474.7,766,1519453.5,1572102.8,1573896.3,1571278.1,1523463.4,2354237,1576111.6,1484707.9,1571764,1743210.6,1572745.1,1495861.6,1567812.4,1573142.5
A8,2:51:36,#2,405074,62749,19534,43215,401694,2,17972,482,40995,13,24012,312617,65052,59451,100.00%,15.49%,4.82%,10.67%,99.17%,0.00%,4.44%,0.12%,10.12%,0.00%,5.93%,77.18%,16.06%,14.68%,100.00%,15.49%,31.13%,68.87%,99.17%,0.00%,30.23%,0.81%,68.96%,0.00%,5.98%,77.82%,16.19%,94.74%,3112.9,18648.8,96.6,27034.8,3118.7,10482.2,99.8,124.4,24485.4,11696,100.4,4.2,19198.6,16915.7,718.1,4193.1,11679.5,809.1,719.3,16920.3,12051.3,143,687.4,16972.8,10611.8,0,521.1,4118.8,8536.6,41137.6,38124,42499.8,8550.3,58165,37655.4,35528.3,40435.5,99605.4,37009.2,2121.6,28921.7,39555.9,6651.8,33897.2,29799.8,35749.4,6660.7,34761.4,29329.5,29981.4,33750.5,69624.6,32410,867.1,24985.8,32383.5,284.2,1568,4333.6,317.9,284.3,5430.5,4443.7,20.7,270.3,6582.1,4182.2,1.2,204.8,1530,297.7,761.8,753,765.8,297.8,838.7,749.7,769.1,753.2,1038,679.4,234.4,461.8,752.3,1496763.6,1544951.1,1532707.6,1550485.4,1500487.6,1023509,1537458.9,1381235.3,1549370.4,1712131.6,1524330.5,1489596.5,1543983.8,1544388.6
B1,2:53:10,#1,558033,182932,61696,121236,553089,516,53702,2490,103005,203,85776,294699,172411,159713,100.00%,32.78%,11.06%,21.73%,99.11%,0.09%,9.62%,0.45%,18.46%,0.04%,15.37%,52.81%,30.90%,28.62%,100.00%,32.78%,33.73%,66.27%,99.11%,0.32%,33.62%,1.56%,64.49%,0.04%,15.51%,53.28%,31.17%,87.31%,8514.3,24094.4,153.1,36278,8521.2,23125.2,153.5,146.3,29023.6,17609.4,181.6,3.6,27218.4,18847,3246,9001.7,23173.5,1789.8,3249,21469.8,24112.8,267.5,1186,26900.7,18626.6,-4.6,1132,8946.2,16642.7,42422,36009.6,45685.2,16662.3,53824.9,34585.3,35659.2,40337.9,142418,31812.1,2418.5,33323.6,38374.3,14211.3,35476.4,29531.5,38501.6,14221.1,47788.1,28672.6,31791,33982,152163.6,29642.1,1210.2,28626.1,32207.2,1234.6,3349.2,8606.1,674,1235.7,8076.1,8924.6,174.2,450.8,10225.2,7080.3,0.2,429.3,3320.3,388.9,817.3,783.2,834.6,389,853.3,771.5,784,800.4,1129.2,581.6,242.6,542.6,790.6,1492791.8,1503494.4,1502837,1503829,1499302.9,1530523.1,1500867.9,1490105.1,1498455.1,1399697,1505755,1492756.1,1507400.3,1499239.9
B2,2:55:06,#1,401671,54922,19150,35772,398046,8,16435,1099,33067,33,30543,314311,53159,50609,100.00%,13.67%,4.77%,8.91%,99.10%,0.00%,4.09%,0.27%,8.23%,0.01%,7.60%,78.25%,13.23%,12.60%,100.00%,13.67%,34.87%,65.13%,99.10%,0.02%,32.47%,2.17%,65.34%,0.01%,7.67%,78.96%,13.35%,92.15%,5159.4,35368.4,81,54259,5161.4,7457,79.3,84.8,49958.5,15701.1,102.4,4,38555.3,32670.7,2125.8,14348.3,34791.9,3404.2,2123.5,60957.5,38009.3,351.7,3066.1,23789.8,23748.3,-3.5,2261.8,14364,6956.8,31597,29266.5,32844.6,6948.3,34268.3,28193.5,32705.7,31938.2,65985.9,26540.3,2457.5,22207.4,30739.1,5978.8,28635.1,26280,29895.8,5955.8,33494.9,24856.7,34591.1,28686.9,83939.5,31118.2,920.5,21222.1,27572,804.4,5255.6,12743,1247.4,803.5,21862.8,13841.3,274,1122.3,8937.1,9015.7,0.8,826.3,5237.6,311.7,735.8,736.5,735.4,311.8,705.8,732.4,780.3,736.3,768.2,500.2,269.4,453.7,736,1478245.5,1507192.1,1509568.4,1505920.1,1482954.1,1216967.3,1509579,1526907.3,1506419.1,1560307.5,1503066.1,1476260.1,1510929.9,1507844.5
