Tube Name:,Record Time:,All Events  Mean PE-A,H1-UL Mean PE-A,H1-LL Mean PE-A,Sample,PE-A,Condition
Jan-37,2019/11/18 23:19,92.7,19462.5,18.2,Blank,18.2,37
Feb-37,2019/11/18 23:20,3955.9,8856.3,502.3,pK3.1,8856.3,37
Mar-37,2019/11/18 23:31,25.7,9252.9,19.5,Blank,19.5,37
Apr-37,2019/11/18 23:32,4268.8,8900.3,321.7,pK3.1,8900.3,37
May-37,2019/11/19 0:35,6429.8,16484.5,423.5,pK3.1,16484.5,37
Jun-37,2019/11/19 0:36,90.8,15401.3,23.2,Blank,23.2,37
Jul-37,2019/11/19 1:31,47.7,11354.4,26.7,Blank,26.7,37
Aug-37,2019/11/19 1:33,6999.8,20394.9,395.1,pK3.1,20394.9,37
Sep-37,2019/11/19 1:52,25.1,18206.3,31.5,Blank,31.5,37
Oct-37,2019/11/19 1:53,8845,20460.3,358.9,pK3.1,20460.3,37
0-1,2019/11/19 15:58,45.1,16598.2,37.5,Blank,37.5,0
0-2,2019/11/19 15:59,4956.4,10953.4,129.1,pK3.1,10953.4,0
0-3,2019/11/19 16:00,2040,6429,213.7,Blank,213.7,0
0-4,2019/11/19 16:01,1750.6,6357.2,229,pK3.2,6357.2,0
0-5,2019/11/19 16:04,81.2,7820.4,47.3,Blank,47.3,0
0-6,2019/11/19 16:05,5869.3,11123.3,147.9,pK3.1,11123.3,0
0-7,2019/11/19 16:07,3209.4,6686.4,176.5,pK3.2,6686.4,0
0-8,2019/11/19 16:08,3534.7,6688.4,163.4,pK3.3,6688.4,0
0-9,2019/11/19 16:09,94.9,8319.6,90,Blank,90,0
0-10,2019/11/19 16:11,779.2,13659.3,133.3,pK3.1,13659.3,0
0-11,2019/11/19 16:12,414.7,8460.9,135.9,pK3.2,8460.9,0
0-12,2019/11/19 16:13,523.7,8254.8,121.1,pK3.3,8254.8,0
0-13,2019/11/19 16:15,131,14106,67.9,Blank,67.9,0
0-14,2019/11/19 16:17,1459.1,14470.7,131.6,pK3.1,14470.7,0
0-15,2019/11/19 16:18,55.4,18025,72.4,Blank,72.4,0
0-16,2019/11/19 16:20,1915.5,13607.3,129.1,pK3.1,13607.3,0
0-17,2019/11/19 16:23,46.2,15453.3,69.9,Blank,69.9,0
0-18,2019/11/19 16:25,2785.2,12606.2,114.1,pK3.1,12606.2,0
0-19,2019/11/19 16:27,46.1,14292.2,68.2,Blank,68.2,0
0-20,2019/11/19 16:28,5707.8,12811,77.1,pK3.1,12811,0
Nov-37,2019/11/19 16:30,79.1,13401.3,126.3,Blank,126.3,37
Dec-37,2019/11/19 16:32,10773,40981.4,322.1,pK3.1,40981.4,37
0-21,2019/11/19 17:19,26,11490.2,67.6,Blank,67.6,0
0-22,2019/11/19 17:21,4017.7,11537,119.4,pK3.1,11537,0
BF,2019/11/19 17:23,69.3,12354.6,51.9,Blank,51.9,0
1F,2019/11/19 17:24,4508.2,10620.8,162.1,pK3.1,10620.8,0
2F,2019/11/19 17:26,2399.5,6338,177.6,pK3.2,6338,0
3F,2019/11/19 17:28,2312,6120.1,145.6,pK3.3,6120.1,0
BF1,2019/11/21 10:39,41.7,12841.6,76.8,Blank,76.8,0
1F1,2019/11/21 10:40,9230.9,23899,108.2,pK3.1,23899,0
2F1,2019/11/21 10:42,4868.3,14657.6,109.3,pK3.2,14657.6,0
3F1,2019/11/21 10:45,5447.6,13904.4,87.1,pK3.3,13904.4,0
BF2,2019/11/22 15:38,89.2,47732.5,84.5,Blank,84.5,0
1F2,2019/11/22 15:40,22977.7,58945.8,106.2,pK3.1,58945.8,0
2F2,2019/11/22 15:42,11051.3,35431.8,119.9,pK3.2,35431.8,0
3F2,2019/11/22 15:45,12645.3,32483.3,85.2,pK3.3,32483.3,0
BF3,2019/11/29 23:38,443.2,11716.1,446.2,Blank,446.2,0
1F3,2019/11/29 23:39,1085.5,64793.9,126,pK3.1,64793.9,0
2F3,2019/11/29 23:41,1727.2,50859.4,116.3,pK3.2,50859.4,0
3F3,2019/11/29 23:44,2592.2,52486,92.7,pK3.3,52486,0
