,sample,doubling_time,rate,expression,FITC-lim,FITC,FSC,FITC/FSC,media,strain,norm_exp,norm_fitc,Translation_Activity
0,1-1,28.12,1.4789952,0,82.6,168.6,48391.1,34.84111748,RDM_Glucose,pK4-Blank,0.0,0.8404785643070788,51.5298455155561
1,1-2,28.06,1.48230342,26269,3832.6,8034.9,44839.1,1791.940516,RDM_Glucose,ptrc-c8,0.4650615207577233,1.0,2656.199555303365
2,1-3,29.42,1.4135538,133179,20940.8,37617.5,47413.6,7933.90504,RDM_Glucose,ptrc-b11,0.51825865651778,0.9536696666244138,11215.001618131153
3,1-4,29.5,1.40960328,93754,10452.5,29111.3,49255.6,5910.251829,RDM_Glucose,j23101-b11,0.3999095709739889,0.9005035913362492,8331.110363784399
4,2-1,34.92,1.19106318,0,139.0,200.6,33104.5,60.59599148,RDM_Glycerol,pK4-Blank,0.0,1.0,72.17365430742171
5,2-2,34.68,1.19917524,27819,4625.6,6689.7,32973.0,2028.84178,RDM_Glycerol,ptrc-c8,0.4925024342745862,0.832580368143972,2432.936828453527
6,2-3,34.24,1.2146934600000001,144747,24892.4,30391.5,29711.8,10228.76433,RDM_Glycerol,ptrc-b11,0.5632748838403885,0.7704778805932311,12424.813135532282
7,2-4,35.19,1.18199448,108207,18285.4,24011.9,30900.8,7770.640242,RDM_Glycerol,j23101-b11,0.4615591329050751,0.7427631945260736,9184.853872109865
8,3-1,42.29,0.98330592,0,120.2,141.5,25643.2,55.18032071,MOPS_CAA_Glucose,pK4-Blank,0.0,0.7053838484546361,54.2591360216416
9,3-2,41.89,0.9927300000000001,42430,6275.8,7010.3,25104.6,2792.436446,MOPS_CAA_Glucose,ptrc-c8,0.7511728777551563,0.8724813003273221,2772.1354330375807
10,3-3,39.96,1.04082138,224292,33999.1,39445.0,26832.0,14700.73047,MOPS_CAA_Glucose,ptrc-b11,0.8728198183473814,1.0,15300.834574793447
11,3-4,41.8,0.99484014,181399,27038.5,32327.8,28434.5,11369.21697,MOPS_CAA_Glucose,j23101-b11,0.7737610796884464,1.0,11310.553402125175
12,4-1,54.73,0.75993762,0,91.4,129.4,19760.8,65.48,MOPS_CAA_Glycerol,pK4-Blank,0.0,0.6450648055832503,49.7607153576
13,4-2,54.28,0.76614228,49054,6076.6,6215.2,19815.2,3136.58,MOPS_CAA_Glycerol,ptrc-c8,0.8684429494556077,0.7735254950279407,2403.0665526024
14,4-3,53.64,0.77532366,250002,32430.3,32541.5,20410.3,15943.67,MOPS_CAA_Glycerol,ptrc-b11,0.9728688505451913,0.8249841551527444,12361.5045782322
15,4-4,54.61,0.7615155,212055,23949.4,25118.8,20704.9,12131.81,MOPS_CAA_Glycerol,j23101-b11,0.904524863716633,0.777003074752999,9238.561358055
16,5-1,71.16,0.5844162,0,181.5,126.2,18162.0,69.49,MOPS_Glucose,pK4-Blank,0.0,0.6291126620139582,40.611081738
17,5-2,70.52,0.5897727,56485,6184.2,5651.4,18910.6,2988.48,MOPS_Glucose,ptrc-c8,1.0,0.7033566068028226,1762.523918496
18,5-3,68.28,0.60905004,256974,31963.8,29510.7,18530.9,15925.13,MOPS_Glucose,ptrc-b11,1.0,0.748148054252757,9699.2010635052
19,5-4,69.44,0.5989557,234438,24162.2,22865.5,19611.1,11659.47,MOPS_Glucose,j23101-b11,1.0,0.7073014557130396,6983.506015478999
