sample,doubling_time,rate,expression,FITC-lim,FITC,FSC,FITC/FSC
1-1,"28.12 ",0.02464992,0,"82.60 ","168.60 ","48391.10 ",34.84111748
1-2,"28.06 ",0.024705057,26269,"3832.60 ","8034.90 ","44839.10 ",1791.940516
1-3,"29.42 ",0.02355923,133179,"20940.80 ","37617.50 ","47413.60 ",7933.90504
1-4,"29.50 ",0.023493388,93754,"10452.50 ","29111.30 ","49255.60 ",5910.251829
2-1,"34.92 ",0.019851053,0,"139.00 ","200.60 ","33104.50 ",60.59599148
2-2,"34.68 ",0.019986254,27819,"4625.60 ","6689.70 ","32973.00 ",2028.84178
2-3,"34.24 ",0.020244891,144747,"24892.40 ","30391.50 ","29711.80 ",10228.76433
2-4,"35.19 ",0.019699908,108207,"18285.40 ","24011.90 ","30900.80 ",7770.640242
3-1,"42.29 ",0.016388432,0,"120.20 ","141.50 ","25643.20 ",55.18032071
3-2,"41.89 ",0.0165455,42430,"6275.80 ","7010.30 ","25104.60 ",2792.436446
3-3,"39.96 ",0.017347023,224292,"33999.10 ","39445.00 ","26832.00 ",14700.73047
3-4,"41.80 ",0.016580669,181399,"27038.50 ","32327.80 ","28434.50 ",11369.21697
4-1,"54.73 ",0.012665627,0,"91.40 ","129.40 ","19760.80 ","65.48 "
4-2,"54.28 ",0.012769038,49054,"6076.60 ","6215.20 ","19815.20 ","3136.58 "
4-3,"53.64 ",0.012922061,250002,"32430.30 ","32541.50 ","20410.30 ","15943.67 "
4-4,"54.61 ",0.012691925,212055,"23949.40 ","25118.80 ","20704.90 ","12131.81 "
5-1,"71.16 ",0.00974027,0,"181.50 ","126.20 ","18162.00 ","69.49 "
5-2,"70.52 ",0.009829545,56485,"6184.20 ","5651.40 ","18910.60 ","2988.48 "
5-3,"68.28 ",0.010150834,256974,"31963.80 ","29510.70 ","18530.90 ","15925.13 "
5-4,"69.44 ",0.009982595,234438,"24162.20 ","22865.50 ","19611.10 ","11659.47 "
