,sample,#_well,rate,doubling_time,expression,P1 Mean FITC-A,P3 Mean FITC-A,P1 Median FITC-A,P3 Median FITC-A,P1 rCV FITC-A,P3 rCV FITC-A,P1 rSD FITC-A,P3 rSD FITC-A,P1 CV FITC-A,P3 CV FITC-A,P1 SD FITC-A,P3 SD FITC-A,P1 Mean FSC-A,P3 Mean FSC-A,P1 Median FSC-A,P3 Median FSC-A,P1 rCV FSC-A,P3 rCV FSC-A,P1 rSD FSC-A,P3 rSD FSC-A,P1 CV FSC-A,P3 CV FSC-A,P1 SD FSC-A,P3 SD FSC-A,media,strain,FITC/FSC_ALL,FITC/FSC_EXP,norm_exp,FITC-lim
0,#01,B2,1.657717923,0.418133369,0,215.6,160.6,117.0,140.8,102.13%,71.92%,119.5,101.3,706.05%,69.36%,1522.2,111.4,38165.8,38613.1,36224.9,36640.0,26.81%,27.07%,9712.1,9919.5,32.61%,31.14%,12445.8,12023.7,0 $\mathrm{\mu M}$,pK4-Blank,56.49036572009495,41.59210216221956,0.0,
1,#01,B3,1.721468374,0.402648803,0,151.9,163.8,120.7,143.7,98.88%,71.40%,119.3,102.6,489.60%,69.28%,743.5,113.5,37536.0,37978.8,35625.3,36013.1,26.81%,27.21%,9551.7,9798.7,32.05%,31.95%,12031.9,12132.3,0 $\mathrm{\mu M}$,pK4-Blank,40.46781756180734,43.129324781193716,0.0,
2,#01,B4,1.680121975,0.412557654,0,142.9,163.3,122.4,144.1,96.30%,70.27%,117.9,101.3,394.92%,68.84%,564.1,112.4,38642.6,39144.1,36620.4,37080.4,27.76%,27.96%,10164.8,10367.8,31.64%,31.86%,12225.7,12470.1,0 $\mathrm{\mu M}$,pK4-Blank,36.97991335986709,41.71765349056436,0.0,
3,#21,B6,1.112900869,0.62282922,0,136.0,136.0,92.5,120.1,118.29%,73.20%,109.4,87.9,844.92%,69.77%,1148.8,94.9,36872.2,37396.3,35262.9,35803.3,28.08%,28.37%,9902.3,10157.7,30.90%,30.63%,11394.5,11452.6,2 $\mathrm{\mu M}$,pK4-Blank,36.88415662748629,36.36723419161788,0.0,
4,#21,B7,1.116167312,0.621006522,0,104.9,136.5,93.8,121.5,116.33%,72.97%,109.1,88.7,506.46%,68.52%,531.3,93.5,38162.4,38736.4,36550.8,37148.0,28.38%,28.61%,10371.4,10628.2,30.52%,30.83%,11648.8,11943.2,2 $\mathrm{\mu M}$,pK4-Blank,27.487789027943734,35.23817391394141,0.0,
5,#21,B8,1.124376181,0.616472665,0,98.9,135.7,92.3,120.4,118.54%,73.14%,109.4,88.1,387.43%,68.52%,383.2,93.0,38190.3,38764.3,36588.6,37172.1,28.46%,28.67%,10414.8,10657.8,29.75%,30.08%,11361.9,11658.8,2 $\mathrm{\mu M}$,pK4-Blank,25.896628201401928,35.00643633446237,0.0,
6,#04,C10,1.416057753,0.489490756,120969,29453.4,30702.1,28571.7,29052.6,32.08%,30.53%,9165.0,8871.1,40.24%,33.97%,11852.5,10429.7,37567.7,37763.5,35995.9,36162.9,28.83%,28.69%,10378.9,10374.8,31.48%,30.99%,11826.9,11704.2,0 $\mathrm{\mu M}$,Ptrc,7840.086031351401,8130.099169833305,1.0,
7,#02,C2,1.544459126,0.448796066,90674,23082.5,24270.6,22500.2,22921.7,29.86%,28.17%,6719.3,6456.1,41.06%,33.49%,9476.6,8127.3,39082.1,39249.3,37256.7,37413.8,27.75%,27.87%,10340.3,10426.8,31.09%,30.95%,12149.4,12148.1,0 $\mathrm{\mu M}$,J23101,5906.156526901062,6183.702639282737,0.9073842428123968,
8,#02,C3,1.594324941,0.43475904,92846,22833.2,23825.0,22132.8,22484.5,30.33%,28.79%,6713.2,6473.0,39.83%,33.33%,9093.9,7941.0,37507.6,37670.5,35866.7,36007.5,28.74%,28.60%,10306.6,10299.3,31.89%,31.15%,11961.3,11734.6,0 $\mathrm{\mu M}$,J23101,6087.619575765979,6324.577587236698,0.9291196749692282,
9,#02,C4,1.602774489,0.432467066,94534,23077.1,23975.2,22329.8,22658.6,30.07%,28.80%,6715.0,6525.0,38.82%,32.39%,8957.4,7764.7,38181.6,38332.3,36530.2,36690.8,28.72%,28.76%,10491.0,10550.8,31.68%,30.86%,12095.2,11828.1,0 $\mathrm{\mu M}$,J23101,6044.036918306199,6254.568601414473,0.946011668284482,
10,#03,C5,1.539815107,0.450149617,63153,15914.0,16474.7,15332.6,15533.7,29.20%,28.04%,4477.3,4355.6,37.38%,31.91%,5949.2,5256.4,39355.3,39494.0,37703.9,37830.3,28.39%,28.40%,10705.9,10743.7,30.74%,30.50%,12097.0,12044.9,0 $\mathrm{\mu M}$,PLtetO-1,4043.673914313955,4171.443763609663,0.9554594005779384,
11,#03,C6,1.44858086,0.478500855,63605,15422.6,15950.3,14863.3,15049.5,28.86%,27.75%,4289.0,4176.7,37.08%,31.70%,5718.3,5056.3,37193.8,37338.5,35609.9,35760.7,28.60%,28.45%,10182.8,10175.4,31.10%,30.46%,11568.6,11374.9,0 $\mathrm{\mu M}$,PLtetO-1,4146.551306938253,4271.810597640505,0.9622978350000756,
12,#03,C7,1.41191483,0.490927049,63500,15639.6,16188.3,15047.8,15248.2,29.15%,28.00%,4386.0,4269.1,37.75%,32.36%,5904.1,5238.3,37831.3,38025.8,36266.4,36444.9,28.59%,28.43%,10367.7,10360.6,31.23%,30.76%,11812.9,11697.0,0 $\mathrm{\mu M}$,PLtetO-1,4134.03715970638,4257.188540412036,0.9607092606321013,
13,#04,C8,1.523846627,0.454866762,114305,28146.2,31020.6,28232.5,29462.5,35.19%,30.74%,9934.5,9058.1,48.05%,34.42%,13525.4,10678.4,39443.3,39901.8,37638.7,38080.0,28.50%,28.31%,10726.9,10778.7,32.22%,30.82%,12707.0,12298.5,0 $\mathrm{\mu M}$,Ptrc,7135.8633785712655,7774.2357487632125,0.9449115062536683,
14,#04,C9,1.476151179,0.469563816,120810,29403.0,30545.3,28491.0,28934.1,31.90%,30.43%,9088.8,8803.9,39.40%,33.58%,11584.5,10257.2,37631.0,37759.8,36001.9,36124.1,28.80%,28.73%,10368.9,10377.5,31.10%,30.71%,11704.1,11594.6,0 $\mathrm{\mu M}$,Ptrc,7813.5048231511255,8089.370176748816,0.9986856136696178,
15,#23,D10,0.965635805,0.717814291,66097,15475.0,15738.0,14804.3,14905.8,28.82%,28.32%,4265.9,4221.0,33.74%,30.94%,5221.3,4869.1,39358.2,39404.0,37602.5,37688.9,28.43%,28.42%,10688.8,10709.4,32.49%,29.40%,12788.3,11584.8,2 $\mathrm{\mu M}$,PLtetO-1,3931.836313652556,3994.0107603289002,1.0,
16,#21,D2,1.042210769,0.6650739,0,104.3,136.9,95.1,122.1,115.05%,72.49%,109.4,88.5,452.60%,68.16%,471.9,93.3,36790.8,37330.2,35140.8,35660.3,28.57%,28.88%,10038.1,10297.8,31.04%,30.36%,11420.2,11333.9,2 $\mathrm{\mu M}$,pK4-Blank,28.34947867401633,36.67272074620549,0.0,
17,#21,D3,1.068380235,0.648783231,0,104.8,139.7,98.3,124.8,112.36%,72.23%,110.5,90.1,322.69%,67.98%,338.0,95.0,37877.1,38440.7,36219.6,36751.8,28.65%,29.04%,10378.2,10673.2,30.54%,30.69%,11568.4,11797.7,2 $\mathrm{\mu M}$,pK4-Blank,27.668432905370263,36.34168992760277,0.0,
18,#21,D4,1.070737303,0.647355031,0,99.1,135.3,95.2,121.3,112.60%,72.24%,107.2,87.6,270.63%,66.51%,268.3,90.0,35641.2,36165.1,34223.1,34790.2,28.25%,28.46%,9669.5,9902.7,29.30%,29.56%,10442.7,10691.2,2 $\mathrm{\mu M}$,pK4-Blank,27.804899947252057,37.411758850383386,0.0,
19,#22,D5,0.989857557,0.700249421,97754,23432.4,24426.9,22816.4,23192.5,30.75%,29.26%,7015.0,6786.0,37.91%,31.30%,8883.4,7646.2,39620.0,39805.3,38018.1,38197.6,28.34%,28.20%,10774.4,10772.3,29.34%,28.91%,11624.1,11507.6,2 $\mathrm{\mu M}$,J23101,5914.285714285714,6136.594875556772,0.9782345465280349,
20,#22,D6,0.999696745,0.693357445,95612,23180.8,24072.1,22560.4,22889.4,30.24%,28.90%,6823.2,6615.7,37.19%,31.13%,8619.9,7493.0,37653.1,37772.3,36266.9,36371.5,27.97%,27.84%,10142.3,10124.3,28.57%,28.31%,10758.8,10694.8,2 $\mathrm{\mu M}$,J23101,6156.412088247714,6372.950548417755,0.956799327522541,
21,#22,D7,1.00334584,0.690835755,99929,23192.5,24168.6,22576.7,22954.3,30.92%,29.41%,6981.0,6750.9,39.88%,33.43%,9249.1,8079.6,37903.9,38043.4,36402.2,36579.2,28.13%,27.92%,10239.4,10214.2,29.80%,28.67%,11293.5,10907.9,2 $\mathrm{\mu M}$,J23101,6118.763504547026,6352.902211684549,1.0,
22,#23,D8,0.98231945,0.705622983,63645,15621.3,15826.8,14926.5,14998.3,28.74%,28.30%,4289.2,4244.5,32.72%,30.43%,5112.0,4815.9,39782.7,39837.6,38150.5,38220.5,28.57%,28.52%,10899.5,10899.6,29.36%,28.91%,11681.4,11518.5,2 $\mathrm{\mu M}$,PLtetO-1,3926.6565617718256,3972.8296885354544,0.9629030061878754,
23,#23,D9,0.975582059,0.710496031,60481,15534.3,15852.7,14898.0,15014.7,28.96%,28.33%,4314.1,4254.2,34.74%,30.76%,5397.0,4876.4,39752.6,39856.2,38069.1,38202.2,28.70%,28.63%,10927.1,10938.2,31.19%,29.13%,12398.8,11610.9,2 $\mathrm{\mu M}$,PLtetO-1,3907.744399108486,3977.47401909866,0.9150339652329152,
24,#24,E2,0.86998705,0.796732757,53946,14464.7,25387.0,13200.6,24654.6,144.88%,39.56%,19125.2,9753.0,102.71%,41.90%,14856.8,10637.3,39219.4,39093.7,37600.7,37591.5,28.23%,28.05%,10614.2,10546.2,30.90%,28.71%,12117.9,11221.9,2 $\mathrm{\mu M}$,Ptrc,3688.1492322677045,6493.885204009854,0.4459489621307938,
25,#24,E3,0.895868751,0.7737151,60943,14518.6,25544.2,13302.0,24758.0,144.94%,38.74%,19279.9,9591.7,101.79%,41.39%,14777.8,10572.3,39806.6,39805.7,38090.3,38120.8,28.39%,28.35%,10812.0,10808.3,29.42%,29.31%,11712.6,11668.3,2 $\mathrm{\mu M}$,Ptrc,3647.2846211432275,6417.221654185206,0.5037902272483032,
