Time,OD,Sample,ID
2020-3-18 12:38:15,0.02,#1-1,#1
2020-3-18 12:40:23,0.022,#1-2,#2
2020-3-18 12:41:33,0.023,#2-1,#3
2020-3-18 12:42:47,0.028,#2-2,#4
2020-3-18 12:45:00,0.025,#3-1,#5
2020-3-18 12:46:39,0.028,#3-2,#6
2020-3-18 12:48:37,0.028,#4-1,#7
2020-3-18 12:50:59,0.037,#4-2,#8
2020-3-18 12:53:34,0.032,#5-1,#9
2020-3-18 12:54:50,0.039,#5-2,#10
2020-3-18 13:52:26,0.151,#1-1,#11
2020-3-18 13:53:28,0.16,#1-2,#12
2020-3-18 13:55:00,0.166,#2-1,#13
2020-3-18 13:56:27,0.202,#2-2,#14
2020-3-18 14:23:02,0.013,#1-1,#15
2020-3-18 14:24:11,0.01,#1-2,#16
2020-3-18 14:25:43,0.01,#2-1,#17
2020-3-18 14:27:12,0.01,#2-2,#18
2020-3-18 14:28:26,0.009,#3-1,#19
2020-3-18 14:29:41,0.01,#3-2,#20
2020-3-18 14:31:24,0.009,#4-1,#21
2020-3-18 14:32:19,0.011,#4-2,#22
2020-3-18 14:33:28,0.01,#5-1,#23
2020-3-18 14:34:42,0.012,#5-2,#24
2020-3-18 14:58:04,0.019,#1-1,#25
2020-3-18 14:59:19,0.02,#1-2,#26
2020-3-18 15:02:13,0.021,#2-1,#27
2020-3-18 15:04:23,0.026,#2-2,#28
2020-3-18 15:05:29,0.022,#3-1,#29
2020-3-18 15:06:40,0.025,#3-2,#30
2020-3-18 15:07:50,0.022,#4-1,#31
2020-3-18 15:09:24,0.031,#4-2,#32
2020-3-18 15:10:47,0.026,#5-1,#33
2020-3-18 15:12:26,0.032,#5-2,#34
2020-3-18 15:24:31,0.037,#1-1,#35
2020-3-18 15:26:39,0.041,#1-2,#36
2020-3-18 15:28:00,0.04,#2-1,#37
2020-3-18 15:29:38,0.052,#2-2,#38
2020-3-18 15:31:58,0.044,#3-1,#39
2020-3-18 15:33:21,0.054,#3-2,#40
2020-3-18 15:34:33,0.048,#4-1,#41
2020-3-18 15:35:44,0.061,#4-2,#42
2020-3-18 15:36:58,0.051,#5-1,#43
2020-3-18 15:38:07,0.063,#5-2,#44
2020-3-18 15:59:09,0.095,#1-1,#45
2020-3-18 16:00:42,0.107,#1-2,#46
2020-3-18 16:01:41,0.101,#2-1,#47
2020-3-18 16:02:48,0.13,#2-2,#48
2020-3-18 16:04:01,0.104,#3-1,#49
2020-3-18 16:05:06,0.129,#3-2,#50
2020-3-18 16:06:13,0.117,#4-1,#51
2020-3-18 16:07:24,0.146,#4-2,#52
2020-3-18 16:08:22,0.124,#5-1,#53
2020-3-18 16:09:20,0.152,#5-2,#54
2020-3-18 16:22:21,0.005,#4-2,#55
2020-3-18 16:24:58,0.004,#5-2,#56
2020-3-18 16:26:30,0.198,#1-1,#57
2020-3-18 16:34:25,0.005,#1-2,#58
2020-3-18 16:35:39,0.004,#2-1,#59
2020-3-18 16:36:57,0.004,#2-2,#60
2020-3-18 16:38:03,0.003,#3-1,#61
2020-3-18 16:39:28,0.004,#3-2,#62
2020-3-18 16:41:04,0.003,#4-1,#63
2020-3-18 16:42:18,0.005,#4-2,#64
2020-3-18 16:44:11,0.004,#5-1,#65
2020-3-18 16:45:24,0.005,#5-2,#66
2020-3-18 17:10:13,0.006,#1-1,#67
2020-3-18 17:11:33,0.007,#1-2,#68
2020-3-18 17:12:28,0.006,#2-1,#69
2020-3-18 17:13:44,0.008,#2-2,#70
2020-3-18 17:15:06,0.007,#3-1,#71
2020-3-18 17:16:13,0.008,#3-2,#72
2020-3-18 17:17:11,0.007,#4-1,#73
2020-3-18 17:18:24,0.01,#4-2,#74
2020-3-18 17:19:24,0.008,#5-1,#75
2020-3-18 17:50:41,0.025,#5-2,#76
2020-3-18 17:51:58,0.018,#1-1,#77
2020-3-18 17:52:59,0.02,#1-2,#78
2020-3-18 17:53:53,0.02,#2-1,#79
2020-3-18 17:55:03,0.026,#2-2,#80
2020-3-18 17:56:00,0.02,#3-1,#81
2020-3-18 17:56:53,0.023,#3-2,#82
2020-3-18 17:58:38,0.023,#4-1,#83
2020-3-18 18:00:08,0.031,#4-2,#84
2020-3-18 18:01:11,0.025,#5-1,#85
2020-3-18 18:02:22,0.034,#5-2,#86
2020-3-18 18:15:32,0.037,#1-1,#87
2020-3-18 18:16:42,0.037,#1-2,#88
2020-3-18 18:18:14,0.039,#2-1,#89
2020-3-18 18:19:36,0.051,#2-2,#90
2020-3-18 18:20:48,0.039,#3-1,#91
2020-3-18 18:23:08,0.047,#3-2,#92
2020-3-18 18:24:32,0.046,#4-1,#93
2020-3-18 18:25:57,0.066,#4-2,#94
2020-3-18 18:27:02,0.051,#5-1,#95
2020-3-18 18:28:03,0.071,#5-2,#96
2020-3-18 18:48:03,0.087,#1-1,#97
2020-3-18 18:49:21,0.096,#1-2,#98
2020-3-18 18:50:56,0.096,#2-1,#99
2020-3-18 18:52:12,0.128,#2-2,#100
2020-3-18 18:53:19,0.102,#3-1,#101
2020-3-18 18:54:50,0.137,#3-2,#102
2020-3-18 18:56:28,0.115,#4-1,#103
2020-3-18 18:57:49,0.157,#4-2,#104
2020-3-18 18:59:16,0.124,#5-1,#105
2020-3-18 19:43:56,0.004,#5-1,#115
2020-3-18 19:00:56,0.176,#5-2,#106
2020-3-18 19:33:56,0.003,#1-1,#107
2020-3-18 19:35:04,0.003,#1-2,#108
2020-3-18 19:35:58,0.003,#2-1,#109
2020-3-18 19:37:07,0.004,#2-2,#110
2020-3-18 19:38:10,0.004,#3-1,#111
2020-3-18 19:39:02,0.004,#3-2,#112
2020-3-18 19:41:02,0.004,#4-1,#113
2020-3-18 19:42:26,0.005,#4-2,#114
2020-3-18 19:33:00,0.006,#5-2,#116
2020-3-18 20:03:56,0.005,#1-1,#117
2020-3-18 20:05:34,0.006,#1-2,#118
2020-3-18 20:07:16,0.006,#2-1,#119
2020-3-18 20:09:21,0.009,#2-2,#120
2020-3-18 20:10:32,0.007,#3-1,#121
2020-3-18 20:12:51,0.009,#3-2,#122
2020-3-18 20:14:06,0.008,#4-1,#123
2020-3-18 20:15:11,0.012,#4-2,#124
2020-3-18 20:16:04,0.009,#5-1,#125
2020-3-18 20:16:49,0.013,#5-2,#126
2020-3-18 20:32:21,0.012,#1-1,#127
2020-3-18 20:33:31,0.014,#1-2,#128
2020-3-18 20:34:47,0.014,#2-1,#129
2020-3-18 20:37:00,0.021,#2-2,#130
2020-3-18 20:40:15,0.015,#3-1,#131
2020-3-18 20:41:31,0.019,#3-2,#132
2020-3-18 20:44:05,0.018,#4-1,#133
2020-3-18 20:45:26,0.028,#4-2,#134
2020-3-18 20:46:19,0.021,#5-1,#135
2020-3-18 20:47:21,0.032,#5-2,#136
2020-3-18 21:01:29,0.026,#1-1,#137
2020-3-18 21:02:41,0.03,#1-2,#138
2020-3-18 21:03:46,0.03,#2-1,#139
2020-3-18 21:04:48,0.044,#2-2,#140
2020-3-18 21:05:45,0.031,#3-1,#141
2020-3-18 21:06:58,0.038,#3-2,#142
2020-3-18 21:07:57,0.035,#4-1,#143
2020-3-18 21:09:08,0.052,#4-2,#144
2020-3-18 21:10:08,0.04,#5-1,#145
2020-3-18 21:11:04,0.058,#5-2,#146
2020-3-18 21:25:26,0.05,#1-1,#147
2020-3-18 21:26:33,0.059,#1-2,#148
2020-3-18 21:27:42,0.058,#2-1,#149
2020-3-18 21:28:51,0.085,#2-2,#150
2020-3-18 21:29:54,0.059,#3-1,#151
2020-3-18 21:30:59,0.079,#3-2,#152
2020-3-18 21:32:04,0.068,#4-1,#153
2020-3-18 21:33:12,0.103,#4-2,#154
2020-3-18 21:34:11,0.077,#5-1,#155
2020-3-18 21:35:14,0.112,#5-2,#156
2020-3-18 21:50:09,0.099,#1-1,#157
2020-3-18 21:52:22,0.119,#1-2,#158
2020-3-18 21:54:03,0.122,#2-1,#159
2020-3-18 21:55:54,0.181,#2-2,#160
2020-3-18 21:58:02,0.125,#3-1,#161
2020-3-18 21:59:09,0.182,#3-2,#162
2020-3-18 22:01:16,0.154,#4-1,#163
2020-3-18 22:06:39,0.184,#5-1,#165
2020-3-18 22:02:56,0.23,#4-2,#164
2020-3-18 22:05:17,0.245,#5-2,#166
2020-3-18 22:19:42,0.005,#1-2,#168
2020-3-18 22:11:55,0.178,#1-1,#167
2020-3-18 22:17:43,0.204,#2-1,#169
2020-3-18 22:21:07,0.004,#2-2,#170
2020-3-18 22:22:00,0.004,#3-1,#171
2020-3-18 22:23:02,0.004,#3-2,#172
2020-3-18 22:24:24,0.002,#4-1,#173
2020-3-18 22:25:59,0.004,#4-2,#174
2020-3-18 22:27:10,0.004,#5-1,#175
2020-3-18 22:28:05,0.005,#5-2,#176
2020-3-18 22:53:30,0.007,#1-2,#177
2020-3-18 22:54:44,0.007,#2-1,#178
2020-3-18 22:55:51,0.007,#2-2,#179
2020-3-18 22:57:00,0.008,#3-1,#180
2020-3-18 22:58:02,0.007,#3-2,#181
2020-3-18 22:59:02,0.004,#4-1,#182
2020-3-18 23:00:10,0.008,#4-2,#183
2020-3-18 23:01:24,0.008,#5-1,#184
2020-3-18 23:02:59,0.01,#5-2,#185
2020-3-18 23:24:09,0.013,#1-2,#186
