,Time,OD,Sample,All Events ,P1 Events,H2-UR Events,mCherry Events,H2-LL Events,GFP Events,All Events  % Total,P1 % Total,H2-UR % Total,mCherry % Total,H2-LL % Total,GFP % Total,All Events  % Parent,P1 % Parent,H2-UR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,H2-UR Mean FITC-A,mCherry Mean FITC-A,H2-LL Mean FITC-A,GFP Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,H2-UR Mean ECD-A,mCherry Mean ECD-A,H2-LL Mean ECD-A,GFP Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,H2-UR Mean FSC-A,mCherry Mean FSC-A,H2-LL Mean FSC-A,GFP Mean FSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,H2-UR rCV FSC-A,mCherry rCV FSC-A,H2-LL rCV FSC-A,GFP rCV FSC-A,GFP_ratio,mCherry_ratio
#1,0.0,0.02,#1-1,111639,100395,225,24908,4375,70887,100.00%,89.93%,0.20%,22.31%,3.92%,63.50%,100.00%,89.93%,0.22%,24.81%,4.36%,70.61%,25490.7,27664.0,6532.1,457.3,326.9,38978.0,11084.2,12196.3,15795.1,41912.4,410.2,2470.8,65710.5,72264.3,96730.8,60190.5,54179.9,77545.2,42.98%,37.57%,46.73%,33.12%,33.67%,38.84%,0.7399916160134143,0.26000838398658566
#2,0.035555555555561114,0.022000000000000002,#1-2,111009,100420,895,69618,5612,24295,100.00%,90.46%,0.81%,62.71%,5.06%,21.89%,100.00%,90.46%,0.89%,69.33%,5.59%,24.19%,10391.8,11215.5,6009.9,732.2,311.7,43966.2,31166.0,34105.2,14601.5,47609.0,431.0,3906.7,62603.4,67464.9,70435.4,61923.8,53821.4,86385.4,41.70%,36.92%,35.61%,34.12%,31.04%,43.58%,0.25866124893071,0.7413387510692899
#3,0.05500000000000682,0.023,#2-1,111116,100382,102,25633,4485,70162,100.00%,90.34%,0.09%,23.07%,4.04%,63.14%,100.00%,90.34%,0.10%,25.54%,4.47%,69.89%,28509.2,30808.0,10896.4,227.6,322.4,43957.9,11935.9,13071.9,27254.2,43503.3,399.0,2743.5,70234.8,76839.1,141733.9,61424.8,54738.8,83789.0,44.62%,39.27%,50.65%,32.93%,35.01%,41.09%,0.7323692759090433,0.2676307240909567
#4,0.07555555555558158,0.027999999999999997,#2-2,107516,100518,162,72910,5062,22384,100.00%,93.49%,0.15%,67.81%,4.71%,20.82%,100.00%,93.49%,0.16%,72.53%,5.04%,22.27%,9987.4,10468.0,8465.2,223.9,300.7,46149.2,31913.6,33773.5,21538.6,45394.5,414.9,3553.6,65484.6,69155.9,126115.1,63035.9,52329.3,92483.2,38.52%,35.66%,54.38%,32.32%,33.28%,46.30%,0.23491561181434598,0.765084388185654
#5,0.11250000000001137,0.025,#3-1,111039,100429,67,24669,4131,71562,100.00%,90.44%,0.06%,22.22%,3.72%,64.45%,100.00%,90.44%,0.07%,24.56%,4.11%,71.26%,22761.7,24623.0,12996.3,192.8,299.3,34459.6,10895.1,11888.3,32720.8,41917.9,373.6,2181.7,62993.3,68797.2,133906.8,59361.5,51143.2,73008.1,39.12%,34.49%,35.89%,31.72%,32.12%,34.89%,0.7436860780630349,0.2563139219369651
#6,0.13999999999998636,0.027999999999999997,#3-2,106667,100514,103,69200,6854,24357,100.00%,94.23%,0.10%,64.87%,6.43%,22.83%,100.00%,94.23%,0.10%,68.85%,6.82%,24.23%,9316.2,9715.9,12663.1,183.0,281.9,39441.9,29159.4,30689.7,32969.6,43441.1,375.8,2982.7,63558.7,66728.9,129691.5,62184.3,51297.7,83716.5,36.63%,34.29%,41.82%,31.90%,31.87%,40.52%,0.26031370863773107,0.7396862913622689
#7,0.17277777777781012,0.027999999999999997,#4-1,116589,107678,116,27495,5143,74924,100.00%,92.36%,0.10%,23.58%,4.41%,64.26%,100.00%,92.36%,0.11%,25.53%,4.78%,69.58%,23942.2,25398.8,12629.4,194.0,317.3,36389.6,11185.0,11993.7,31945.0,40654.1,404.6,2240.8,68009.0,72791.6,145724.5,61635.0,53009.5,78130.7,38.45%,34.87%,31.94%,31.82%,31.86%,35.23%,0.7315739669855955,0.2684260330144045
#8,0.21222222222223763,0.037000000000000005,#4-2,108197,100390,102,72635,4130,23523,100.00%,92.78%,0.09%,67.13%,3.82%,21.74%,100.00%,92.78%,0.10%,72.35%,4.11%,23.43%,8282.5,8724.1,16453.1,189.4,296.9,36523.5,29148.6,31142.6,42541.0,42044.3,413.1,2825.7,63145.3,67388.0,118643.6,63473.4,51274.8,82082.3,37.50%,34.17%,39.70%,32.68%,32.52%,37.94%,0.24462309459177284,0.7553769054082271
#9,0.2552777777777919,0.032,#5-1,108838,100458,91,24810,5115,70442,100.00%,92.30%,0.08%,22.80%,4.70%,64.72%,100.00%,92.30%,0.09%,24.70%,5.09%,70.12%,21075.4,22365.9,14938.3,198.5,310.2,31784.5,9455.7,10155.3,39284.3,35576.0,373.8,1874.7,64971.8,69674.8,134824.7,60069.2,52157.9,74245.7,38.92%,35.24%,27.84%,32.49%,31.32%,35.27%,0.7395064332419321,0.2604935667580679
#10,0.2763888888889028,0.039,#5-2,108394,100462,94,72641,3931,23796,100.00%,92.68%,0.09%,67.02%,3.63%,21.95%,100.00%,92.68%,0.09%,72.31%,3.91%,23.69%,8767.5,9268.2,14104.6,174.1,300.3,38491.8,27878.3,29807.9,36037.3,40219.2,416.8,2856.4,64344.8,68603.0,149520.9,63857.3,51263.5,85634.6,38.90%,35.41%,34.12%,33.85%,32.40%,38.91%,0.2467708333333333,0.7532291666666667
