Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,GR Events,GFP Events,H1-LL Events,mCherry Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,GFP % Total,H1-LL % Total,mCherry % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,GR Mean FITC-A,GFP Mean FITC-A,H1-LL Mean FITC-A,mCherry Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,GR Mean ECD-A,GFP Mean ECD-A,H1-LL Mean ECD-A,mCherry Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,GR Mean FSC-A,GFP Mean FSC-A,H1-LL Mean FSC-A,mCherry Mean FSC-A,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,V2L rCV FSC-A,V2R rCV FSC-A,GR rCV FSC-A,GFP rCV FSC-A,H1-LL rCV FSC-A,mCherry rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,V2L rCV FITC-A,V2R rCV FITC-A,GR rCV FITC-A,GFP rCV FITC-A,H1-LL rCV FITC-A,mCherry rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,V2L rCV ECD-A,V2R rCV ECD-A,GR rCV ECD-A,GFP rCV ECD-A,H1-LL rCV ECD-A,mCherry rCV ECD-A
#1,,100000,19506,59052,78558,508,78050,57861,1247,1335,18115,100.00%,19.51%,59.05%,78.56%,0.51%,78.05%,57.86%,1.25%,1.33%,18.12%,100.00%,24.83%,75.17%,78.56%,0.65%,99.35%,73.65%,1.59%,1.70%,23.06%,24476.8,97.9,34992.5,26328.1,3947.2,26473.8,34649.5,49401.0,-27.7,102.8,39587.8,131867.9,12368.0,42039.9,212.5,42312.1,12881.6,5183.8,38133.4,137999.1,25076.9,25920.3,26712.0,26515.5,22075.2,26544.4,26732.5,25892.6,21555.4,26230.5,58.41%,44.98%,45.17%,45.16%,47.07%,45.06%,45.06%,48.39%,42.62%,44.27%,100.58%,139.20%,42.49%,73.47%,162.81%,72.20%,42.29%,58.79%,118.81%,122.66%,62.27%,52.62%,37.96%,55.09%,184.25%,54.77%,37.26%,72.62%,102.38%,48.44%
#2,,100000,49383,33476,82859,2797,80062,29547,4037,5868,43407,100.00%,49.38%,33.48%,82.86%,2.80%,80.06%,29.55%,4.04%,5.87%,43.41%,100.00%,59.60%,40.40%,82.86%,3.38%,96.62%,35.66%,4.87%,7.08%,52.39%,22347.4,121.6,57906.5,23467.4,1528.0,24233.8,55808.2,71752.3,130.9,117.2,58407.4,96102.8,14876.0,63286.2,106.4,65493.4,16885.9,6970.4,30042.1,104602.5,23331.5,24171.1,25863.6,24854.9,20989.0,24989.9,26057.8,24514.1,20876.6,24605.6,47.48%,37.71%,39.83%,38.55%,37.19%,38.42%,39.59%,40.16%,36.64%,37.39%,171.14%,128.94%,56.89%,172.56%,122.41%,174.32%,55.82%,60.96%,338.35%,108.60%,122.15%,55.31%,52.76%,115.96%,316.89%,113.47%,48.71%,59.14%,147.19%,49.29%
#3,,90278,17340,51286,68626,388,68238,44145,7183,1038,16260,100.00%,19.21%,56.81%,76.02%,0.43%,75.59%,48.90%,7.96%,1.15%,18.01%,100.00%,25.27%,74.73%,76.02%,0.57%,99.43%,64.33%,10.47%,1.51%,23.69%,31934.2,153.5,45569.9,34094.4,6934.2,34248.8,43549.7,57728.7,-29.1,161.5,35014.2,114266.7,10120.0,36435.2,273.8,36640.8,10947.5,6890.9,33373.5,118879.6,37745.1,36347.7,39791.4,38921.3,31775.3,38961.9,40061.6,38088.5,30892.3,36705.6,51.43%,38.38%,38.95%,39.03%,40.96%,39.00%,38.42%,41.93%,35.24%,38.17%,109.50%,87.74%,44.87%,79.66%,176.52%,78.55%,43.38%,49.46%,133.99%,79.32%,67.01%,59.88%,41.22%,59.15%,135.11%,58.85%,38.88%,47.64%,96.71%,56.58%
#4,,100000,49946,31707,81653,3383,78270,22755,9040,5969,43889,100.00%,49.95%,31.71%,81.65%,3.38%,78.27%,22.75%,9.04%,5.97%,43.89%,100.00%,61.17%,38.83%,81.65%,4.14%,95.86%,27.87%,11.07%,7.31%,53.75%,25984.5,167.1,73668.5,28708.7,1323.7,29892.4,70142.4,81841.5,164.8,164.8,51306.1,84285.5,14167.1,57057.5,95.3,59519.6,17309.4,8742.3,21092.8,92508.6,32093.3,34457.5,35136.2,34721.0,28613.1,34985.0,35426.8,34401.0,28759.2,35231.9,51.13%,39.45%,39.61%,39.56%,38.24%,39.30%,38.31%,43.38%,37.46%,39.09%,139.70%,90.70%,55.92%,139.17%,115.61%,140.30%,56.56%,53.16%,1025.39%,78.72%,133.29%,61.66%,53.94%,113.37%,344.53%,110.12%,50.41%,53.54%,214.12%,54.88%
#5,,68898,17132,42800,59932,761,59171,28449,14373,1324,15786,100.00%,24.87%,62.12%,86.99%,1.10%,85.88%,41.29%,20.86%,1.92%,22.91%,100.00%,28.59%,71.41%,86.99%,1.27%,98.73%,47.47%,23.98%,2.21%,26.34%,39724.9,197.8,57485.2,41109.1,4730.7,41577.0,54788.8,62736.1,61.9,207.7,41683.5,126323.9,10487.5,43600.2,262.2,44157.6,12781.2,7317.6,23716.6,133843.8,57022.7,50342.7,61028.9,57974.2,47062.6,58114.5,59838.6,63392.0,42591.2,50971.6,55.12%,44.48%,48.34%,47.26%,62.38%,47.08%,47.56%,49.86%,48.47%,43.58%,146.72%,81.82%,63.26%,145.99%,147.48%,145.79%,62.84%,64.54%,357.94%,74.03%,96.44%,69.74%,64.01%,91.17%,136.04%,90.51%,62.27%,59.88%,155.37%,65.17%
#6,,113646,70405,29595,100000,4463,95537,14464,15211,8205,62120,100.00%,61.95%,26.04%,87.99%,3.93%,84.07%,12.73%,13.38%,7.22%,54.66%,100.00%,70.41%,29.59%,87.99%,4.46%,95.54%,14.46%,15.21%,8.21%,62.12%,32686.0,185.3,110615.1,32867.0,1428.8,34335.7,109768.7,110843.3,159.7,187.7,61989.8,84180.0,17494.5,64444.4,86.9,67450.9,28944.9,11189.3,19937.4,91629.1,47564.1,46390.3,54409.9,48763.7,41540.6,49101.1,50387.0,58228.6,40230.3,47195.3,47.51%,39.15%,45.10%,41.20%,39.21%,41.19%,42.92%,47.09%,37.51%,38.98%,111.06%,82.40%,73.80%,107.22%,97.04%,107.47%,75.25%,73.29%,1505.03%,72.49%,103.26%,65.52%,76.26%,97.55%,378.64%,91.47%,65.86%,72.03%,218.09%,60.35%
#7,,87094,19449,41443,60892,724,60168,15092,26386,1787,17627,100.00%,22.33%,47.58%,69.92%,0.83%,69.08%,17.33%,30.30%,2.05%,20.24%,100.00%,31.94%,68.06%,69.92%,1.19%,98.81%,24.78%,43.33%,2.93%,28.95%,37632.0,175.9,43596.3,29727.7,5675.0,30017.2,49083.4,40401.8,11.9,190.1,33955.9,99454.9,7019.8,36543.7,257.8,36980.4,12860.4,4640.1,29576.2,105284.3,59915.8,49353.3,52993.7,51830.9,45198.5,51910.8,53197.9,52874.0,43040.4,49990.3,55.08%,38.15%,39.55%,39.27%,41.73%,39.20%,40.17%,39.20%,37.36%,37.75%,146.66%,85.45%,52.98%,145.11%,135.50%,144.73%,61.44%,49.09%,159.12%,74.04%,103.23%,61.87%,54.03%,90.34%,151.43%,90.00%,61.88%,44.85%,106.95%,59.79%
#8,,126868,76970,24316,101286,5020,96266,8900,15473,10683,66230,100.00%,60.67%,19.17%,79.84%,3.96%,75.88%,7.02%,12.20%,8.42%,52.20%,100.00%,75.99%,24.01%,79.84%,4.96%,95.04%,8.79%,15.28%,10.55%,65.39%,30667.3,174.1,110189.5,26585.8,1271.9,27905.9,115793.0,106564.2,112.0,183.4,52823.0,68365.3,15718.5,55726.3,92.2,58627.4,31553.2,9983.2,20478.1,75346.9,49387.1,46969.3,55671.7,49058.5,44164.7,49313.7,51720.4,57934.6,42511.8,47683.2,46.85%,35.90%,41.84%,37.64%,36.41%,37.66%,39.35%,42.71%,34.27%,35.98%,108.16%,86.40%,93.93%,101.22%,89.47%,101.57%,94.33%,94.13%,648.15%,73.07%,97.34%,61.57%,95.53%,85.28%,366.83%,77.54%,78.14%,90.05%,147.57%,57.14%
#9,,136801,32163,67837,100000,2073,97927,9145,58746,3407,28702,100.00%,23.51%,49.59%,73.10%,1.52%,71.58%,6.68%,42.94%,2.49%,20.98%,100.00%,32.16%,67.84%,73.10%,2.07%,97.93%,9.14%,58.75%,3.41%,28.70%,33715.4,185.5,34926.9,23753.0,7787.0,24091.0,54445.6,31857.6,9.0,204.1,26683.1,75022.0,4616.9,27261.3,383.5,27830.3,17585.8,3172.6,23430.7,80102.5,62574.7,49144.1,50748.2,50232.3,40536.0,50437.5,51695.7,50594.3,42746.2,49913.6,51.98%,38.75%,39.83%,39.53%,42.59%,39.33%,43.23%,39.35%,39.51%,38.29%,145.66%,82.99%,46.39%,128.85%,170.24%,124.23%,70.84%,43.92%,192.14%,70.67%,100.18%,60.70%,50.12%,83.92%,120.28%,83.12%,76.67%,45.56%,109.25%,59.26%
#10,,119426,81140,18860,100000,5285,94715,4845,14075,12561,68519,100.00%,67.94%,15.79%,83.73%,4.43%,79.31%,4.06%,11.79%,10.52%,57.37%,100.00%,81.14%,18.86%,83.73%,5.29%,94.71%,4.85%,14.08%,12.56%,68.52%,26411.3,169.9,99847.0,18969.0,1291.9,19955.4,117356.2,93399.0,75.6,186.4,43973.5,52672.4,12559.5,45107.1,97.6,47618.6,37734.7,7748.1,18344.4,58208.8,50969.0,46675.8,54373.8,48127.7,42688.8,48431.1,51656.4,55306.9,41702.8,47581.2,45.22%,37.30%,43.32%,38.56%,38.14%,38.47%,43.26%,43.57%,36.09%,37.12%,101.92%,88.26%,103.12%,96.25%,91.59%,96.47%,128.68%,89.54%,453.90%,71.61%,86.02%,59.76%,94.80%,75.94%,383.26%,68.04%,99.77%,77.72%,146.06%,56.10%
