Experiment Name:,Exp_20200327__MOPS_EZ_GLY

Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,V2L Events,V2R Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,V2L % Total,V2R % Total,GR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,V2L % Parent,V2R % Parent,GR % Parent,GFP % Parent,H1-LL % Parent,mCherry % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,V2L Mean FITC-A,V2R Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,V2L Mean ECD-A,V2R Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,V2L Mean FSC-A,V2R Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A
#1,,100000,19326,58534,77860,476,77384,288,58256,438,18878,100.00%,19.33%,58.53%,77.86%,0.48%,77.38%,0.29%,58.26%,0.44%,18.88%,100.00%,24.82%,75.18%,77.86%,0.61%,99.39%,0.37%,74.82%,0.56%,24.25%,24476.8,98.0,34965.8,26311.1,3985.3,26448.5,24164.1,35013.1,105.3,98.4,39587.8,132295.2,12340.4,42115.0,217.1,42372.7,120991.8,11700.4,471.3,135734.7,25076.9,25520.0,26303.3,26108.9,21457.9,26137.5,37428.7,26246.6,21380.4,25620.8
#2,,100000,49751,33637,83388,2857,80531,367,33181,2526,47314,100.00%,49.75%,33.64%,83.39%,2.86%,80.53%,0.37%,33.18%,2.53%,47.31%,100.00%,59.66%,40.34%,83.39%,3.43%,96.57%,0.44%,39.79%,3.03%,56.74%,22347.4,121.5,57767.3,23374.6,1506.8,24150.4,27321.7,58247.1,363.6,116.7,58407.4,95775.6,14838.8,63127.4,105.0,65363.2,85868.7,13402.5,214.9,101181.5,23331.5,24063.1,25785.2,24757.7,20749.1,24899.9,32165.0,25698.0,20712.2,24256.8
#3,,90278,17340,51286,68626,388,68238,150,51133,324,17019,100.00%,19.21%,56.81%,76.02%,0.43%,75.59%,0.17%,56.64%,0.36%,18.85%,100.00%,25.27%,74.73%,76.02%,0.57%,99.43%,0.22%,74.51%,0.47%,24.80%,31934.2,153.5,45569.9,34094.4,6934.2,34248.8,19367.9,45648.8,104.6,156.5,35014.2,114266.7,10120.0,36435.2,273.8,36640.8,81849.3,9753.3,371.9,116886.3,37745.1,36347.7,39791.4,38921.3,31775.3,38961.9,45213.7,39774.3,30844.2,36456.6
#4,,100000,49946,31707,81653,3383,78270,380,31248,3176,46849,100.00%,49.95%,31.71%,81.65%,3.38%,78.27%,0.38%,31.25%,3.18%,46.85%,100.00%,61.17%,38.83%,81.65%,4.14%,95.86%,0.47%,38.27%,3.89%,57.38%,25984.5,167.1,73668.5,28708.7,1323.7,29892.4,22631.3,74464.9,357.5,160.9,51306.1,84285.5,14167.1,57057.5,95.3,59519.6,56610.8,12933.5,217.2,90344.9,32093.3,34457.5,35136.2,34721.0,28613.1,34985.0,40565.2,35057.0,28568.2,34866.6
#5,,68898,16731,41411,58142,702,57440,130,41271,759,15982,100.00%,24.28%,60.10%,84.39%,1.02%,83.37%,0.19%,59.90%,1.10%,23.20%,100.00%,28.78%,71.22%,84.39%,1.21%,98.79%,0.22%,70.98%,1.31%,27.49%,39724.9,197.7,56543.0,40329.0,4898.4,40762.0,39536.5,56609.3,278.6,196.1,41683.5,126805.0,10349.1,43860.6,258.3,44393.5,115844.3,9785.1,829.2,133313.3,57022.7,50559.9,59999.9,57283.4,47367.3,57404.6,76253.0,59955.3,44398.1,50841.4
#6,,113646,73493,30804,104297,4841,99456,497,30133,4707,68960,100.00%,64.67%,27.11%,91.77%,4.26%,87.51%,0.44%,26.51%,4.14%,60.68%,100.00%,70.47%,29.53%,91.77%,4.64%,95.36%,0.48%,28.89%,4.51%,66.12%,32686.0,184.7,110971.2,32905.4,1407.7,34438.5,28461.3,112953.9,361.8,180.4,61989.8,83740.9,17480.1,64170.9,86.7,67290.2,59562.1,15952.6,169.9,89642.2,47564.1,45989.0,55225.3,48716.9,40485.1,49117.6,55943.9,55258.5,39892.9,46408.7
#7,,87094,18639,41733,60372,619,59753,99,41607,589,18077,100.00%,21.40%,47.92%,69.32%,0.71%,68.61%,0.11%,47.77%,0.68%,20.76%,100.00%,30.87%,69.13%,69.32%,1.03%,98.97%,0.16%,68.92%,0.98%,29.94%,37632.0,181.7,46199.2,31992.0,6433.0,32256.7,27738.3,46271.0,335.6,181.3,33955.9,101579.2,7325.8,36425.2,254.7,36799.9,125719.5,6847.6,749.1,105176.0,59915.8,51474.4,55958.8,54574.3,50276.6,54618.8,67681.9,55932.6,47547.2,51605.1
#8,,126868,76579,23421,100000,5007,94993,394,23088,4839,71679,100.00%,60.36%,18.46%,78.82%,3.95%,74.88%,0.31%,18.20%,3.81%,56.50%,100.00%,76.58%,23.42%,78.82%,5.01%,94.99%,0.39%,23.09%,4.84%,71.68%,30667.3,173.2,106943.7,25179.9,1267.5,26440.4,17881.7,108182.8,307.7,163.7,52823.0,67801.8,15521.2,55557.2,92.1,58480.7,38715.0,13909.0,188.4,72802.6,49387.1,46681.7,53705.9,48326.8,44002.5,48554.8,50778.1,53724.5,43446.3,46904.3
#9,,136801,32163,67837,100000,2073,97927,107,67730,1331,30832,100.00%,23.51%,49.59%,73.10%,1.52%,71.58%,0.08%,49.51%,0.97%,22.54%,100.00%,32.16%,67.84%,73.10%,2.07%,97.93%,0.11%,67.73%,1.33%,30.83%,33715.4,185.5,34926.9,23753.0,7787.0,24091.0,25558.9,34941.3,224.0,184.8,26683.1,75022.0,4616.9,27261.3,383.5,27830.3,99335.6,4251.9,580.5,78708.8,62574.7,49144.1,50748.2,50232.3,40536.0,50437.5,65645.2,50720.2,41941.8,49464.8
#10,,119426,81140,18860,100000,5285,94715,216,18581,5197,76006,100.00%,67.94%,15.79%,83.73%,4.43%,79.31%,0.18%,15.56%,4.35%,63.64%,100.00%,81.14%,18.86%,83.73%,5.29%,94.71%,0.22%,18.58%,5.20%,76.01%,26411.3,169.9,99847.0,18969.0,1291.9,19955.4,19380.6,101108.5,289.8,164.6,43973.5,52672.4,12559.5,45107.1,97.6,47618.6,37427.1,11287.4,156.8,56470.3,50969.0,46675.8,54373.8,48127.7,42688.8,48431.1,55861.5,54373.6,42589.2,46957.4
