Experiment Name:,Exp_20200331_1

Tube Name:,Sample ID:,All Events ,P1 Events,V1L Events,V1R Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P2 Events,All Events  % Total,P1 % Total,V1L % Total,V1R % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P2 % Total,All Events  % Parent,P1 % Parent,V1L % Parent,V1R % Parent,GR % Parent,mCherry % Parent,H2-LL % Parent,GFP % Parent,P2 % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P2 Mean ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,P2 Mean FSC-A
A,,100000,45685,4977,40708,5971,1688,203,16575,24437,100.00%,45.68%,4.98%,40.71%,5.97%,1.69%,0.20%,16.57%,24.44%,100.00%,45.68%,10.89%,89.11%,24.43%,6.91%,0.83%,67.83%,53.49%,25528.7,36756.7,-8.8,41251.7,57450.8,40.6,-194.4,44921.0,44507.7,5397.0,6376.9,28180.3,3711.1,12048.7,36834.5,13559.1,2186.9,7084.4,16855.4,22527.6,19517.2,22895.6,32038.3,23958.5,23737.1,25169.1,26752.0
B,,100000,58802,5277,53525,376,2224,505,33967,37072,100.00%,58.80%,5.28%,53.53%,0.38%,2.22%,0.50%,33.97%,37.07%,100.00%,58.80%,8.97%,91.03%,1.01%,6.00%,1.36%,91.62%,63.05%,32289.5,42460.8,84.3,46638.6,37535.1,100.9,55.9,53557.0,49458.8,2217.6,2402.9,16776.9,985.7,14905.6,22442.7,6789.4,980.3,2488.2,18320.8,22266.0,20465.6,22443.5,32546.2,23507.7,24020.9,25201.9,25158.7
C,,100000,45204,17623,27581,988,6207,991,13949,22135,100.00%,45.20%,17.62%,27.58%,0.99%,6.21%,0.99%,13.95%,22.13%,100.00%,45.20%,38.99%,61.01%,4.46%,28.04%,4.48%,63.02%,48.97%,13420.3,20033.8,69.1,32790.3,27613.7,104.5,-85.0,39356.4,26059.6,6110.9,7010.7,15406.9,1646.0,13593.9,19327.0,10874.0,1308.6,7337.9,15694.2,20068.3,19161.7,20647.5,31506.0,23053.0,22509.7,23575.5,23735.2
D,,100000,85734,8947,76787,158,4814,2134,63583,70689,100.00%,85.73%,8.95%,76.79%,0.16%,4.81%,2.13%,63.58%,70.69%,100.00%,85.73%,10.44%,89.56%,0.22%,6.81%,3.02%,89.95%,82.45%,18819.5,20828.9,73.1,23247.3,17553.4,123.9,-19.5,24397.2,21991.8,651.6,617.0,3959.7,227.5,5351.2,4421.8,2941.5,216.8,596.9,25598.2,28020.1,26079.5,28246.2,42538.6,28296.7,27521.6,29681.1,29550.3
E,,100000,56440,5217,51223,21716,2784,132,10890,35522,100.00%,56.44%,5.22%,51.22%,21.72%,2.78%,0.13%,10.89%,35.52%,100.00%,56.44%,9.24%,90.76%,61.13%,7.84%,0.37%,30.66%,62.94%,24665.3,31400.1,58.5,34592.2,43545.0,65.7,12.4,30702.8,36038.5,5932.7,6607.8,37245.4,3487.4,4937.5,42726.9,8275.5,2192.4,7070.0,18543.8,22423.4,21296.6,22538.1,26514.5,23986.9,27123.8,23216.2,25307.5
F,,100000,50640,10227,40413,5023,3931,248,16141,25343,100.00%,50.64%,10.23%,40.41%,5.02%,3.93%,0.25%,16.14%,25.34%,100.00%,50.64%,20.20%,79.80%,19.82%,15.51%,0.98%,63.69%,50.05%,18551.9,25239.5,68.5,31609.3,49604.9,85.3,-92.5,33634.6,31266.0,6732.1,7544.4,27418.2,2515.1,6552.5,33630.3,11679.8,2037.6,7927.2,15908.9,19766.3,18766.4,20019.4,26258.2,22339.5,23902.7,22456.9,23206.3
G,,100000,43777,20969,22808,950,8305,900,12122,22277,100.00%,43.78%,20.97%,22.81%,0.95%,8.30%,0.90%,12.12%,22.28%,100.00%,43.78%,47.90%,52.10%,4.26%,37.28%,4.04%,54.41%,50.89%,11946.3,18489.0,72.3,35420.8,34189.0,96.4,-88.2,42214.8,24461.5,9070.9,10456.8,19603.7,2047.5,16736.3,23815.0,11885.5,1578.5,10931.2,16571.4,20761.3,19965.2,21493.2,32060.7,23618.1,22947.6,24165.3,24248.8
A1,,100000,54960,7586,47374,5909,3769,317,24453,34448,100.00%,54.96%,7.59%,47.37%,5.91%,3.77%,0.32%,24.45%,34.45%,100.00%,54.96%,13.80%,86.20%,17.15%,10.94%,0.92%,70.99%,62.68%,23272.6,30844.5,59.9,35774.0,57961.2,73.5,-44.5,36349.6,35752.8,5383.9,6017.1,26822.6,2685.6,7705.8,31843.0,12333.8,2006.7,6343.8,18439.2,22859.8,21182.0,23128.5,31526.9,24617.8,24248.2,25020.7,26085.5
1,0 aTc,100000,78048,15820,62228,418,12409,1882,51073,65782,100.00%,78.05%,15.82%,62.23%,0.42%,12.41%,1.88%,51.07%,65.78%,100.00%,78.05%,20.27%,79.73%,0.64%,18.86%,2.86%,77.64%,84.28%,43679.3,39541.5,150.0,49555.9,71690.6,147.3,128.8,39967.5,31517.7,6743.6,7549.1,32219.9,1277.1,11093.8,35499.9,2535.4,843.3,7494.4,48123.7,48036.9,42525.0,49438.1,41662.6,41252.7,42239.5,42990.6,42632.8
2,0 aTc,100000,82220,25951,56269,432,21108,2455,48220,72215,100.00%,82.22%,25.95%,56.27%,0.43%,21.11%,2.46%,48.22%,72.22%,100.00%,82.22%,31.56%,68.44%,0.60%,29.23%,3.40%,66.77%,87.83%,21127.2,19898.6,128.3,29016.5,42315.2,144.5,-47.7,24865.2,16896.9,6972.9,7729.6,22105.0,1099.8,13829.7,22697.3,9185.1,786.6,7554.5,42837.8,44848.7,41691.8,46304.7,47829.3,41261.1,37733.8,42251.9,41842.1
