Tube Name:,Sample ID:,All Events  % Parent,P1 % Parent,H2-UR % Parent,H2-UL % Parent,H2-LL % Parent,H2-LR % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,All Events  Mean FITC-A,P1 Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,All Events  Mean ECD-A,P1 Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,All Events  Mean PE-A,P1 Mean PE-A,H2-UR Mean PE-A,H2-UL Mean PE-A,H2-LL Mean PE-A,H2-LR Mean PE-A,H1-UR Mean PE-A,H1-UL Mean PE-A,H1-LL Mean PE-A,H1-LR Mean PE-A,All Events  rCV FITC-A,P1 rCV FITC-A,H2-UR rCV FITC-A,H2-UL rCV FITC-A,H2-LL rCV FITC-A,H2-LR rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,All Events  rCV PE-A,P1 rCV PE-A,H2-UR rCV PE-A,H2-UL rCV PE-A,H2-LL rCV PE-A,H2-LR rCV PE-A,H1-UR rCV PE-A,H1-UL rCV PE-A,H1-LL rCV PE-A,H1-LR rCV PE-A,All Events  rCV ECD-A,P1 rCV ECD-A,H2-UR rCV ECD-A,H2-UL rCV ECD-A,H2-LL rCV ECD-A,H2-LR rCV ECD-A,H1-UR rCV ECD-A,H1-UL rCV ECD-A,H1-LL rCV ECD-A,H1-LR rCV ECD-A,All Events  Mean FSC-A,P1 Mean FSC-A,H2-UR Mean FSC-A,H2-UL Mean FSC-A,H2-LL Mean FSC-A,H2-LR Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,All Events  Mean SSC-A,P1 Mean SSC-A,H2-UR Mean SSC-A,H2-UL Mean SSC-A,H2-LL Mean SSC-A,H2-LR Mean SSC-A,H1-UR Mean SSC-A,H1-UL Mean SSC-A,H1-LL Mean SSC-A,H1-LR Mean SSC-A,All Events  rCV FSC-A,P1 rCV FSC-A,H2-UR rCV FSC-A,H2-UL rCV FSC-A,H2-LL rCV FSC-A,H2-LR rCV FSC-A,H1-UR rCV FSC-A,H1-UL rCV FSC-A,H1-LL rCV FSC-A,H1-LR rCV FSC-A,All Events  rCV SSC-A,P1 rCV SSC-A,H2-UR rCV SSC-A,H2-UL rCV SSC-A,H2-LL rCV SSC-A,H2-LR rCV SSC-A,H1-UR rCV SSC-A,H1-UL rCV SSC-A,H1-LL rCV SSC-A,H1-LR rCV SSC-A,All Events  Mean Green-H,P1 Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,All Events  Mean Cherry-H,P1 Mean Cherry-H,H2-UR Mean Cherry-H,H2-UL Mean Cherry-H,H2-LL Mean Cherry-H,H2-LR Mean Cherry-H,H1-UR Mean Cherry-H,H1-UL Mean Cherry-H,H1-LL Mean Cherry-H,H1-LR Mean Cherry-H,All Events  rCV Green-H,P1 rCV Green-H,H2-UR rCV Green-H,H2-UL rCV Green-H,H2-LL rCV Green-H,H2-LR rCV Green-H,H1-UR rCV Green-H,H1-UL rCV Green-H,H1-LL rCV Green-H,H1-LR rCV Green-H,All Events  rCV Cherry-H,P1 rCV Cherry-H,H2-UR rCV Cherry-H,H2-UL rCV Cherry-H,H2-LL rCV Cherry-H,H2-LR rCV Cherry-H,H1-UR rCV Cherry-H,H1-UL rCV Cherry-H,H1-LL rCV Cherry-H,H1-LR rCV Cherry-H
seed-M1,,100.00%,63.72%,0.00%,99.54%,0.35%,0.10%,0.02%,95.58%,4.39%,0.00%,108.0,125.4,####,125.4,121.8,149.1,1899.0,126.5,94.1,####,6120.2,6805.4,####,6836.6,47.1,-106.0,21463.7,7086.1,625.2,####,2554.0,2843.3,####,2856.2,39.1,86.2,9124.9,2961.8,234.9,####,122.69%,98.20%,####,98.20%,111.05%,77.38%,38.74%,96.66%,132.55%,####,91.38%,69.34%,####,68.95%,1313.27%,291.24%,78.43%,65.17%,146.45%,####,85.07%,63.91%,####,63.45%,167.38%,93.98%,76.04%,59.65%,71.84%,####,26224.1,26830.4,####,26847.4,23069.1,23343.4,28883.6,26846.6,26466.7,####,43242.6,50253.8,####,50278.6,45355.7,43156.1,49341.1,50216.3,51073.6,####,41.76%,32.37%,####,32.35%,33.98%,29.41%,34.22%,32.37%,32.36%,####,48.78%,34.69%,####,34.72%,30.79%,25.58%,22.06%,34.61%,35.48%,####,10.4,8.6,####,8.6,9.5,9.9,40.0,8.6,8.2,####,170.1,194.9,####,195.8,13.5,11.2,499.8,202.8,23.0,####,37.65%,31.15%,####,31.15%,31.56%,29.41%,14.43%,31.09%,32.54%,####,65.72%,49.02%,####,48.66%,44.36%,40.88%,46.05%,45.92%,43.20%,####
seed-M2,,100.00%,68.13%,0.00%,99.66%,0.26%,0.08%,0.01%,94.42%,5.57%,0.00%,109.2,128.1,####,128.0,130.5,188.9,1890.0,129.8,96.4,####,4429.8,5051.1,####,5068.3,54.2,-92.5,7815.7,5303.2,777.2,####,1799.3,2053.9,####,2060.6,133.1,57.9,2811.2,2155.4,334.3,####,120.21%,95.79%,####,95.86%,90.96%,75.69%,35.23%,94.60%,123.65%,####,85.83%,66.82%,####,66.44%,189.23%,2000.53%,79.14%,61.91%,114.26%,####,81.18%,62.13%,####,61.82%,150.63%,90.06%,45.18%,57.40%,61.73%,####,26701.5,28443.1,####,28452.9,25750.6,24987.5,19639.7,28475.9,27896.6,####,44617.5,51590.4,####,51608.0,46692.7,45678.0,40040.7,51747.7,48937.4,####,39.91%,30.73%,####,30.73%,25.42%,31.36%,5.50%,30.81%,29.29%,####,48.41%,34.81%,####,34.80%,36.32%,30.86%,5.78%,34.65%,37.03%,####,10.2,8.2,####,8.2,8.7,9.2,55.2,8.2,7.8,####,114.2,127.6,####,128.0,11.9,9.9,234.2,133.6,25.1,####,37.25%,31.15%,####,31.17%,30.02%,34.14%,28.76%,31.09%,32.17%,####,62.08%,49.24%,####,48.98%,41.88%,40.84%,19.69%,45.58%,40.15%,####
seed-M3,,100.00%,65.37%,0.01%,99.83%,0.13%,0.03%,0.04%,95.86%,4.11%,0.00%,114.9,132.4,19979.3,131.2,101.2,122.7,5066.5,131.8,102.5,####,7292.5,8077.9,6242.3,8091.6,40.7,-127.5,23633.5,8377.2,951.1,####,3039.8,3369.6,2710.1,3375.3,60.3,-121.4,9876.8,3493.5,419.7,####,118.89%,95.67%,58.34%,95.67%,108.51%,68.57%,26.50%,94.94%,111.98%,####,80.34%,60.99%,108.86%,60.85%,425.97%,114.80%,46.83%,57.65%,89.94%,####,77.32%,57.87%,81.37%,57.72%,118.50%,48.86%,48.87%,54.69%,53.89%,####,26580.2,26824.3,35683.0,26829.0,24011.1,22464.7,30372.0,26830.4,26651.6,####,45347.2,51564.5,64556.1,51575.1,43480.0,50342.3,58079.9,51611.3,50414.9,####,39.95%,31.68%,14.80%,31.68%,29.87%,26.25%,43.86%,31.80%,28.99%,####,48.65%,35.18%,28.37%,35.18%,42.51%,25.96%,39.80%,35.09%,37.10%,####,10.4,8.7,335.7,8.6,9.4,9.6,91.4,8.6,8.3,####,151.0,170.9,101.1,171.2,11.2,8.5,445.8,177.1,25.1,####,37.51%,31.22%,55.09%,31.20%,33.32%,27.98%,13.98%,31.26%,30.73%,####,63.96%,49.66%,80.12%,49.52%,28.66%,49.86%,41.27%,46.80%,36.24%,####
seed-M4,,100.00%,68.56%,0.00%,99.87%,0.09%,0.04%,0.05%,97.42%,2.53%,0.00%,118.1,135.7,####,135.7,112.6,176.4,3161.9,135.0,105.2,923.9,8227.3,9567.8,####,9580.1,35.5,-102.5,28935.1,9784.0,883.5,762.1,3435.9,4009.4,####,4014.6,2.3,-139.2,11791.0,4100.6,353.6,304.6,116.36%,92.95%,####,92.95%,116.65%,43.85%,43.26%,92.70%,108.34%,0.00%,78.38%,57.99%,####,57.84%,542.96%,196.46%,85.52%,56.10%,104.65%,0.00%,73.65%,55.42%,####,55.33%,217.86%,92.54%,91.39%,53.45%,60.80%,0.00%,25957.2,28215.4,####,28216.0,26242.7,30990.1,29441.0,28242.6,27157.5,18880.6,44896.9,51384.1,####,51393.0,42002.6,49797.9,54871.0,51466.6,48137.1,51578.2,39.91%,30.27%,####,30.26%,32.11%,31.12%,26.33%,30.27%,29.34%,0.00%,49.10%,34.78%,####,34.74%,34.56%,30.36%,31.96%,34.69%,37.72%,0.00%,10.8,8.3,####,8.3,8.3,9.4,64.5,8.3,8.1,32.7,176.7,199.3,####,199.6,11.2,7.9,561.5,203.7,24.1,34.1,37.35%,30.82%,####,30.82%,23.02%,33.96%,34.01%,30.81%,29.85%,0.00%,61.85%,47.22%,####,47.14%,39.41%,28.49%,59.34%,45.60%,41.27%,0.00%
seed-M5,,100.00%,65.56%,0.00%,27.25%,38.73%,34.02%,0.00%,0.06%,99.94%,0.00%,99.8,113.2,####,64.4,98.2,169.4,####,102.9,113.2,####,24.8,21.8,####,256.6,5.0,-147.3,####,6645.4,17.7,####,21.6,20.1,####,25.7,19.8,15.9,####,2837.1,18.4,####,131.07%,105.46%,####,176.30%,151.35%,56.79%,####,89.45%,105.46%,####,4943.12%,4029.49%,####,2783.99%,4441.99%,5283.29%,####,67.00%,4100.06%,####,2899.31%,3079.43%,####,54.91%,440.77%,77.02%,####,52.87%,3128.29%,####,26432.7,27229.6,####,26946.2,26907.5,27823.3,####,23074.2,27232.1,####,45872.6,50944.6,####,49713.7,50285.9,52680.8,####,45522.4,50947.9,####,40.73%,30.70%,####,30.79%,30.80%,30.46%,####,33.74%,30.70%,####,50.94%,35.38%,####,35.10%,35.55%,34.88%,####,41.57%,35.38%,####,10.9,8.3,####,7.9,8.2,8.8,####,9.1,8.3,####,12.5,9.1,####,12.7,8.7,6.6,####,177.2,9.0,####,38.15%,31.16%,####,31.98%,32.67%,28.71%,####,42.63%,31.16%,####,51.64%,44.91%,####,33.37%,37.23%,43.30%,####,80.45%,44.88%,####
seed-M6,,100.00%,65.29%,0.00%,99.87%,0.09%,0.05%,0.01%,95.61%,4.38%,0.00%,111.9,132.6,####,132.6,72.6,183.9,2459.6,134.2,95.2,####,4518.3,5384.3,####,5391.5,5.9,-146.6,4660.1,5582.2,1069.5,####,1875.1,2240.1,####,2243.0,45.2,88.6,1415.9,2319.7,504.7,####,121.07%,92.56%,####,92.56%,230.39%,54.72%,8.70%,91.47%,125.17%,####,83.52%,60.67%,####,60.55%,461.52%,8755.14%,6.18%,57.29%,73.93%,####,80.01%,57.40%,####,57.28%,505.10%,90.47%,0.77%,54.03%,47.24%,####,26157.3,29383.6,####,29388.5,24329.8,28209.8,31735.6,29425.5,28467.9,####,45387.4,52667.9,####,52678.5,42109.5,49267.0,54313.8,53069.2,43911.3,####,41.13%,29.47%,####,29.47%,33.57%,36.64%,44.33%,29.63%,26.35%,####,51.86%,34.81%,####,34.79%,38.17%,42.09%,43.92%,34.46%,37.89%,####,11.1,8.0,####,8.0,7.8,8.3,57.0,8.0,7.6,####,105.3,118.3,####,118.5,10.4,7.1,120.3,122.5,27.9,####,37.82%,30.61%,####,30.61%,29.91%,30.20%,18.52%,30.60%,29.53%,####,60.53%,47.90%,####,47.80%,40.38%,48.08%,15.33%,45.26%,27.06%,####
seed-M7,,100.00%,67.16%,0.00%,99.93%,0.06%,0.01%,0.07%,97.73%,2.19%,0.00%,120.3,143.9,####,143.9,152.8,138.6,2486.7,143.3,95.8,####,10271.1,12257.2,####,12266.2,92.9,-119.8,30014.8,12495.5,1064.0,####,4297.2,5141.5,####,5145.2,48.2,172.1,12763.6,5240.3,493.9,####,116.79%,88.25%,####,88.36%,73.19%,15.82%,50.72%,87.79%,117.33%,####,79.44%,57.32%,####,57.23%,629.70%,60.02%,85.06%,55.57%,75.25%,####,76.42%,54.91%,####,54.83%,128.85%,6.93%,93.56%,53.08%,48.01%,####,26375.2,28779.8,####,28780.7,25769.3,36712.6,30917.6,28780.0,28702.4,####,46292.4,54628.9,####,54634.0,49122.7,40788.6,55050.4,54631.5,54497.1,####,39.41%,29.76%,####,29.76%,34.94%,13.56%,20.23%,29.75%,29.54%,####,49.61%,33.98%,####,33.99%,20.34%,30.53%,31.25%,33.97%,34.57%,####,10.8,8.3,####,8.3,8.7,8.7,53.5,8.3,7.7,####,222.1,256.7,####,256.8,11.1,7.6,538.1,261.6,26.8,####,37.18%,30.44%,####,30.43%,28.25%,15.10%,32.00%,30.37%,31.23%,####,63.76%,46.71%,####,46.68%,43.20%,36.90%,64.30%,45.22%,28.76%,####
seed-M8,,100.00%,67.38%,0.00%,99.90%,0.07%,0.03%,0.00%,96.59%,3.41%,0.00%,104.1,123.6,####,123.6,153.9,198.8,####,124.8,89.8,####,7740.3,9279.0,####,9288.0,64.2,-151.7,####,9567.4,1110.9,####,3208.2,3859.4,####,3863.1,63.2,-33.7,####,3978.6,481.5,####,123.75%,98.07%,####,98.15%,148.42%,50.06%,####,97.43%,130.53%,####,76.62%,55.17%,####,55.09%,356.63%,1811.82%,####,52.41%,81.28%,####,72.81%,52.06%,####,52.01%,284.76%,121.01%,####,49.66%,47.24%,####,25888.9,28640.6,####,28640.1,30158.5,26257.5,####,28639.0,28684.9,####,45805.0,53647.9,####,53648.8,57393.3,40169.5,####,53682.2,52675.6,####,40.35%,30.03%,####,30.03%,31.64%,24.76%,####,30.14%,27.73%,####,49.20%,34.29%,####,34.29%,26.47%,33.51%,####,34.23%,36.23%,####,10.6,8.0,####,8.0,8.3,9.5,####,8.0,7.4,####,169.1,191.6,####,191.8,9.7,6.7,####,197.4,26.7,####,37.65%,30.98%,####,30.98%,26.42%,12.92%,####,30.93%,31.67%,####,61.68%,44.85%,####,44.78%,36.39%,41.03%,####,42.39%,30.56%,####
seed-M9,,100.00%,66.01%,0.10%,99.80%,0.07%,0.03%,0.13%,96.73%,3.14%,0.00%,121.0,136.8,2328.0,134.5,121.6,160.5,2117.1,135.5,97.5,####,7114.0,8425.8,16138.0,8426.0,93.3,-129.6,16086.5,8655.9,1038.7,####,2959.1,3513.2,7126.0,3512.9,34.6,13.2,6979.4,3608.6,440.2,####,120.67%,93.29%,26.19%,93.21%,104.87%,120.18%,36.77%,92.56%,130.54%,####,83.44%,57.48%,65.07%,57.38%,423.85%,686.72%,54.13%,54.96%,93.13%,####,79.19%,54.31%,65.45%,54.20%,117.22%,51.75%,52.38%,51.91%,53.78%,####,25475.3,27970.8,32372.4,27966.0,27095.8,30811.3,29097.9,27978.6,27685.1,####,44925.4,50996.6,58369.1,50996.5,43091.3,43513.6,52776.6,51117.5,47206.2,####,42.09%,30.10%,24.81%,30.10%,28.87%,29.81%,33.82%,30.13%,28.40%,####,53.02%,35.29%,31.48%,35.32%,32.40%,11.42%,31.16%,35.15%,38.31%,####,11.5,8.3,46.6,8.3,8.7,9.1,45.6,8.3,7.9,####,148.4,169.9,295.5,169.9,10.6,8.2,318.1,174.4,25.7,####,38.84%,30.98%,26.96%,30.95%,36.30%,21.69%,25.30%,30.94%,29.64%,####,64.77%,46.70%,41.03%,46.62%,38.36%,41.70%,28.97%,44.57%,35.32%,####
seed-M10,,100.00%,64.59%,0.61%,99.25%,0.08%,0.06%,0.54%,98.32%,1.14%,0.00%,198.6,189.2,2902.0,172.6,147.1,143.7,3052.3,174.2,125.6,####,5156.6,6039.0,11173.9,6015.9,96.8,-121.8,11963.4,6069.7,580.4,####,2126.3,2497.6,4663.5,2487.7,110.7,-34.8,4993.7,2509.9,259.2,####,108.13%,80.39%,42.15%,80.40%,113.14%,81.54%,45.64%,79.87%,96.94%,####,79.25%,55.38%,49.49%,55.06%,1095.65%,244.32%,43.64%,54.39%,118.49%,####,75.18%,52.26%,42.75%,52.01%,107.75%,71.67%,40.35%,51.24%,69.96%,####,25898.5,27381.6,29252.0,27371.3,26402.6,26849.8,27243.9,27391.7,26580.3,####,44777.0,52898.5,58750.3,52870.9,45432.1,49225.6,55125.5,52922.1,49806.6,####,40.50%,30.64%,29.00%,30.63%,33.32%,30.85%,32.04%,30.63%,30.12%,####,51.38%,34.66%,30.74%,34.67%,38.25%,32.53%,30.59%,34.63%,35.06%,####,11.9,9.4,60.7,9.1,9.6,9.4,66.6,9.1,8.7,####,108.7,125.8,216.6,125.4,13.3,9.2,245.4,126.4,17.1,####,38.73%,30.84%,49.74%,30.68%,43.91%,23.40%,34.38%,30.69%,31.14%,####,60.30%,45.30%,39.25%,45.08%,47.06%,39.12%,34.07%,44.33%,30.09%,####
