Tube Name:,Mask,"Sample ID:",All Events,V1L Events,V1R Events,P1 Events,P2 Events,P3 Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,P1 AND NOT(H1-UL) Events,P1 AND NOT(H1-LL) Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,P2 % Total,P3 % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,P1 AND NOT(H1-UL) % Total,P1 AND NOT(H1-LL) % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,P2 % Parent,P3 % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,P1 AND NOT(H1-UL) % Parent,P1 AND NOT(H1-LL) % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,P2 Mean FITC-A,P3 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,P1 AND NOT(H1-UL) Mean FITC-A,P1 AND NOT(H1-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,P2 Mean ECD-A,P3 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,P1 AND NOT(H1-UL) Mean ECD-A,P1 AND NOT(H1-LL) Mean ECD-A,All Events  Mean FSC-A,V1L Mean FSC-A,V1R Mean FSC-A,P1 Mean FSC-A,P2 Mean FSC-A,P3 Mean FSC-A,H1-UR Mean FSC-A,H1-UL Mean FSC-A,H1-LL Mean FSC-A,H1-LR Mean FSC-A,P1 AND NOT(H1-UL) Mean FSC-A,P1 AND NOT(H1-LL) Mean FSC-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,P2 Mean Green-H,P3 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,P1 AND NOT(H1-UL) Mean Green-H,P1 AND NOT(H1-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,P2 Mean Red-H,P3 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,P1 AND NOT(H1-UL) Mean Red-H,P1 AND NOT(H1-LL) Mean Red-H,All Events  rCV FSC-A,V1L rCV FSC-A,V1R rCV FSC-A,P1 rCV FSC-A,P2 rCV FSC-A,P3 rCV FSC-A,H1-UR rCV FSC-A,H1-UL rCV FSC-A,H1-LL rCV FSC-A,H1-LR rCV FSC-A,P1 AND NOT(H1-UL) rCV FSC-A,P1 AND NOT(H1-LL) rCV FSC-A,All Events  rCV FITC-A,V1L rCV FITC-A,V1R rCV FITC-A,P1 rCV FITC-A,P2 rCV FITC-A,P3 rCV FITC-A,H1-UR rCV FITC-A,H1-UL rCV FITC-A,H1-LL rCV FITC-A,H1-LR rCV FITC-A,P1 AND NOT(H1-UL) rCV FITC-A,P1 AND NOT(H1-LL) rCV FITC-A,All Events  rCV ECD-A,V1L rCV ECD-A,V1R rCV ECD-A,P1 rCV ECD-A,P2 rCV ECD-A,P3 rCV ECD-A,H1-UR rCV ECD-A,H1-UL rCV ECD-A,H1-LL rCV ECD-A,H1-LR rCV ECD-A,P1 AND NOT(H1-UL) rCV ECD-A,P1 AND NOT(H1-LL) rCV ECD-A,All Events  rCV Green-H,V1L rCV Green-H,V1R rCV Green-H,P1 rCV Green-H,P2 rCV Green-H,P3 rCV Green-H,H1-UR rCV Green-H,H1-UL rCV Green-H,H1-LL rCV Green-H,H1-LR rCV Green-H,P1 AND NOT(H1-UL) rCV Green-H,P1 AND NOT(H1-LL) rCV Green-H,All Events  rCV Red-H,V1L rCV Red-H,V1R rCV Red-H,P1 rCV Red-H,P2 rCV Red-H,P3 rCV Red-H,H1-UR rCV Red-H,H1-UL rCV Red-H,H1-LL rCV Red-H,H1-LR rCV Red-H,P1 AND NOT(H1-UL) rCV Red-H,P1 AND NOT(H1-LL) rCV Red-H
1,"","####",57262,30899,5100,35999,4361,4689,3002,654,25608,6735,35345,10391,100.00%,53.96%,8.91%,62.87%,7.62%,8.19%,5.24%,1.14%,44.72%,11.76%,61.73%,18.15%,100.00%,85.83%,14.17%,62.87%,41.97%,45.13%,8.34%,1.82%,71.14%,18.71%,61.73%,18.15%,1849.0,347.4,11243.4,1891.0,10720.3,884.5,13586.6,18644.6,260.0,1252.5,1581.0,5910.5,7613.3,6484.1,20100.0,8413.1,19363.1,33186.3,23159.1,1803.0,424.5,32856.7,8535.4,28100.5,36345.4,10534.9,22303.4,12202.2,20974.3,19684.5,22496.6,23349.6,8919.1,19014.2,11995.9,20293.1,69.3,36.0,332.0,77.9,324.7,34.3,398.4,527.9,36.2,50.0,69.6,180.7,272.4,300.2,672.1,352.9,680.8,1217.0,751.8,76.2,73.9,1262.6,358.0,1040.4,99.96%,71.43%,36.95%,78.04%,39.43%,39.43%,35.17%,39.68%,62.78%,40.84%,77.44%,40.39%,199.11%,196.92%,82.76%,188.82%,78.06%,69.47%,62.23%,59.13%,230.86%,89.56%,189.75%,119.33%,190.16%,192.89%,89.47%,187.55%,73.14%,53.46%,66.96%,89.92%,224.27%,57.59%,189.47%,69.04%,84.11%,67.11%,82.18%,74.80%,74.26%,46.30%,64.98%,57.66%,70.92%,66.63%,73.86%,102.36%,96.40%,83.31%,90.31%,93.10%,75.51%,56.03%,68.63%,78.82%,72.55%,58.75%,93.41%,71.88%
2,"","####",40284,4358,8167,12525,6824,2326,6673,1139,2102,2611,11386,10423,100.00%,10.82%,20.27%,31.09%,16.94%,5.77%,16.56%,2.83%,5.22%,6.48%,28.26%,25.87%,100.00%,34.79%,65.21%,31.09%,65.47%,22.32%,53.28%,9.09%,16.78%,20.85%,28.26%,25.87%,2970.0,413.9,12229.7,8118.5,9192.8,641.9,12169.4,15997.1,327.8,600.3,7330.3,9689.6,6726.4,22798.2,14991.2,17707.6,13394.9,42829.3,16774.5,1557.1,716.8,40816.3,19323.2,21134.2,31813.5,55873.9,71534.7,66085.6,68931.2,64735.5,71173.2,71142.8,52309.5,61967.6,65579.7,68863.8,70.9,9.7,127.3,86.4,94.7,9.2,126.2,168.0,10.8,9.8,78.2,101.6,166.6,301.8,178.1,221.1,156.6,507.0,198.8,28.3,26.1,519.3,240.4,260.5,121.50%,46.26%,36.98%,40.79%,35.42%,32.23%,35.59%,44.11%,63.89%,32.80%,40.57%,36.05%,194.81%,92.97%,92.92%,133.17%,80.34%,62.34%,81.49%,81.56%,139.52%,63.80%,132.34%,124.10%,182.81%,146.75%,84.72%,122.45%,72.31%,56.08%,65.81%,78.66%,126.40%,63.73%,105.48%,91.01%,91.79%,45.20%,85.99%,116.35%,73.43%,36.26%,76.99%,72.53%,55.88%,40.38%,113.05%,116.59%,91.83%,134.47%,77.54%,109.88%,66.27%,57.61%,62.21%,66.51%,69.34%,63.62%,99.76%,87.39%
3,"","281",100000,21973,64362,86335,63295,16224,11474,52768,4380,17713,33567,81955,100.00%,21.97%,64.36%,86.33%,63.30%,16.22%,11.47%,52.77%,4.38%,17.71%,33.57%,81.95%,100.00%,25.45%,74.55%,86.33%,77.23%,19.80%,13.29%,61.12%,5.07%,20.52%,33.57%,81.95%,8957.8,223.5,12180.5,9137.3,12171.5,223.4,14462.3,11709.2,260.7,221.1,5094.3,9611.7,4900.6,13150.5,2092.6,4906.9,1962.3,16052.1,5515.4,1322.3,342.2,16320.0,10541.9,5150.8,70118.1,64806.2,71631.2,69894.2,71648.5,65911.0,83570.2,69018.4,62790.4,65400.6,71270.8,70273.8,88.9,5.7,119.0,90.2,118.7,5.4,124.9,118.0,6.7,5.5,46.5,94.6,65.1,155.3,26.8,59.5,24.9,183.7,58.5,19.6,13.3,190.4,122.2,62.0,38.23%,32.42%,32.07%,32.31%,32.00%,30.50%,32.15%,30.85%,37.98%,31.29%,34.74%,32.09%,129.39%,103.33%,48.35%,88.79%,47.80%,96.23%,54.94%,46.56%,104.88%,102.56%,132.95%,74.78%,105.56%,71.19%,77.49%,98.50%,76.33%,49.19%,27.63%,70.13%,224.98%,49.94%,84.02%,94.37%,97.24%,41.39%,41.02%,73.58%,40.56%,36.59%,49.43%,39.52%,45.66%,40.61%,73.40%,62.68%,78.18%,64.91%,56.53%,74.09%,55.59%,44.26%,39.25%,49.65%,67.03%,45.96%,94.94%,73.40%
4,"","332",100000,21273,71574,92847,70805,16792,9181,62350,3102,18214,30497,89745,100.00%,21.27%,71.57%,92.85%,70.81%,16.79%,9.18%,62.35%,3.10%,18.21%,30.50%,89.74%,100.00%,22.91%,77.09%,92.85%,78.90%,18.71%,9.89%,67.15%,3.34%,19.62%,30.50%,89.74%,9150.3,123.1,11798.1,9123.2,11759.5,125.7,16452.0,11120.1,159.1,119.7,5040.5,9433.0,2502.4,8326.2,724.3,2466.0,692.9,9687.7,2415.0,472.1,163.2,9709.5,6542.5,2545.6,73802.4,68546.5,72976.2,71961.3,72977.4,69370.2,89989.0,70479.0,64753.2,69176.0,74991.8,72210.4,90.2,4.2,112.2,87.5,111.8,4.1,132.6,109.3,4.9,4.1,42.9,90.3,31.4,90.7,11.3,29.5,11.0,103.2,23.5,9.5,7.9,104.7,70.4,30.2,31.81%,28.49%,29.67%,29.45%,29.66%,27.66%,32.28%,28.30%,30.07%,28.18%,31.94%,29.34%,83.66%,137.97%,45.00%,71.18%,44.88%,126.73%,50.80%,42.99%,121.36%,140.94%,145.53%,64.99%,109.01%,62.69%,91.78%,105.09%,90.45%,49.03%,22.74%,90.24%,250.71%,49.89%,104.77%,102.98%,64.30%,40.27%,37.05%,57.52%,36.94%,36.38%,42.86%,35.84%,41.73%,39.85%,63.68%,52.56%,63.33%,54.35%,47.35%,60.53%,46.79%,43.35%,36.36%,44.51%,55.54%,44.80%,104.43%,60.61%
5,"","369",84599,19281,61871,81152,61622,15844,2100,59876,2834,16342,21276,78318,100.00%,22.79%,73.13%,95.93%,72.84%,18.73%,2.48%,70.78%,3.35%,19.32%,25.15%,92.58%,100.00%,23.76%,76.24%,95.93%,78.68%,20.23%,2.59%,73.78%,3.49%,20.14%,25.15%,92.58%,8135.2,155.7,10486.9,8032.3,10461.6,152.2,17673.2,10218.0,176.6,147.6,1881.3,8316.6,1408.2,4547.0,381.2,1370.9,359.9,5274.0,2655.3,309.9,157.5,5304.0,4357.0,1414.9,69365.4,67147.6,68754.2,68372.5,68720.9,67826.2,95528.4,67839.2,63287.9,67718.8,69873.4,68556.5,82.8,4.2,105.9,81.8,105.8,4.1,137.3,104.7,4.7,4.1,17.3,84.5,18.8,51.8,7.3,17.9,7.1,59.2,25.8,6.7,5.8,59.8,49.2,18.3,30.38%,28.38%,29.59%,29.26%,29.56%,27.92%,35.39%,28.99%,30.56%,27.95%,29.96%,29.23%,80.49%,88.01%,45.36%,74.19%,45.25%,84.62%,60.47%,44.77%,84.43%,88.50%,90.92%,66.97%,102.28%,62.74%,86.83%,100.28%,86.49%,49.49%,23.09%,86.29%,171.37%,49.97%,73.32%,98.96%,61.53%,34.41%,36.53%,58.44%,36.42%,32.37%,51.30%,36.14%,34.63%,33.49%,38.01%,52.62%,55.44%,54.57%,41.95%,54.38%,41.81%,43.04%,44.57%,40.94%,49.15%,43.76%,64.49%,54.60%
6,"","406",100000,21258,67854,89112,67462,17155,33049,34988,2834,18241,54124,86278,100.00%,21.26%,67.85%,89.11%,67.46%,17.16%,33.05%,34.99%,2.83%,18.24%,54.12%,86.28%,100.00%,23.86%,76.14%,89.11%,78.19%,19.88%,37.09%,39.26%,3.18%,20.47%,54.12%,86.28%,7250.5,135.3,9061.6,6932.2,9071.0,120.6,11109.2,7085.2,179.0,120.2,6833.3,7154.0,906.8,1966.8,473.7,829.9,473.6,2289.2,781.7,182.5,46.3,2280.6,1248.4,855.6,44088.9,40158.4,43146.2,42433.5,43136.0,40857.0,48954.4,37635.8,37168.3,40639.4,45534.9,42606.4,107.8,6.4,139.4,107.6,139.5,5.9,153.5,125.3,7.3,6.1,96.2,110.9,19.4,38.2,12.7,18.7,12.7,42.8,15.7,9.8,7.9,43.1,24.5,19.1,36.88%,32.40%,34.39%,33.97%,34.39%,31.28%,33.88%,29.91%,33.16%,32.07%,34.85%,33.88%,98.28%,102.20%,51.67%,86.80%,51.45%,99.73%,52.55%,44.42%,98.81%,103.73%,143.41%,77.54%,97.73%,70.19%,81.20%,93.87%,80.57%,55.07%,35.49%,84.02%,490.37%,55.85%,58.29%,90.70%,71.85%,37.84%,40.62%,67.01%,40.47%,34.44%,42.38%,37.83%,41.18%,36.72%,134.60%,60.76%,56.29%,56.00%,43.06%,55.22%,42.84%,44.18%,34.43%,40.91%,58.65%,45.41%,56.58%,54.68%
7,"","451",100000,17725,54379,72104,54181,15788,54253,392,670,16789,71712,71434,100.00%,17.72%,54.38%,72.10%,54.18%,15.79%,54.25%,0.39%,0.67%,16.79%,71.71%,71.43%,100.00%,24.58%,75.42%,72.10%,75.85%,22.10%,75.24%,0.54%,0.93%,23.28%,71.71%,71.43%,4087.8,152.3,4706.0,3586.5,4670.6,148.0,4704.5,2360.8,149.8,139.7,3593.2,3618.8,2080.0,2195.4,1863.5,1945.1,1858.7,2142.4,1871.1,-13.5,-71.4,2310.4,1955.8,1964.0,45026.0,39753.6,43417.4,42516.8,43351.3,39709.1,43439.2,34157.4,39313.7,39858.9,42562.4,42546.8,59.7,6.7,74.7,58.0,74.4,6.6,74.7,50.2,6.7,6.5,58.1,58.5,36.8,42.6,33.9,36.1,33.9,41.8,34.0,7.2,5.5,44.5,36.2,36.3,40.85%,30.75%,32.90%,32.46%,32.99%,30.49%,32.92%,23.38%,30.50%,30.65%,32.45%,32.46%,106.92%,88.22%,51.69%,88.29%,51.57%,81.70%,51.77%,45.83%,107.18%,87.49%,88.34%,85.18%,68.59%,65.56%,58.81%,61.66%,58.54%,59.08%,58.48%,453.53%,210.11%,61.36%,61.27%,60.90%,71.91%,35.52%,40.69%,67.63%,40.56%,33.06%,40.83%,46.03%,42.18%,34.70%,67.70%,65.58%,46.67%,51.70%,40.97%,45.33%,40.77%,46.67%,40.73%,41.19%,52.49%,48.83%,45.05%,44.81%
8,"","486",57835,12743,39427,52170,39008,11052,39716,259,451,11744,51911,51719,100.00%,22.03%,68.17%,90.20%,67.45%,19.11%,68.67%,0.45%,0.78%,20.31%,89.76%,89.43%,100.00%,24.43%,75.57%,90.20%,75.42%,21.37%,76.13%,0.50%,0.86%,22.51%,89.76%,89.43%,2607.1,155.8,2846.1,2189.0,2835.1,153.6,2822.6,1370.2,105.9,144.3,2193.1,2207.2,1828.9,1697.9,1596.7,1621.4,1603.3,1646.8,1618.9,0.7,-39.1,1729.2,1629.5,1635.9,35484.8,29638.3,32930.1,32126.1,32837.3,30298.4,33050.6,25586.0,28453.2,29284.8,32158.7,32158.1,47.7,8.5,59.0,46.6,58.9,8.1,58.4,39.2,7.5,8.4,46.7,47.0,39.0,43.2,37.2,38.7,37.5,41.1,37.5,8.0,6.6,44.5,38.9,39.0,37.38%,34.51%,34.98%,34.75%,35.01%,32.86%,35.09%,37.31%,41.20%,33.85%,34.75%,34.70%,93.75%,76.47%,50.68%,86.56%,50.33%,74.84%,51.28%,61.23%,113.60%,74.49%,86.38%,83.75%,61.82%,65.27%,55.63%,58.13%,54.93%,59.61%,55.60%,346.45%,393.89%,61.19%,57.75%,57.51%,65.03%,36.00%,38.28%,63.13%,37.98%,32.70%,38.61%,56.90%,43.69%,35.55%,62.90%,61.32%,44.04%,50.78%,40.37%,43.46%,39.96%,46.04%,40.39%,45.70%,50.34%,47.58%,43.21%,43.01%
9,"","517",100000,21770,68637,90407,69264,19675,70020,293,597,19497,90114,89810,100.00%,21.77%,68.64%,90.41%,69.26%,19.68%,70.02%,0.29%,0.60%,19.50%,90.11%,89.81%,100.00%,24.08%,75.92%,90.41%,77.12%,21.91%,77.45%,0.32%,0.66%,21.57%,90.11%,89.81%,2316.2,210.6,2489.1,1940.4,2434.3,213.6,2446.2,1401.1,123.3,187.9,1942.2,1952.5,3062.4,2342.5,2770.6,2667.5,2732.0,2444.3,2798.4,40.7,-9.8,2319.0,2676.1,2685.3,31476.7,26248.1,29406.5,28645.9,29139.7,26599.2,29492.3,21508.7,29131.9,25698.9,28669.1,28642.7,46.8,10.6,56.8,45.7,56.1,10.2,55.9,45.4,8.4,10.1,45.7,45.9,66.4,63.3,66.2,65.5,66.0,64.4,66.6,10.0,7.2,64.1,65.7,65.9,36.91%,34.22%,34.19%,34.38%,34.56%,32.89%,34.46%,33.29%,45.66%,32.84%,34.35%,34.34%,88.80%,65.99%,49.91%,83.50%,50.42%,62.31%,51.03%,58.64%,118.31%,62.60%,83.45%,81.49%,62.60%,65.21%,57.31%,59.05%,57.27%,61.19%,57.66%,130.14%,21794.22%,60.97%,58.80%,58.58%,60.10%,35.82%,36.46%,58.67%,36.82%,32.47%,37.28%,57.05%,49.51%,34.43%,58.61%,57.47%,44.37%,50.38%,41.90%,43.80%,41.82%,47.30%,41.90%,51.62%,53.95%,48.30%,43.63%,43.48%
10,"","553",100000,21362,70021,91383,69343,20153,71019,640,667,19057,90743,90716,100.00%,21.36%,70.02%,91.38%,69.34%,20.15%,71.02%,0.64%,0.67%,19.06%,90.74%,90.72%,100.00%,23.38%,76.62%,91.38%,76.44%,22.22%,77.72%,0.70%,0.73%,20.85%,90.74%,90.72%,2039.8,191.6,2246.8,1766.4,2233.6,205.8,2214.5,1189.0,104.8,174.0,1770.5,1778.6,2589.7,2103.8,2371.7,2309.0,2251.4,2182.9,2399.4,137.8,53.6,2124.0,2324.4,2325.6,29848.1,25398.0,28581.5,27837.3,28371.4,25954.9,28719.4,19935.2,28189.5,24802.9,27893.0,27834.7,43.7,10.3,52.7,42.7,52.6,10.1,51.9,41.6,8.5,10.0,42.8,43.0,58.5,58.4,57.9,58.0,56.0,58.9,58.4,13.2,9.2,60.0,58.3,58.4,36.77%,33.28%,34.23%,34.33%,34.40%,32.46%,34.15%,31.09%,47.37%,32.38%,34.20%,34.24%,88.48%,65.49%,50.14%,82.62%,49.89%,63.58%,51.14%,47.62%,123.08%,62.43%,82.53%,80.60%,61.26%,62.89%,56.87%,58.23%,56.32%,59.99%,56.53%,65.76%,230.95%,59.53%,57.76%,57.75%,59.57%,35.03%,36.22%,57.45%,35.93%,32.69%,37.03%,36.16%,57.80%,34.12%,57.61%,56.21%,43.74%,49.20%,41.52%,43.19%,41.07%,46.77%,41.25%,42.79%,64.76%,47.27%,42.82%,42.81%
