time,M1,M4,M5,M7,pECJ3
45.43333333,0.034,,,,
46.08333333,,0.031,,,
46.66666667,,,0.031,,
47.08333333,,,,0.035,
47.63333333,,,,,0.034
60.5,0.048,,,,
61,,0.045,,,
61.4,,,0.051,,
62.06666667,,,,0.056,
62.75,,,,,0.053
96,0.154,,,,
97.66666667,,0.152,,,
99.66666667,,,0.172,,
102,,,,0.201,
104,,,,,0.198
131.15,0.48,,,,
126,,0.483,,,
129.0333333,,,0.528,,
133.4166667,,,,0.471,
137.35,,,,,0.46
150,0.61,,,,
151.75,,0.6,,,
153.75,,,0.65,,
155.5,,,,0.7,
157.5,,,,,0.65
171.5,0.77,,,,
173.5,,0.8,,,
175.5,,,0.89,,
177.5,,,,0.92,
179.5,,,,,0.86
201.5,1,,,,
203.5,,1.02,,,
205.5,,,1.14,,
207.5,,,,1.12,
209.5,,,,,1.09
231.5,1.15,,,,
233.5,,1.22,,,
235.5,,,1.32,,
237.5,,,,1.28,
239.5,,,,,1.22
265.5,1.38,,,,
267.5,,1.46,,,
269.5,,,1.62,,
271.5,,,,1.62,
273.5,,,,,1.44
295.5,1.5,,,,
297.5,,1.6,,,
299.5,,,1.78,,
301.5,,,,1.78,
303.5,,,,,1.58
360,1.78,,,,
362,,2.2,,,
364,,,2.26,,
366,,,,2.22,
368,,,,,1.86
420,2.08,,,,
422,,2.3,,,
424,,,2.6,,
426,,,,2.5,
428,,,,,2.22
480,2.4,,,,
482,,2.68,,,
484,,,3.02,,
486,,,,2.84,
488,,,,,2.56
600,3.4,,,,
602,,3.9,,,
604,,,4.4,,
606,,,,4.2,
608,,,,,3.7
