Time,OD600,Sample_Name,Medium,Note,Generation
2020-7-23 6:39:55,0.058,M7_1,RDM gly,,1
2020-7-23 6:46:30,0.089,M5_1,RDM gly,,1
2020-7-23 6:49:56,0.068,M8_1,RDM gly,,1
2020-7-23 6:53:43,0.074,M7_2,RDM gly,,1
2020-7-23 6:56:43,0.111,M5_2,RDM gly,,1
2020-7-23 7:00:15,0.084,M8_2,RDM gly,,1
2020-7-23 7:06:32,0.135,M5_3,RDM gly,,1
2020-7-23 7:10:51,0.104,M7_3,RDM gly,,1
2020-7-23 7:12:29,0.106,M8_3,RDM gly,,1
2020-7-23 7:18:34,0.173,M5_4,RDM gly,16 x dilution to MOPS Gly,2
2020-7-23 7:28:50,0.147,M7_4,RDM gly,16 x dilution to MOPS Gly,2
2020-7-23 7:32:03,0.155,M8_4,RDM gly,16 x dilution to MOPS Gly,2
2020-7-23 7:35:52,0.016,M5_5,MOPS gly,,2
2020-7-23 7:44:59,0.012,M7_5,MOPS gly,,2
2020-7-23 7:47:55,0.013,M8_5,MOPS gly,,2
2020-7-23 7:50:21,0.022,M5_6,MOPS gly,,2
2020-7-23 8:00:59,0.017,M7_6,MOPS gly,,2
2020-7-23 8:02:11,0.018,M8_6,MOPS gly,,2
2020-7-23 8:04:51,0.03,M5_7,MOPS gly,,2
2020-7-23 8:17:39,0.024,M7_7,MOPS gly,,2
2020-7-23 8:20:25,0.026,M8_7,MOPS gly,,2
2020-7-23 8:23:05,0.042,M5_8,MOPS gly,,2
2020-7-23 8:35:46,0.035,M7_8,MOPS gly,,2
2020-7-23 8:38:12,0.038,M8_8,MOPS gly,,2
2020-7-23 8:40:58,0.053,M5_9,MOPS gly,,2
2020-7-23 8:50:15,0.043,M7_9,MOPS gly,,2
2020-7-23 8:52:59,0.046,M8_9,MOPS gly,,2
2020-7-23 8:56:19,0.066,M5_10,MOPS gly,,2
2020-7-23 9:05:13,0.051,M7_10,MOPS gly,,2
2020-7-23 9:06:43,0.055,M8_10,MOPS gly,,2
2020-7-23 9:11:59,0.08,M5_11,MOPS gly,,2
2020-7-23 9:20:26,0.062,M7_11,MOPS gly,,2
2020-7-23 9:22:59,0.069,M8_11,MOPS gly,,2
2020-7-23 9:27:27,0.094,M5_12,MOPS gly,,2
2020-7-23 9:35:27,0.074,M7_12,MOPS gly,,2
2020-7-23 9:38:24,0.082,M8_12,MOPS gly,,2
2020-7-23 9:43:47,0.111,M5_13,MOPS gly,3 x dilution to MOPS Gly,3
2020-7-23 9:51:19,0.085,M7_13,MOPS gly,3 x dilution to MOPS Gly,3
2020-7-23 9:54:07,0.093,M8_13,MOPS gly,3 x dilution to MOPS Gly,3
2020-7-23 10:03:35,0.045,M5_14,MOPS gly,,3
2020-7-23 10:12:37,0.035,M7_14,MOPS gly,,3
2020-7-23 10:16:11,0.04,M8_14,MOPS gly,,3
2020-7-23 10:23:36,0.052,M5_15,MOPS gly,,3
2020-7-23 10:33:42,0.041,M7_15,MOPS gly,,3
2020-7-23 10:38:00,0.048,M8_15,MOPS gly,,3
2020-7-23 10:45:03,0.059,M5_16,MOPS gly,,3
2020-7-23 10:54:08,0.049,M7_16,MOPS gly,,3
2020-7-23 11:00:55,0.054,M8_16,MOPS gly,,3
2020-7-23 11:06:00,0.063,M5_17,MOPS gly,,3
2020-7-23 11:22:10,0.055,M7_17,MOPS gly,,3
2020-7-23 11:23:25,0.059,M8_17,MOPS gly,,3
2020-7-23 11:41:50,0.069,M5_18,MOPS gly,,3
2020-7-23 12:07:32,0.063,M7_18,MOPS gly,,3
2020-7-23 12:08:38,0.066,M8_18,MOPS gly,,3
2020-7-23 12:19:19,0.079,M5_19,MOPS gly,,3
2020-7-23 12:40:05,0.066,M7_19,MOPS gly,,3
2020-7-23 12:45:42,0.073,M8_19,MOPS gly,,3
2020-7-23 12:58:40,0.099,M5_20,MOPS gly,,3
2020-7-23 13:34:19,0.076,M7_20,MOPS gly,,3
2020-7-23 13:39:19,0.094,M8_20,MOPS gly,,3
2020-7-23 13:43:51,0.132,M5_21,MOPS gly,3 x dilution to MOPS Gly,4
2020-7-23 14:24:56,0.119,M8_21,MOPS gly,3 x dilution to MOPS Gly,4
2020-7-23 14:29:09,0.06,M5_22,MOPS gly,,4
2020-7-23 14:34:27,0.096,M7_21,MOPS gly,,4
2020-7-23 15:09:12,0.051,M8_22,MOPS gly,,4
2020-7-23 15:20:08,0.083,M5_23,MOPS gly,,4
2020-7-23 15:26:47,0.119,M7_22,MOPS gly,3.13 x dilution to MOPS Gly,5
2020-7-23 15:41:22,0.096,M5_24,MOPS gly,,5
2020-7-23 15:47:39,0.061,M8_23,MOPS gly,,5
2020-7-23 16:00:59,0.111,M5_25,MOPS gly,,5
2020-7-23 16:04:55,0.044,M7_23,MOPS gly,,5
2020-7-23 16:20:47,0.127,M5_26,MOPS gly,3 x dilution to MOPS Gly,6
2020-7-23 16:24:46,0.072,M8_24,MOPS gly,,6
2020-7-23 16:48:36,0.053,M5_27,MOPS gly,,6
2020-7-23 16:53:12,0.053,M7_24,MOPS gly,,6
2020-7-23 16:58:20,0.085,M8_25,MOPS gly,,6
2020-7-23 17:11:53,0.06,M5_28,MOPS gly,,6
