Sample_Name,Growth rate (h-1),Green,Red
M5_1,,,
M5_2,1.297256,209.5,13.3
M5_3,1.196401,,
M5_4,1.236649,222.4,13.8
M5_5,,,
M5_6,1.319256,,
M5_7,1.2834,231.2,13.4
M5_8,1.107221,,
M5_9,0.780466,320.1,16.7
M5_10,0.857444,,
M5_11,0.736743,402.9,31.2
M5_12,0.625609,418.2,38.6
M5_13,0.610661,,
M5_14,,433.3,72.2
M5_15,0.433383,444.4,100.9
M5_16,0.353269,,
M5_17,0.187868,,
M5_18,0.152325,,
M5_19,0.216642,465,418.4
M5_20,0.3441,446.7,453.8
M5_21,0.38202,428.4,465.3
M5_22,,365.2,465.4
M5_23,0.381885,333.6,505.6
M5_24,0.411167,318.6,521.7
M5_25,0.444057,295.6,514.7
M5_26,0.408051,286.2,530.3
M5_27,,251.7,526.5
M5_28,0.319678,256.2,551.5
M5_29,0.346086,215.9,645.1
M5_30,0.449461,196.7,642.3
M5_31,0.394108,168.8,711.5
M5_32,,,
M5_33,0.412195,149.9,806.7
M5_34,0.364229,139.6,859
M5_35,0.406417,135.4,920.8
M5_36,0.393643,,
M5_37,,112,1054.6
M5_38,0.387865,102.5,1230.5
M5_39,0.398887,90.8,1340.4
M5_40,0.387576,,
M5_41,,28.6,3117.7
M5_42,0.340726,28.3,3459.2
M5_43,0.357249,,
M5_44,0.322747,,
M5_45,0.291457,20.7,3783.4
M5_46,0.341287,,
M5_47,0.283407,19.8,4053.6
M5_48,0.34983,,
M5_49,,19.6,3694.9
M5_50,0.309769,16.4,3254.3
M5_51,0.555667,15.1,2804.9
M5_52,0.787,13.4,2338.1
M5_53,0.628304,11.9,2040.4
M5_54,1.028821,,
M5_55,,10.8,1388.3
M5_56,1.143984,10.1,1106.5
M5_57,1.12449,10.3,920
M5_58,1.173868,,
M5_59,,11.4,654.1
M5_60,1.222621,10.8,549.3
M5_61,1.228766,11.8,516.3
M5_62,1.290947,,
M7_1,,,
M7_2,1.059226446,505.6,20.3
M7_3,1.191802433,,
M7_4,1.154541312,508.5,12.9
M7_5,,,
M7_6,1.306150104,,
M7_7,1.241425751,547.8,13.6
M7_8,1.249548512,,
M7_9,0.852781813,600,14.3
M7_10,0.684022117,,
M7_11,0.770111181,855,18.8
M7_12,0.706937347,931.7,22.6
M7_13,0.524065323,,
M7_14,,1412.2,41.7
M7_15,0.450281754,1497.6,56.7
M7_16,0.523404268,,
M7_17,0.24723329,,
M7_18,0.179605271,,
M7_19,0.085751181,2165.5,228.3
M7_20,0.15607958,2440.3,264.5
M7_21,0.233096858,3009.7,272.7
M7_22,0.246239199,3348.9,271.3
M7_23,,3521.6,267.7
M7_24,0.231262757,3774.9,307.7
M7_25,0.168642127,4002.9,356.5
M7_26,0.206149244,3939.7,389.5
M7_27,0.147145781,3888.6,428.6
M7_28,0.24098289,3261.4,455.3
M7_29,0.179101308,,
M7_30,,3040.4,511.8
M7_31,0.169751347,2772.2,654.9
M7_32,0.200440719,2220.2,767.1
M7_33,0.250896268,1647.5,873.5
M7_34,0.207065954,1584,851.4
M7_35,0.22755648,,
M7_36,,254.4,2659.5
M7_37,0.316734103,,
M7_38,0.314760818,99.1,3325.8
M7_39,0.333629196,,
M7_40,0.335894857,52.9,3565.5
M7_41,0.279194227,42.9,3589.5
M7_42,0.281814853,,
M8_2,1.228938,356.3,14.1
M8_3,1.140927,,
M8_4,1.165204,343.9,13.2
M8_5,,,
M8_6,1.368599,,
M8_7,1.210063,379.6,14.1
M8_8,1.280377,,
M8_9,0.775421,379.6,14.1
M8_10,0.780692,,
M8_11,0.836459,561.2,21.6
M8_12,0.67179,694.1,31.1
M8_13,0.480561,,
M8_14,,868.4,62.8
M8_15,0.501419,861.6,86.9
M8_16,0.308377,,
M8_17,0.236142,,
M8_18,0.148773,,
M8_19,0.163173,989.6,397.2
M8_20,0.282937,1261,437.6
M8_21,0.310188,1358.1,452.9
M8_22,,1373.2,464.1
M8_23,0.279399,1473.8,487.6
M8_24,0.268007,1419.9,507.6
M8_25,0.296696,1430,537.7
M8_26,0.34075,1418.6,558.1
M8_27,0.371995,1404.7,598.7
M8_28,,1391.4,636.5
M8_29,0.193057,1256,773.7
M8_30,0.286013,1242.8,803.6
M8_31,0.319417,1111,837.6
M8_32,0.356497,1157.3,868.2
M8_33,0.260887,,
M8_34,,1037.4,1000.1
M8_35,0.238204,895.9,1147.8
M8_36,0.312551,803.8,1282.1
M8_37,0.308125,,
M8_38,,163.4,2962.1
M8_39,,,
M8_40,0.32577,96.1,3541.4
M8_41,0.298573,,
M8_42,0.299942,46.5,4121.2
M8_43,0.296548,42.5,4065
M8_44,0.330302,,
