Number,Time,OD600,Sample,Dilution_Factor
1,2020-9-29 10:41:10,0.009,pECJ3,
2,2020-9-29 10:42:18,0.01,M5_L5,
3,2020-9-29 10:43:10,0.01,M5_L6,
4,2020-9-29 10:43:51,0.009,M5,
5,2020-9-29 11:37:48,0.019,pECJ3,
6,2020-9-29 11:39:26,0.02,M5_L5,
7,2020-9-29 11:40:14,0.021,M5_L6,
8,2020-9-29 11:41:11,0.017,M5,
9,2020-9-29 13:00:56,0.139,pECJ3,
10,2020-9-29 13:01:42,0.15,M5_L5,
11,2020-9-29 13:03:45,0.106,M5,
12,2020-9-29 13:12:48,0.226,M5_L6,
13,2020-9-29 13:30:20,0.008,pECJ3,
14,2020-9-29 13:31:19,0.008,M5_L5,
15,2020-9-29 13:32:09,0.008,M5_L6,
16,2020-9-29 13:33:14,0.007,M5,
17,2020-9-29 13:53:21,0.013,pECJ3,
18,2020-9-29 13:54:36,0.014,M5_L5,
19,2020-9-29 13:55:29,0.016,M5_L6,
20,2020-9-29 13:56:24,0.013,M5,
21,2020-9-29 14:08:09,0.019,pECJ3,
22,2020-9-29 14:09:28,0.022,M5_L5,
23,2020-9-29 14:10:38,0.023,M5_L6,
24,2020-9-29 14:11:38,0.019,M5,
25,2020-9-29 14:29:25,0.033,pECJ3,
26,2020-9-29 14:30:24,0.037,M5_L5,
27,2020-9-29 14:31:25,0.041,M5_L6,
28,2020-9-29 14:32:31,0.034,M5,
29,2020-9-29 14:54:08,0.069,pECJ3,
30,2020-9-29 14:56:00,0.078,M5_L5,
31,2020-9-29 14:57:53,0.088,M5_L6,
32,2020-9-29 14:59:36,0.071,M5,
33,2020-9-29 15:12:54,0.113,pECJ3,
34,2020-9-29 15:14:16,0.128,M5_L5,
35,2020-9-29 15:15:30,0.144,M5_L6,
36,2020-9-29 15:16:48,0.114,M5,
37,2020-9-29 15:25:39,0.164,pECJ3,
38,2020-9-29 15:28:39,0.191,M5_L5,
39,2020-9-29 15:31:23,0.227,M5_L6,
40,2020-9-29 15:34:09,0.184,M5,
41,2020-9-29 16:10:06,0.041,pECJ3,
42,2020-9-29 16:11:32,0.04,M5_L5,
43,2020-9-29 16:13:10,0.039,M5_L6,
44,2020-9-29 16:15:36,0.037,M5,
45,2020-9-29 16:30:06,0.074,pECJ3,
46,2020-9-29 16:31:30,0.07,M5_L5,
47,2020-9-29 16:32:55,0.067,M5_L6,
48,2020-9-29 16:34:16,0.061,M5,
49,2020-9-29 16:52:21,0.135,pECJ3,
50,2020-9-29 16:53:55,0.13,M5_L5,
51,2020-9-29 16:55:23,0.125,M5_L6,
52,2020-9-29 16:57:04,0.115,M5,
53,2020-9-29 16:58:52,0.153,pECJ3,
54,2020-9-29 16:59:42,0.159,M5_L5,
55,2020-9-29 17:01:17,0.149,M5_L6,
56,2020-9-29 17:03:09,0.135,M5,
57,2020-9-29 17:06:21,0.179,pECJ3,
58,2020-9-29 17:08:13,0.189,M5_L5,
59,2020-9-29 17:10:08,0.187,M5_L6,
60,2020-9-29 17:12:27,0.173,M5,
61,2020-9-29 17:17:10,0.014,pECJ3,16
62,2020-9-29 17:18:34,0.013,M5_L5,16
63,2020-9-29 17:20:00,0.013,M5_L6,16
64,2020-9-29 17:21:04,0.012,M5,16
65,2020-9-29 17:35:38,0.022,pECJ3,
66,2020-9-29 17:38:00,0.025,M5_L5,
67,2020-9-29 17:40:01,0.025,M5_L6,
68,2020-9-29 17:42:21,0.023,M5,
69,2020-9-29 17:56:05,0.039,pECJ3,
70,2020-9-29 17:57:35,0.04,M5_L5,
71,2020-9-29 17:59:28,0.042,M5_L6,
72,2020-9-29 18:00:57,0.038,M5,
73,2020-9-29 18:12:35,0.06,pECJ3,
74,2020-9-29 18:14:21,0.062,M5_L5,
75,2020-9-29 18:16:13,0.065,M5_L6,
76,2020-9-29 18:18:31,0.061,M5,
77,2020-9-29 18:27:48,0.087,pECJ3,
78,2020-9-29 18:29:51,0.093,M5_L5,
79,2020-9-29 18:31:35,0.096,M5_L6,
80,2020-9-29 18:32:40,0.085,M5,
81,2020-9-29 18:44:49,0.125,pECJ3,
82,2020-9-29 18:46:32,0.129,M5_L5,
83,2020-9-29 18:48:07,0.133,M5_L6,
84,2020-9-29 18:50:15,0.125,M5,
85,2020-9-29 18:59:44,0.156,pECJ3,
86,2020-9-29 19:02:32,0.165,M5_L5,
87,2020-9-29 19:05:05,0.171,M5_L6,
88,2020-9-29 19:07:18,0.161,M5,
89,2020-9-29 19:19:47,0.192,pECJ3,
90,2020-9-29 19:21:48,0.197,M5_L5,
91,2020-9-29 19:23:30,0.2,M5_L6,
92,2020-9-29 19:25:13,0.191,M5,
93,2020-9-29 19:34:14,0.012,pECJ3,16
94,2020-9-29 19:37:41,0.013,M5_L5,16
95,2020-9-29 19:39:12,0.012,M5_L6,16
96,2020-9-29 19:40:37,0.012,M5,16
97,2020-9-29 19:55:46,0.014,pECJ3,
