,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Sample ID:,All Events ,V1L Events,V1R Events,P1 Events,H1-UR Events,H1-UL Events,H1-LL Events,H1-LR Events,H2-UR Events,H2-UL Events,H2-LL Events,H2-LR Events,P1 AND NOT(H2-LL) Events,All Events  % Total,V1L % Total,V1R % Total,P1 % Total,H1-UR % Total,H1-UL % Total,H1-LL % Total,H1-LR % Total,H2-UR % Total,H2-UL % Total,H2-LL % Total,H2-LR % Total,P1 AND NOT(H2-LL) % Total,All Events  % Parent,V1L % Parent,V1R % Parent,P1 % Parent,H1-UR % Parent,H1-UL % Parent,H1-LL % Parent,H1-LR % Parent,H2-UR % Parent,H2-UL % Parent,H2-LL % Parent,H2-LR % Parent,P1 AND NOT(H2-LL) % Parent,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,FCS,Growth Rate
1,1,2020-09-29 10:41:10,0.009000000000000001,pECJ3,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
2,2,2020-09-29 10:42:18,0.01,M5_L5,,0.01888888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
3,3,2020-09-29 10:43:10,0.01,M5_L6,,0.03333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
4,4,2020-09-29 10:43:51,0.009000000000000001,M5,,0.04472222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,
5,5,2020-09-29 11:37:48,0.019,pECJ3,,0.9438888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.7916338571479683
6,6,2020-09-29 11:39:26,0.02,M5_L5,,0.9711111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.727925860564703
7,7,2020-09-29 11:40:14,0.021,M5_L6,,0.9844444444444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.7800743110472422
8,8,2020-09-29 11:41:11,0.017,M5,,1.0002777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.6655696395906946
9,9,2020-09-29 13:00:56,0.139,pECJ3,,2.3294444444444444,9.0,5.0,98178.0,1280.0,91476.0,92756.0,1.0,91477.0,1277.0,1.0,1.0,91479.0,1276.0,0.0,91480.0,100.00%,1.30%,93.17%,94.48%,0.00%,93.17%,1.30%,0.00%,0.00%,93.18%,1.30%,0.00%,93.18%,100.00%,1.38%,98.62%,94.48%,0.00%,98.62%,1.38%,0.00%,0.00%,98.62%,1.38%,0.00%,93.18%,29370.7,193.9,28661.1,28268.3,44318.2,28660.4,190.6,952.4,44318.2,28659.7,191.3,,28659.9,1209.5,196.3,1185.1,1171.4,24541.1,1184.8,194.2,2367.8,24541.1,1184.8,196.5,,1185.0,23.2,9.6,22.1,22.0,449.3,22.1,9.6,17.8,449.3,22.1,9.6,,22.1,420.8,7.6,404.5,399.0,742.0,404.5,7.6,8.5,742.0,404.5,7.5,,404.5,True,1.4362722201826994
10,10,2020-09-29 13:01:42,0.15,M5_L5,,2.3422222222222224,10.0,,100000.0,506.0,95087.0,95593.0,4.0,95104.0,482.0,3.0,16.0,95087.0,488.0,2.0,95105.0,100.00%,0.51%,95.09%,95.59%,0.00%,95.10%,0.48%,0.00%,0.02%,95.09%,0.49%,0.00%,95.10%,100.00%,0.53%,99.47%,95.59%,0.00%,99.49%,0.50%,0.00%,0.02%,99.47%,0.51%,0.00%,95.10%,25010.8,226.0,24349.7,24222.0,55818.1,24343.2,184.3,438.9,55250.8,24340.6,195.3,407.8,24345.2,1138.7,274.1,1101.1,1096.8,18365.7,1100.3,202.4,10478.3,15092.7,1098.6,218.8,14999.4,1101.3,26.0,12.0,23.9,23.8,276.2,23.9,10.6,219.0,465.0,23.8,10.8,309.6,23.9,378.3,8.5,354.6,352.8,504.3,354.6,7.7,10.8,1219.9,354.4,7.7,11.3,354.6,True,1.469540290508945
11,11,2020-09-29 13:03:45,0.106,M5,,2.376388888888889,11.0,,46012.0,475.0,42497.0,42972.0,4.0,42521.0,442.0,5.0,13.0,42504.0,452.0,3.0,42520.0,100.00%,1.03%,92.36%,93.39%,0.01%,92.41%,0.96%,0.01%,0.03%,92.38%,0.98%,0.01%,92.41%,100.00%,1.11%,98.89%,93.39%,0.01%,98.95%,1.03%,0.01%,0.03%,98.91%,1.05%,0.01%,92.41%,37083.6,235.8,35712.6,35320.4,21724.4,35691.2,173.1,276.8,59087.0,35689.2,191.2,191.6,35693.8,1774.4,233.7,1713.8,1697.4,15583.3,1711.5,165.4,6330.0,18626.4,1707.8,183.7,8450.6,1713.5,37.7,10.8,34.9,34.7,454.9,34.9,9.8,101.6,498.1,34.8,9.8,149.9,34.9,594.1,8.7,554.5,548.5,554.1,554.2,7.7,5.3,1251.6,554.1,7.7,6.1,554.2,True,1.329998526483864
12,12,2020-09-29 13:12:48,0.226,M5_L6,,2.527222222222222,12.0,,100000.0,530.0,95135.0,95665.0,6.0,95173.0,484.0,2.0,13.0,95159.0,493.0,0.0,95172.0,100.00%,0.53%,95.13%,95.67%,0.01%,95.17%,0.48%,0.00%,0.01%,95.16%,0.49%,0.00%,95.17%,100.00%,0.55%,99.45%,95.67%,0.01%,99.49%,0.51%,0.00%,0.01%,99.47%,0.52%,0.00%,95.17%,16841.9,302.5,16397.2,16308.0,31994.4,16389.4,174.8,403.1,58383.7,16385.8,187.2,,16391.5,1024.6,222.4,992.2,988.0,24112.0,990.6,186.9,1614.0,19092.6,989.6,199.9,,992.1,24.4,10.8,22.3,22.3,427.7,22.3,9.9,26.3,556.7,22.2,10.0,,22.3,271.9,10.3,247.7,246.3,466.5,247.6,7.4,6.4,1535.7,247.4,7.5,,247.6,True,1.5400873643456798
13,13,2020-09-29 13:30:20,0.008,pECJ3,,2.8194444444444446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-5.8265967172466455
14,14,2020-09-29 13:31:19,0.008,M5_L5,,2.8358333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-5.938265339729383
15,15,2020-09-29 13:32:09,0.008,M5_L6,,2.8497222222222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-10.359979713464963
16,16,2020-09-29 13:33:14,0.006999999999999999,M5,,2.867777777777778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,-5.530301979765017
17,17,2020-09-29 13:53:21,0.013000000000000001,pECJ3,,3.2030555555555558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1.26562500855476
