Experiment Name:,Exp_20201002__down_shift_RDM_Gly_MOPS_gly

Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Median Red-H,V1L Median Red-H,V1R Median Red-H,P1 Median Red-H,H1-UR Median Red-H,H1-UL Median Red-H,H1-LL Median Red-H,H1-LR Median Red-H,H2-UR Median Red-H,H2-UL Median Red-H,H2-LL Median Red-H,H2-LR Median Red-H,P1 AND NOT(H2-LL) Median Red-H
1,0.84,13063.3,55.2,12689.7,12490.9,####,12688.3,46.2,321.8,####,12690.4,66.8,####,12690.4,315.8,82.0,299.9,296.5,####,299.9,77.2,2011.0,####,299.9,84.2,####,299.9,247.3,9.2,257.8,253.9,####,257.7,9.0,8.1,####,257.8,9.4,####,257.8,13.5,12.4,13.0,12.9,####,13.0,12.4,42.0,####,13.0,12.5,####,13.0,12.3,11.3,12.1,12.1,####,12.1,11.3,42.0,####,12.1,11.3,####,12.1
2,0.50,12091.5,111.4,13974.9,13736.0,####,13969.0,76.2,462.3,####,13972.5,94.2,####,13972.5,517.7,80.3,517.2,509.6,####,517.0,78.6,1689.2,####,517.1,78.8,####,517.1,355.4,12.9,411.1,404.3,####,411.0,11.6,17.1,####,411.1,12.0,####,411.1,22.3,14.2,23.9,23.8,####,23.9,14.2,42.3,####,23.9,14.1,####,23.9,21.5,12.4,22.4,22.3,####,22.4,12.5,42.3,####,22.4,12.4,####,22.4
3,0.56,15282.6,122.7,14033.6,13941.3,952.5,14031.5,81.1,388.4,####,14033.4,124.7,####,14033.4,742.3,118.0,322.1,320.8,1980.2,322.1,102.0,1916.2,####,322.1,118.9,####,322.1,274.6,10.2,277.0,275.2,16.6,276.9,9.4,10.8,####,277.0,10.0,####,277.0,13.8,12.6,13.3,13.3,31.3,13.3,12.5,47.9,####,13.3,12.7,####,13.3,12.6,10.7,12.5,12.5,31.3,12.5,10.9,43.2,####,12.5,10.8,####,12.5
4,0.67,16324.3,151.1,16743.7,16620.4,####,16740.1,120.9,347.1,####,16744.0,179.8,####,16744.0,750.8,110.9,693.3,688.9,####,693.1,99.3,1914.3,####,693.2,116.3,####,693.2,255.5,8.7,259.2,257.4,####,259.2,8.2,8.4,####,259.2,8.8,####,259.2,16.0,10.6,15.7,15.6,####,15.7,10.5,27.3,####,15.7,10.6,####,15.7,14.7,8.8,14.6,14.6,####,14.6,8.9,21.1,####,14.6,8.9,####,14.6
5,0.48,15515.9,192.8,13207.9,13158.7,####,13206.0,128.1,####,####,13208.2,220.6,####,13208.2,353.8,91.7,302.7,301.9,####,302.7,90.6,####,####,302.8,91.1,####,302.8,280.0,12.6,272.5,271.5,####,272.4,11.2,####,####,272.5,12.7,####,272.5,13.5,12.8,13.3,13.3,####,13.3,12.8,####,####,13.3,12.6,####,13.3,12.5,10.9,12.5,12.5,####,12.5,10.9,####,####,12.5,10.8,####,12.5
6,0.59,12363.3,168.4,13039.6,12986.4,####,13038.0,135.0,437.3,####,13039.8,188.1,####,13039.8,544.5,76.2,558.0,556.0,####,558.0,72.8,1429.1,####,558.0,77.8,####,558.0,183.9,7.5,190.9,190.1,####,190.9,6.9,5.2,####,190.9,7.5,####,190.9,12.8,7.9,12.7,12.7,####,12.7,7.9,10.7,####,12.7,7.8,####,12.7,11.8,6.5,11.9,11.9,####,11.9,6.5,10.7,####,11.9,6.5,####,11.9
7,0.62,15051.6,172.4,12881.4,12835.0,####,12879.2,102.7,####,####,12881.0,164.8,####,12881.0,315.8,63.1,264.8,264.0,####,264.7,64.1,####,####,264.8,63.3,####,264.8,280.2,11.9,274.6,273.6,####,274.5,10.2,####,####,274.6,11.3,####,274.6,13.4,11.8,13.2,13.2,####,13.2,11.9,####,####,13.2,11.8,####,13.2,12.4,10.3,12.4,12.4,####,12.4,10.5,####,####,12.4,10.3,####,12.4
8,1.19,9395.8,182.9,9469.4,9443.0,####,9468.6,140.7,####,####,9469.1,159.1,####,9469.1,269.7,34.8,268.4,267.8,####,268.4,34.3,####,####,268.4,33.7,####,268.4,137.8,6.8,135.3,135.0,####,135.3,6.0,####,####,135.3,6.2,####,135.3,9.2,6.1,8.9,8.9,####,8.9,6.1,####,####,8.9,6.0,####,8.9,8.4,5.3,8.3,8.3,####,8.3,5.3,####,####,8.3,5.2,####,8.3
9,1.08,15149.8,251.5,13785.6,13754.6,####,13782.6,112.1,####,####,13784.9,246.7,####,13784.9,331.0,59.3,302.5,301.9,####,302.4,59.2,####,####,302.5,61.7,####,302.5,287.3,12.2,280.7,280.1,####,280.7,9.2,####,####,280.7,10.8,####,280.7,13.7,10.0,13.3,13.3,####,13.3,10.0,####,####,13.3,9.9,####,13.3,12.6,8.9,12.5,12.5,####,12.5,8.9,####,####,12.5,8.7,####,12.5
10,0.49,5713.3,401.2,6545.0,6507.5,####,6540.5,107.6,427.0,####,6540.9,142.2,####,6540.9,198.5,126.4,189.7,189.4,####,189.7,101.0,4238.7,####,189.7,131.0,####,189.7,85.1,14.4,94.8,94.3,####,94.7,7.7,7.5,####,94.7,8.0,####,94.7,8.4,10.2,7.7,7.8,####,7.7,10.0,49.0,####,7.7,10.3,####,7.7,7.1,7.9,7.2,7.2,####,7.2,7.8,26.7,####,7.2,7.8,####,7.2
11,0.50,15472.2,137.3,14205.6,14115.2,####,14203.9,107.0,163.1,####,14207.1,204.3,####,14207.1,453.5,118.5,323.6,322.3,####,323.6,108.4,3445.9,####,323.6,119.1,####,323.6,273.3,10.2,276.9,275.2,####,276.9,9.5,6.7,####,277.0,10.9,####,277.0,13.6,12.6,13.2,13.2,####,13.2,12.5,73.3,####,13.2,12.5,####,13.2,12.5,11.1,12.4,12.4,####,12.4,11.2,73.3,####,12.4,10.9,####,12.4
12,1.18,5383.8,1547.6,5414.4,5368.6,####,5380.5,194.6,628.4,####,5379.7,125.5,####,5379.7,137.8,76.0,133.9,133.2,####,133.3,82.4,1573.6,####,133.3,82.4,####,133.3,83.0,37.6,82.7,82.2,####,82.3,8.7,29.1,####,82.3,7.1,####,82.3,7.4,8.4,7.1,7.1,####,7.1,8.6,57.8,####,7.1,8.5,####,7.1,6.7,7.8,6.7,6.7,####,6.7,7.5,57.8,####,6.7,7.3,####,6.7
13,0.57,15773.3,220.1,15145.6,15067.8,####,15143.5,170.8,225.7,####,15147.9,317.9,####,15147.9,337.8,135.9,308.9,308.0,####,308.9,124.5,5694.3,####,309.0,133.6,####,309.0,281.6,10.6,286.0,284.5,####,285.9,9.7,3.2,####,286.0,11.5,####,286.0,13.8,10.9,13.0,13.0,####,13.0,10.8,52.5,####,13.0,10.7,####,13.0,12.5,9.5,12.2,12.2,####,12.2,9.5,52.5,####,12.3,9.2,####,12.3
14,1.19,5027.2,1702.3,5064.8,5007.2,####,5015.6,361.2,####,####,5015.1,351.3,####,5015.1,121.2,73.5,118.3,117.5,####,117.6,102.0,####,####,117.6,105.8,####,117.6,76.1,40.4,76.2,75.6,####,75.7,11.8,####,####,75.7,9.9,####,75.7,7.2,8.5,7.0,7.0,####,7.0,9.1,####,####,7.0,8.8,####,7.0,6.5,8.0,6.5,6.5,####,6.5,8.1,####,####,6.5,7.6,####,6.5
15,0.71,15740.9,194.9,15244.7,15183.1,####,15243.4,155.2,274.9,####,15247.9,402.8,####,15247.9,323.1,68.5,309.9,308.9,####,309.8,59.7,1626.9,####,309.9,73.6,####,309.9,291.8,12.1,293.7,292.5,####,293.6,11.2,11.1,####,293.7,13.7,####,293.7,13.7,11.6,13.5,13.4,####,13.5,11.5,40.3,####,13.5,11.3,####,13.5,12.6,10.3,12.6,12.6,####,12.6,10.2,40.3,####,12.6,9.8,####,12.6
16,0.57,4969.1,225.1,5078.5,5068.2,####,5080.7,396.0,####,####,5079.4,294.3,####,5079.4,139.2,79.0,136.0,135.9,####,136.1,80.8,####,####,136.1,80.0,####,136.1,76.2,8.5,76.6,76.5,####,76.7,11.3,####,####,76.6,8.9,####,76.6,7.4,8.6,7.1,7.2,####,7.1,8.3,####,####,7.1,8.3,####,7.1,6.7,7.3,6.7,6.7,####,6.7,7.0,####,####,6.7,6.9,####,6.7
17,0.97,15411.6,128.7,11853.8,11827.0,####,11854.8,162.5,####,####,11856.0,266.6,####,11856.0,338.9,67.2,261.2,260.7,####,261.2,68.0,####,####,261.2,71.1,####,261.2,297.7,11.6,285.4,284.7,####,285.4,12.5,####,####,285.4,13.7,####,285.4,14.0,12.8,13.9,13.9,####,13.9,12.7,####,####,13.9,12.4,####,13.9,13.0,11.0,13.0,13.0,####,13.0,10.7,####,####,13.0,10.6,####,13.0
18,0.74,5260.4,245.7,5250.3,5241.5,####,5251.8,375.5,####,####,5250.9,316.5,####,5250.9,142.1,81.3,137.1,137.1,####,137.2,72.0,####,####,137.2,77.8,####,137.2,80.5,8.3,79.8,79.7,####,79.8,10.3,####,####,79.8,8.7,####,79.8,7.4,7.9,7.2,7.2,####,7.2,7.6,####,####,7.2,7.5,####,7.2,6.7,6.7,6.7,6.7,####,6.7,6.5,####,####,6.7,6.4,####,6.7
