Number,Time,OD600,Sample,Dilution_Factor
1,2020-10-4 8:00:45,0.27,MG,
2,2020-10-4 8:04:17,0.128,NCM,
3,2020-10-4 8:19:33,0.0142,MG,23.07692308
4,2020-10-4 8:15:41,0.164,NCM,
5,2020-10-4 8:36:15,0.0191,MG,
6,2020-10-4 8:39:34,0.0218,NCM,16
7,2020-10-4 8:54:45,0.0264,MG,
8,2020-10-4 8:57:42,0.0385,NCM,
9,2020-10-4 9:09:13,0.0357,MG,
10,2020-10-4 9:12:20,0.058,NCM,
11,2020-10-4 9:27:16,0.053,MG,
12,2020-10-4 9:33:13,0.104,NCM,
13,2020-10-4 9:44:41,0.074,MG,
14,2020-10-4 9:49:38,0.0108,NCM,16
15,2020-10-4 10:23:59,0.01,MG,16
16,2020-10-4 10:28:01,0.03,NCM,
17,2020-10-4 10:54:47,0.0187,MG,
18,2020-10-4 10:57:17,0.0653,NCM,
19,2020-10-4 11:37:09,0.0375,MG,
20,2020-10-4 11:39:01,0.126,NCM,
21,2020-10-4 12:18:20,0.0621,MG,
22,2020-10-4 12:14:39,0.162,NCM,
23,2020-10-4 12:38:38,0.0744,MG,
24,2020-10-4 12:30:52,0.1853,NCM,
25,2020-10-4 13:29:44,0.1146,MG,
26,2020-10-4 13:32:43,0.1198,NCM,2.846390169
27,2020-10-4 14:16:19,0.135,MG,
28,2020-10-4 14:18:35,0.195,NCM,
29,2020-10-4 15:25:05,0.154,MG,
30,2020-10-4 15:29:27,0.1215,NCM,2.834302326
31,2020-10-4 16:15:41,0.172,MG,
32,2020-10-4 16:18:13,0.181,NCM,
33,2020-10-4 17:03:03,0.207,MG,
34,2020-10-4 17:08:09,0.0358,NCM,7.24137931
35,2020-10-4 17:57:31,0.0894,MG,2.915492958
36,2020-10-4 18:00:29,0.0504,NCM,
37,2020-10-4 19:37:00,0.1306,MG,
38,2020-10-4 19:39:22,0.0961,NCM,
39,2020-10-4 20:50:11,0.17,MG,
40,2020-10-4 20:53:09,0.156,NCM,
41,2020-10-4 21:28:18,0.1888,MG,
42,2020-10-4 23:18:25,0.0196,MG,11
