Number,Time,OD600,Sample,Dilution_Factor
1,2020-10-8 9:25:43,0.0323,M5,
2,2020-10-8 9:30:07,0.0326,M8,
3,2020-10-8 9:33:20,0.0396,CP,
4,2020-10-8 10:42:26,0.151,M5,
5,2020-10-8 10:46:18,0.1582,M8,
6,2020-10-8 10:48:10,0.185,CP,
7,2020-10-8 11:22:27,0.04,M5,7.543859649
8,2020-10-8 11:26:14,0.0447,M8,7.314487633
9,2020-10-8 11:28:16,0.053,CP,7.562724014
10,2020-10-8 11:45:29,0.062,M5,
11,2020-10-8 11:47:51,0.0666,M8,
12,2020-10-8 11:50:25,0.0807,CP,
13,2020-10-8 12:02:08,0.0862,M5,
14,2020-10-8 12:04:52,0.0942,M8,
15,2020-10-8 12:06:50,0.112,CP,
16,2020-10-8 12:33:20,0.157,M5,
17,2020-10-8 12:27:58,0.148,M8,
18,2020-10-8 12:23:01,0.157,CP,
19,2020-10-8 13:14:05,0.023,M5,14.40366972
20,2020-10-8 13:16:15,0.0248,M8,14.94949495
21,2020-10-8 13:18:24,0.0302,CP,15.24271845
22,2020-10-8 13:58:43,0.0497,M5,
23,2020-10-8 14:01:19,0.0534,M8,
24,2020-10-8 14:03:26,0.0596,CP,
25,2020-10-8 14:40:37,0.0858,M5,
26,2020-10-8 14:43:07,0.0907,M8,
27,2020-10-8 14:45:09,0.0975,CP,
28,2020-10-8 15:24:15,0.1306,M5,
29,2020-10-8 15:26:35,0.137,M8,
30,2020-10-8 15:29:28,0.1482,CP,
31,2020-10-8 16:04:21,0.172,M5,
32,2020-10-8 16:07:15,0.177,M8,
33,2020-10-8 16:09:49,0.181,CP,
34,2020-10-8 16:35:18,0.186,M5,
35,2020-10-8 16:45:46,0.192,M8,
36,2020-10-8 16:41:56,0.1928,CP,
37,2020-10-8 17:10:34,0.0254,M5,7.881355932
38,2020-10-8 17:17:00,0.2024,M8,
39,2020-10-8 17:13:59,0.0256,CP,8.169491525
40,2020-10-8 17:43:29,0.028,M5,
41,2020-10-8 17:50:53,0.2113,M8,
42,2020-10-8 17:48:04,0.0298,CP,
43,2020-10-8 18:22:07,0.0324,M5,
44,2020-10-8 18:30:46,0.2277,M8,
45,2020-10-8 18:25:25,0.0344,CP,
46,2020-10-8 19:00:17,0.0396,M5,
47,2020-10-8 19:09:19,0.249,M8,
48,2020-10-8 19:03:27,0.0411,CP,
49,2020-10-8 21:25:29,0.0612,M5,
50,2020-10-8 19:25:21,0.2759,M8,
51,2020-10-8 19:43:10,0.0182,M8-2,15.41899441
52,2020-10-8 21:37:41,0.0704,CP,
53,2020-10-8 23:03:44,0.073,M5,
54,2020-10-8 19:40:13,0.2949,M8,
55,2020-10-8 20:20:19,0.0217,M8-2,
56,2020-10-8 23:07:01,0.0878,CP,
57,2020-10-8 23:10:20,0.038,M8,
58,2020-10-8 20:24:22,0.3521,M8,
59,2020-10-8 23:13:22,0.0359,M8-2,
60,2020-10-9 1:14:47,0.116,CP,
61,2020-10-9 1:10:34,0.0933,M5,
62,2020-10-8 20:51:39,0.4,M8,
63,2020-10-9 1:19:21,0.0495,M8,
64,2020-10-9 1:24:52,0.0439,M8-2,
65,2020-10-9 9:18:40,0.0382,M5,3.181518152
66,2020-10-8 21:35:25,0.0307,M8,15.15151515
67,2020-10-9 9:22:13,0.0458,CP,3.061728395
68,2020-10-9 9:26:24,0.0572,M8-2,
69,2020-10-9 9:33:25,0.0625,M8,
70,2020-10-9 11:54:34,0.0407,M5,
71,2020-10-9 11:59:13,0.0481,CP,
72,2020-10-9 12:01:39,0.0596,M8-2,
73,2020-10-9 12:08:33,0.0664,M8,
74,2020-10-9 14:53:51,0.0538,M5,
75,2020-10-9 15:00:23,0.0515,CP,
76,2020-10-9 15:03:13,0.0617,M8-2,
77,2020-10-9 15:05:52,0.0688,M8,
78,2020-10-9 16:46:05,0.0763,M5,
79,2020-10-9 16:51:59,0.0579,CP,
80,2020-10-9 16:57:13,0.0748,M8-2,
81,2020-10-9 17:08:22,0.0828,M8,
