,Number,Time,OD600,Sample,Dilution_Factor,Time_h,Tube Name:,Abort(%):,All Events  Mean FITC-A,V1L Mean FITC-A,V1R Mean FITC-A,P1 Mean FITC-A,H1-UR Mean FITC-A,H1-UL Mean FITC-A,H1-LL Mean FITC-A,H1-LR Mean FITC-A,H2-UR Mean FITC-A,H2-UL Mean FITC-A,H2-LL Mean FITC-A,H2-LR Mean FITC-A,P1 AND NOT(H2-LL) Mean FITC-A,All Events  Mean ECD-A,V1L Mean ECD-A,V1R Mean ECD-A,P1 Mean ECD-A,H1-UR Mean ECD-A,H1-UL Mean ECD-A,H1-LL Mean ECD-A,H1-LR Mean ECD-A,H2-UR Mean ECD-A,H2-UL Mean ECD-A,H2-LL Mean ECD-A,H2-LR Mean ECD-A,P1 AND NOT(H2-LL) Mean ECD-A,All Events  Mean Green-H,V1L Mean Green-H,V1R Mean Green-H,P1 Mean Green-H,H1-UR Mean Green-H,H1-UL Mean Green-H,H1-LL Mean Green-H,H1-LR Mean Green-H,H2-UR Mean Green-H,H2-UL Mean Green-H,H2-LL Mean Green-H,H2-LR Mean Green-H,P1 AND NOT(H2-LL) Mean Green-H,All Events  Mean Red-H,V1L Mean Red-H,V1R Mean Red-H,P1 Mean Red-H,H1-UR Mean Red-H,H1-UL Mean Red-H,H1-LL Mean Red-H,H1-LR Mean Red-H,H2-UR Mean Red-H,H2-UL Mean Red-H,H2-LL Mean Red-H,H2-LR Mean Red-H,P1 AND NOT(H2-LL) Mean Red-H,All Events  Median Red-H,V1L Median Red-H,V1R Median Red-H,P1 Median Red-H,H1-UR Median Red-H,H1-UL Median Red-H,H1-LL Median Red-H,H1-LR Median Red-H,H2-UR Median Red-H,H2-UL Median Red-H,H2-LL Median Red-H,H2-LR Median Red-H,P1 AND NOT(H2-LL) Median Red-H,FCS,Growth Rate,Time_interp,Generation,Red Translation Efficiency,Green Translation Efficiency,Accumulated OD
0,1,2020-10-08 09:25:43,0.0323,M5,,0.0,1,1.82,10351.8,103.7,15791.1,15378.1,,15777.7,58.8,,,15792.6,113.5,,15792.6,337.1,73.5,375.8,367.9,,375.6,71.0,,,375.9,73.3,,375.9,185.5,8.7,318.2,310.0,,317.9,8.0,,,318.2,8.8,,318.2,11.2,10.3,13.8,13.7,,13.8,10.3,,,13.8,10.3,,13.8,9.9,9.4,12.9,12.8,,12.9,9.4,,,12.9,9.4,,12.9,True,,,0.0,,,0.0323
1,2,2020-10-08 09:30:07,0.0326,M8,,0.07333333333333333,2,1.17,9508.8,89.2,11624.7,11502.0,,11621.3,52.0,43.4,,11625.4,105.2,,11625.4,277.3,62.1,258.2,256.1,,258.1,58.1,2345.3,,258.2,62.1,,258.2,174.4,10.0,245.5,243.0,,245.4,9.4,4.1,,245.5,10.3,,245.5,11.0,12.0,12.2,12.2,,12.2,12.0,33.2,,12.2,12.0,,12.2,9.8,10.6,11.4,11.4,,11.4,10.6,33.2,,11.4,10.6,,11.4,True,,,0.0,,,0.0326
2,3,2020-10-08 09:33:20,0.0396,CP,,0.12694444444444444,3,0.55,9217.0,212.5,10972.7,10904.8,,10967.8,121.4,,,10972.5,206.9,,10972.5,241.5,54.8,212.4,211.4,,212.4,46.5,,,212.4,55.7,,212.4,174.1,11.3,247.1,245.6,,247.0,9.3,,,247.1,11.0,,247.1,11.0,10.0,12.1,12.0,,12.1,9.9,,,12.1,10.0,,12.1,9.7,8.9,11.3,11.3,,11.3,8.9,,,11.3,8.9,,11.3,True,,,0.0,,,0.0396
3,4,2020-10-08 10:42:26,0.151,M5,,1.2786111111111111,4,0.83,18484.8,142.4,15260.7,15084.9,,15252.7,83.5,178.3,,15260.9,151.4,,15260.9,388.2,73.6,277.0,274.6,,276.9,69.8,1899.6,,277.0,72.6,,277.0,366.9,11.1,351.6,347.6,,351.4,9.9,7.2,,351.6,11.1,,351.6,14.4,12.2,13.7,13.7,,13.7,12.3,39.1,,13.7,12.2,,13.7,13.0,10.8,12.8,12.8,,12.8,11.0,39.1,,12.8,10.7,,12.8,True,1.2061623688270104,0.6393055555555556,2.2249424795185164,18.17521710491924,479.46284540196007,0.151
4,5,2020-10-08 10:46:18,0.1582,M8,,1.3430555555555554,5,0.65,12753.6,170.4,11275.6,11137.7,,11269.0,99.6,222.1,,11276.8,200.8,,11276.8,236.1,99.9,174.8,173.8,,174.7,92.3,3243.2,,174.8,100.5,,174.8,266.6,13.1,271.2,268.0,,271.1,11.5,11.3,,271.2,13.3,,271.2,13.7,14.2,12.3,12.3,,12.3,14.3,90.5,,12.3,14.2,,12.3,11.5,12.0,11.4,11.4,,11.4,12.2,72.4,,11.4,12.0,,11.4,True,1.2440104924653708,0.7081944444444445,2.2788057302417144,16.97811503109941,382.7466396885852,0.1582
5,6,2020-10-08 10:48:10,0.185,CP,,1.3741666666666668,6,0.68,13037.2,301.8,11391.8,11298.7,,11380.9,135.0,,,11392.5,337.6,,11392.5,184.2,78.5,157.4,156.8,,157.3,82.6,,,157.4,77.7,,157.4,279.4,15.6,275.3,273.2,,275.1,11.8,,,275.4,15.4,,275.4,12.4,13.0,12.0,12.0,,12.0,13.5,,,12.0,12.9,,12.0,11.1,11.0,11.1,11.1,,11.1,11.2,,,11.1,10.8,,11.1,True,1.2359679609230299,0.7505555555555555,2.2239529353240646,16.307281182365013,385.60138405935317,0.185
6,7,2020-10-08 11:22:27,0.04,M5,7.543859649,1.9455555555555555,7,1.13,19961.9,182.8,18076.0,17854.2,905.8,18065.0,116.0,558.0,,18076.0,185.6,,18076.0,339.1,138.8,259.1,257.6,1553.8,259.1,121.2,2571.8,,259.2,137.8,,259.2,408.1,11.9,405.6,400.8,31.5,405.4,10.4,15.8,,405.6,11.8,,405.6,14.7,13.5,13.3,13.3,69.7,13.3,13.2,63.6,,13.3,13.5,,13.3,13.0,11.3,12.5,12.5,69.7,12.5,11.3,50.9,,12.5,11.3,,12.5,True,1.038067808949957,1.6120833333333333,3.2237686704820327,13.659436931083572,486.7748976301884,0.30175438596
7,8,2020-10-08 11:26:14,0.0447,M8,7.314487633,2.008611111111111,8,0.94,14471.0,146.1,13357.7,13216.0,994.7,13353.4,104.4,316.6,,13357.8,153.7,,13357.8,237.4,170.4,197.7,197.4,1916.4,197.8,150.7,1601.9,,197.7,171.2,,197.7,300.7,12.5,306.4,303.2,24.7,306.3,11.7,15.1,,306.4,12.4,,306.4,13.3,16.8,12.4,12.4,64.3,12.4,16.4,59.5,,12.4,16.8,,12.4,11.8,13.8,11.6,11.6,64.3,11.6,13.8,47.0,,11.6,13.8,,11.6,True,1.090773608468058,1.6758333333333333,3.326159676603922,13.929087433770118,378.3895788097869,0.3269575971951
8,9,2020-10-08 11:28:16,0.053,CP,7.562724014,2.0425,9,0.76,14485.0,241.4,13236.7,13125.3,952.8,13229.6,148.1,462.0,,13236.7,244.2,,13236.7,245.5,126.3,211.2,210.5,2012.0,211.2,114.3,2648.6,,211.2,126.7,,211.2,287.8,12.7,289.1,286.8,22.0,289.0,10.6,11.0,,289.1,12.5,,289.1,13.1,12.6,12.1,12.1,47.0,12.1,12.5,55.3,,12.1,12.6,,12.1,11.6,10.5,11.3,11.3,47.0,11.3,10.7,55.3,,11.3,10.5,,11.3,True,1.1568591517376463,1.7083333333333335,3.3393979010720396,14.450922040622682,356.76714133390277,0.40082437274199995
9,10,2020-10-08 11:45:29,0.062,M5,,2.3294444444444444,10,0.74,20143.0,268.7,17688.8,17521.7,1072.8,17675.8,157.7,752.2,,17689.9,293.3,,17689.9,413.1,120.7,372.4,370.0,1924.8,372.3,110.1,1942.8,,372.5,120.9,,372.5,380.3,12.6,365.7,362.3,28.8,365.4,10.3,17.4,,365.7,12.8,,365.7,15.7,12.1,14.8,14.8,49.1,14.8,12.0,43.8,,14.8,12.1,,14.8,14.3,10.2,14.0,13.9,49.1,14.0,10.2,43.8,,14.0,10.2,,14.0,True,1.141619212266396,2.1375,3.8560368859815455,20.169988126072585,337.35560534308223,0.46771929823799996
