,Conc1,Conc2,Conc3,Conc4,Conc5,Conc6,Conc1,Conc2,Conc3,Conc4,Conc5,Conc6,Conc1,Conc2,Conc3,Conc4,Conc5,Conc6
time,B2,B3,B4,B5,B6,B7,C2,C3,C4,C5,C6,C7,D2,D3,D4,D5,D6,D7
0:00:14,0.039,0.039,0.039,0.04,0.039,0.039,0.04,0.04,0.042,0.041,0.039,0.04,0.039,0.039,0.04,0.04,0.041,0.041
0:08:39,0.039,0.039,0.039,0.04,0.039,0.039,0.04,0.04,0.041,0.041,0.039,0.04,0.039,0.039,0.04,0.04,0.041,0.041
0:32:58,0.069,0.066,0.069,0.065,0.069,0.065,0.069,0.066,0.069,0.069,0.068,0.067,0.068,0.065,0.068,0.067,0.069,0.069
0:57:44,0.081,0.077,0.081,0.075,0.08,0.076,0.08,0.076,0.08,0.08,0.08,0.078,0.08,0.076,0.08,0.077,0.081,0.081
1:19:07,0.093,0.089,0.092,0.086,0.093,0.087,0.092,0.087,0.092,0.092,0.091,0.089,0.092,0.086,0.091,0.088,0.092,0.092
1:38:51,0.108,0.101,0.107,0.097,0.099,0.1,0.106,0.1,0.105,0.104,0.105,0.102,0.106,0.098,0.103,0.099,0.104,0.105
2:13:17,0.148,0.137,0.145,0.13,0.133,0.134,0.145,0.134,0.14,0.139,0.14,0.137,0.145,0.132,0.138,0.133,0.139,0.14
2:42:31,0.215,0.196,0.207,0.181,0.185,0.187,0.209,0.189,0.194,0.195,0.197,0.191,0.207,0.186,0.193,0.183,0.193,0.196
3:09:09,0.295,0.269,0.288,0.253,0.26,0.261,0.286,0.261,0.269,0.271,0.275,0.266,0.283,0.256,0.268,0.255,0.27,0.27
3:32:14,0.376,0.354,0.373,0.341,0.35,0.354,0.368,0.346,0.36,0.361,0.364,0.354,0.366,0.34,0.355,0.342,0.357,0.357
3:40:41,0.41,0.382,0.407,0.373,0.376,0.382,0.404,0.371,0.387,0.39,0.395,0.384,0.4,0.368,0.384,0.371,0.386,0.389
