Tube Name:,All Events  Mean FITC-A,P2 Mean FITC-A,All Events  Mean ECD-A,P2 Mean ECD-A,All Events  Mean Green-H,P2 Mean Green-H,All Events  Mean Red-H,P2 Mean Red-H,"All Events ",P2 Events,All Events  Mean FSC-H,P2 Mean FSC-H
A1,229.8,170.9,144.8,19.2,14.2,11.0,14.2,10.8,67896,42263,34291.5,38495.4
A2,170.4,161.6,20.0,19.8,13.0,10.7,12.3,10.3,87292,61605,34641.8,37838.7
A3,167.2,161.6,19.4,19.5,13.1,10.8,12.4,10.4,100000,71374,34288.0,37351.5
B1,11439.7,12490.5,39.6,36.2,303.7,272.3,11.5,8.9,100000,85729,42290.9,45020.9
B2,10811.3,12147.9,80.1,36.7,292.9,272.4,11.9,9.1,100000,83947,41020.2,43702.7
B3,10411.2,11593.5,37.5,32.9,288.6,273.0,11.9,9.4,100000,83180,39746.8,41948.6
C1,645.9,668.0,25.6,24.7,23.6,20.9,11.9,9.7,100000,86654,38528.2,40427.3
C2,662.3,701.0,23.2,20.7,24.2,21.9,12.0,9.7,100000,82508,38163.6,40105.6
C3,644.4,674.5,22.2,20.8,24.5,22.0,12.2,9.9,100000,85997,37154.9,38965.3
B1-2,9908.2,12425.0,37.4,34.4,262.3,267.8,12.7,8.9,32312,24740,40212.7,45311.2
D1,124.2,170.5,22.5,15.9,12.9,10.5,13.8,9.9,36827,24920,35198.4,39215.9
D2,122.0,162.9,17.5,15.9,11.8,10.7,12.3,10.2,100000,74212,35263.0,37565.9
D3,118.9,159.5,28.0,21.3,11.8,10.7,12.5,10.3,100000,72084,35464.4,37618.8
A1-2,165.9,156.2,21.5,20.0,12.7,10.4,12.1,10.1,100000,72909,36208.4,38885.7
A2-2,158.1,148.7,19.8,19.3,13.0,11.0,12.5,10.8,56860,41544,33994.0,36151.2
A3-2,157.0,151.8,21.9,19.5,13.1,11.0,12.7,10.7,100000,71289,34079.8,36428.6
E1,106.7,147.0,22.5,19.0,12.0,11.3,13.0,11.1,48355,34883,32989.0,34863.0
E2,86.2,133.5,32.4,19.3,13.7,11.9,15.6,11.9,24373,14829,29850.7,32185.1
E3,95.9,139.2,19.0,17.3,12.1,11.8,13.1,11.6,98425,69762,31297.5,32967.4
F1,111.7,151.6,18.3,18.8,11.5,10.8,12.3,10.6,100000,74329,34954.3,37267.9
F2,93.7,142.1,25.8,19.4,12.8,11.5,14.5,11.5,20296,13345,31580.7,34401.2
F3,111.5,152.7,21.3,21.5,11.6,10.8,12.5,10.7,100000,73458,34862.9,37059.7
G1,63.4,124.2,20.6,16.0,11.4,10.8,13.4,11.1,78674,46664,33236.5,35296.4
G2,87.0,138.5,16.2,15.8,11.8,10.9,13.2,10.8,66453,42861,33232.1,36084.5
G3,107.3,154.1,21.1,18.6,12.4,10.7,13.5,10.6,60492,41025,34519.0,37713.0
H1,100.1,133.0,48.3,20.2,11.4,10.2,12.9,10.6,100000,64546,35354.6,37865.4
H2,106.4,146.6,18.6,20.0,11.8,10.4,12.8,10.4,50000,34183,35045.2,38347.8
H3,104.7,140.1,36.1,21.9,12.5,11.2,13.8,11.4,31395,21400,32610.9,35133.4
A8,109.8,146.8,45.1,27.5,13.1,13.0,14.6,12.9,100000,71791,30287.3,30029.9
A9,109.0,145.9,26.2,27.1,13.1,13.1,14.0,13.0,100000,72303,28459.1,29718.0
A10,111.8,149.0,30.2,30.9,12.8,12.7,13.8,12.7,100000,73343,29567.3,30922.7
B8,19314.5,19643.6,38.4,36.4,603.7,587.4,12.7,11.9,100000,89588,33455.6,33709.4
B9,18552.9,19522.4,35.7,34.7,600.3,586.8,13.0,11.8,100000,87242,32983.5,33675.4
B10,19002.9,20049.2,37.2,37.5,612.8,589.2,13.0,11.8,100000,89711,33142.1,34116.5
C8,13073.4,16762.4,374.9,28.2,428.3,511.5,19.0,11.9,100000,74660,33288.4,33486.4
C9,10370.2,15629.4,306.4,34.5,362.2,509.7,19.0,12.4,8805,5639,29624.2,31855.7
C10,13181.0,15713.0,772.1,32.7,448.5,507.0,17.5,12.3,41264,33027,31157.0,32107.3
D8,7494.3,8387.3,34.1,31.9,269.2,287.9,14.1,13.0,100000,85426,29559.4,30400.1
D9,6727.6,7834.4,43.8,34.8,255.1,280.8,15.6,13.4,32868,26903,28401.8,29439.1
D10,7290.4,8139.8,32.1,30.6,269.7,283.5,14.2,13.0,100000,85434,29145.4,30134.5
E8,144.7,171.8,31.7,26.1,15.4,15.0,15.7,14.0,40769,31816,27031.7,27604.2
E9,129.9,167.4,30.9,28.7,15.9,14.7,16.6,14.0,35295,25818,26264.9,27728.9
E10,144.1,173.3,29.0,29.1,14.4,14.1,14.4,13.2,100000,77153,28211.1,29371.7
F8,115.2,149.1,27.0,26.9,13.4,13.3,14.1,13.1,100000,74127,28320.2,29490.4
F9,108.5,140.2,40.8,26.5,14.2,13.8,15.7,13.9,39175,28593,27382.5,28042.4
F8-2,117.0,148.3,28.5,28.4,13.3,13.5,14.1,13.4,100000,78466,28626.9,29204.1
F10,112.7,144.3,25.1,25.3,13.0,13.2,13.9,13.2,100000,78020,28890.5,29544.2
G8,111.5,141.2,44.6,22.3,15.3,14.7,16.8,14.5,18385,13404,26753.2,26471.8
G9,103.2,142.2,46.3,23.6,14.6,14.3,16.4,14.1,35901,26279,27108.8,27305.7
G10,114.9,146.4,24.3,24.2,13.1,13.4,13.9,13.3,100000,78595,28849.8,29316.8
H8,110.9,144.0,23.6,23.6,12.8,13.2,13.8,13.1,100000,76676,29102.5,29741.6
H8_2,112.4,144.1,24.7,24.3,13.1,13.2,13.9,13.1,100000,77483,28860.7,29630.0
H9,112.3,143.5,24.7,24.6,13.0,13.3,13.9,13.2,100000,78173,28900.4,29396.2
H10,110.5,141.1,27.1,26.9,13.1,13.3,14.1,13.3,100000,78540,28522.5,29037.9
