,Cho-NA,Cho-NA,Cho-NA,Sal-NA,Sal-NA,Sal-NA,Cho-0,Cho-0,Cho-0,Sal-0,Sal-0,Sal-0,Cho-1,Cho-1,Cho-1,Sal-1,Sal-1,Sal-1,Cho-2,Cho-2,Cho-2,Sal-2,Sal-2,Sal-2,Cho-3,Cho-3,Cho-3,Sal-3,Sal-3,Sal-3,Cho-4,Cho-4,Cho-4,Sal-4,Sal-4,Sal-4,Cho-5,Cho-5,Cho-5,Sal-5,Sal-5,Sal-5,Cho-6,Cho-6,Cho-6,Sal-6,Sal-6,Sal-6
time,A3,A4,A5,A8,A9,A10,B3,B4,B5,B8,B9,B10,C3,C4,C5,C8,C9,C10,D3,D4,D5,D8,D9,D10,E3,E4,E5,E8,E9,E10,F3,F4,F5,F8,F9,F10,G3,G4,G5,G8,G9,G10,H3,H4,H5,H8,H9,H10
0:00:12,0.0389,0.0377,0.0392,0.0385,0.0384,0.0378,0.0398,0.0386,0.039,0.0391,0.0386,0.0383,0.0392,0.0394,0.0384,0.0393,0.039,0.0386,0.0389,0.0391,0.0391,0.0379,0.0387,0.0387,0.0388,0.0381,0.0382,0.0391,0.0389,0.0387,0.0385,0.0383,0.0386,0.0381,0.0388,0.0387,0.039,0.0392,0.0385,0.0389,0.0388,0.0388,0.0384,0.0391,0.038,0.039,0.0378,0.0389
0:20:45,0.0386,0.0375,0.039,0.0385,0.0382,0.0376,0.0389,0.0384,0.0389,0.0389,0.0385,0.0382,0.0389,0.0391,0.0381,0.039,0.0388,0.0384,0.0388,0.0389,0.0389,0.0378,0.0385,0.0386,0.0384,0.0379,0.038,0.039,0.0386,0.0386,0.0384,0.038,0.0385,0.0376,0.0386,0.0386,0.0388,0.0389,0.0383,0.0388,0.0387,0.0387,0.0381,0.039,0.0378,0.0388,0.0375,0.0388
0:34:33,0.0413,0.0404,0.0418,0.0451,0.0451,0.0446,0.0405,0.0404,0.0409,0.0467,0.0463,0.0461,0.0422,0.0426,0.0416,0.0432,0.043,0.0432,0.0423,0.0428,0.0428,0.044,0.0472,0.0472,0.0419,0.0417,0.0418,0.0443,0.0448,0.0448,0.0413,0.041,0.0413,0.043,0.0443,0.0447,0.0413,0.0417,0.0408,0.0431,0.0433,0.0435,0.0407,0.0419,0.0406,0.0445,0.0434,0.0455
1:00:41,0.0428,0.0421,0.0435,0.0482,0.0488,0.0479,0.0416,0.0417,0.0424,0.0508,0.051,0.0503,0.0446,0.0453,0.0444,0.0457,0.0461,0.0463,0.0449,0.0457,0.0457,0.0475,0.0521,0.0522,0.0441,0.0439,0.0441,0.0471,0.0478,0.0477,0.0431,0.0428,0.043,0.0456,0.0491,0.0477,0.0425,0.0431,0.0423,0.0452,0.0454,0.0458,0.0421,0.0434,0.0422,0.0472,0.0463,0.0489
1:16:59,0.0444,0.044,0.0451,0.0519,0.0524,0.0518,0.0445,0.0434,0.0441,0.0552,0.0553,0.0547,0.0472,0.048,0.0472,0.0481,0.0485,0.0495,0.0476,0.0487,0.0485,0.051,0.057,0.0576,0.0464,0.0463,0.0464,0.0499,0.0507,0.0509,0.0449,0.0447,0.0447,0.048,0.0508,0.0507,0.0441,0.0448,0.0438,0.0473,0.0477,0.0482,0.0439,0.0451,0.0441,0.0501,0.0491,0.052
1:37:44,0.0472,0.047,0.0483,0.0577,0.0583,0.0578,0.0457,0.0462,0.047,0.0623,0.0623,0.0616,0.052,0.0531,0.0524,0.0524,0.0533,0.0546,0.0526,0.054,0.0538,0.0571,0.0651,0.0656,0.05,0.0503,0.0503,0.0547,0.0559,0.0564,0.0479,0.0478,0.0476,0.0529,0.0584,0.0562,0.0466,0.0474,0.0463,0.0509,0.052,0.0526,0.0465,0.048,0.0468,0.0549,0.0543,0.058
1:51:03,0.05,0.0499,0.051,0.0621,0.0632,0.0621,0.0482,0.0487,0.05,0.067,0.0666,0.0666,0.0567,0.058,0.0572,0.056,0.0572,0.0591,0.0571,0.059,0.0589,0.0616,0.0717,0.0719,0.0534,0.0541,0.0538,0.0585,0.06,0.0604,0.0507,0.0505,0.0502,0.0565,0.0589,0.0601,0.0488,0.0498,0.0485,0.0543,0.0558,0.0559,0.049,0.0506,0.0496,0.0585,0.058,0.0621
2:10:20,0.0544,0.0548,0.056,0.0706,0.0718,0.0708,0.0526,0.0538,0.0555,0.0759,0.0754,0.0755,0.0656,0.0672,0.0665,0.0621,0.064,0.0664,0.0662,0.0692,0.069,0.0703,0.0839,0.0842,0.0599,0.0608,0.0609,0.0652,0.0674,0.0681,0.0559,0.0557,0.0551,0.0628,0.0659,0.0676,0.0529,0.0544,0.0529,0.0593,0.0605,0.0616,0.0531,0.055,0.054,0.0651,0.0649,0.0702
2:30:55,0.0622,0.0632,0.0643,0.0818,0.0835,0.0826,0.0605,0.0622,0.0643,0.0901,0.0893,0.0896,0.0819,0.0846,0.0841,0.0721,0.075,0.0788,0.0822,0.0869,0.086,0.0828,0.1008,0.1019,0.0703,0.0721,0.072,0.0752,0.0781,0.0788,0.0644,0.0641,0.063,0.0722,0.076,0.0781,0.0596,0.0615,0.0598,0.0672,0.0689,0.0702,0.0604,0.0629,0.0619,0.0754,0.0756,0.0823
