sample,#_well_od,Tube Name:,concentration(mM)
Sal-6,H9,H9,0.000038000000
Sal-6,H8,H8,0.000038000000
Cho-6,H5,H3,0.000012715658
Cho-6,H4,H2,0.000012715658
Cho-6,H3,H1,0.000012715658
Sal-6,H10,H10,0.000038000000
Sal-5,G9,G9,0.000305000000
Sal-5,G8,G8,0.000305000000
Cho-5,G5,G3,0.000101725260
Cho-5,G4,G2,0.000101725260
Cho-5,G3,G1,0.000101725260
Sal-5,G10,G10,0.000305000000
Sal-4,F9,F9,0.002441000000
Sal-4,F8,F8,0.002441000000
Cho-4,F5,F3,0.000813802083
Cho-4,F4,F2,0.000813802083
Cho-4,F3,F1,0.000813802083
Sal-4,F10,F10,0.002441000000
Sal-3,E9,E9,0.019531000000
Sal-3,E8,E8,0.019531000000
Cho-3,E5,E3,0.006510416667
Cho-3,E4,E2,0.006510416667
Cho-3,E3,E1,0.006510416667
Sal-3,E10,E10,0.019531000000
Sal-2,D9,D9,0.156250000000
Sal-2,D8,D8,0.156250000000
Cho-2,D5,D3,0.052083333333
Cho-2,D4,D2,0.052083333333
Cho-2,D3,D1,0.052083333333
Sal-2,D10,D10,0.156250000000
Sal-1,C9,C9,1.250000000000
Sal-1,C8,C8,1.250000000000
Cho-1,C5,C3,0.416666666667
Cho-1,C4,C2,0.416666666667
Cho-1,C3,C1,0.416666666667
Sal-1,C10,C10,1.250000000000
Sal-0,B9,B9,10.000000000000
Sal-0,B8,B8,10.000000000000
Cho-0,B5,B3,3.333333333333
Cho-0,B4,B2,3.333333333333
Cho-0,B3,B1,3.333333333333
Sal-0,B10,B10,10.000000000000
Sal-NA,A9,A9,0.000000000000
Sal-NA,A8,A8,0.000000000000
Cho-NA,A5,A3,0.000000000000
Cho-NA,A4,A2,0.000000000000
Cho-NA,A3,A1,0.000000000000
Sal-NA,A10,A10,0.000000000000
