sample,#_well_od,Tube Name:,concentration(mM)
rLacI-H,H7,H7,0
rLacI-H,H8,H8,0
rLacI-H,H6,H6,0
rLacI-G,G8,G8,0.0015625
rLacI-G,G6,G6,0.0015625
rLacI-G,G7,G7,0.0015625
rLacI-F,F8,F8,0.003125
rLacI-F,F7,F7,0.003125
rLacI-F,F6,F6,0.003125
rLacI-E,E6,E6,0.00625
rLacI-E,E8,E8,0.00625
rLacI-E,E7,E7,0.00625
rLacI-D,D6,D6,0.0125
rLacI-D,D8,D8,0.0125
rLacI-D,D7,D7,0.0125
rLacI-C,C8,C8,0.025
rLacI-C,C7,C7,0.025
rLacI-C,C6,C6,0.025
rLacI-B,B8,B8,0.05
rLacI-B,B6,B6,0.05
rLacI-B,B7,B7,0.05
rLacI-A,A8,A8,0.1
rLacI-A,A7,A7,0.1
rLacI-A,A6,A6,0.1
C4-H,H12,H12,0
C4-H,H10,H10,0
C4-H,H11,H11,0
C4-G,G12,G12,0.0015625
C4-G,G10,G10,0.0015625
C4-G,G11,G11,0.0015625
C4-F,F10,F10,0.003125
C4-F,F11,F11,0.003125
C4-F,F12,F12,0.003125
C4-E,E10,E10,0.00625
C4-E,E12,E12,0.00625
C4-E,E11,E11,0.00625
C4-D,D10,D10,0.0125
C4-D,D12,D12,0.0125
C4-D,D11,D11,0.0125
C4-C,C10,C10,0.025
C4-C,C12,C12,0.025
C4-C,C11,C11,0.025
C4-B,B10,B10,0.05
C4-B,B12,B12,0.05
C4-B,B11,B11,0.05
C4-A,A10,A10,0.1
C4-A,A12,A12,0.1
C4-A,A11,A11,0.1
Blank-H,H3,H3,0
Blank-H,H2,H2,0
Blank-H,H4,H4,0
Blank-G,G3,G3,0.0015625
Blank-G,G4,G4,0.0015625
Blank-G,G2,G2,0.0015625
Blank-F,F4,F4,0.003125
Blank-F,F3,F3,0.003125
Blank-F,F2,F2,0.003125
Blank-E,E4,E4,0.00625
Blank-E,E3,E3,0.00625
Blank-E,E2,E2,0.00625
Blank-D,D3,D3,0.0125
Blank-D,D4,D4,0.0125
Blank-D,D2,D2,0.0125
Blank-C,C4,C4,0.025
Blank-C,C3,C3,0.025
Blank-C,C2,C2,0.025
Blank-B,B3,B3,0.05
Blank-B,B4,B4,0.05
Blank-B,B2,B2,0.05
Blank-A,A3,A3,0.1
Blank-A,A4,A4,0.1
Blank-A,A2,A2,0.1
