,0.18176,0.40619375,0.8843265,1.12682533333333,1.52532975,gene,locus_tag
15,2374.474735709708,3848.4103325660326,6014.577947476,5624.51082982059,7629.478170902068,rplQ,HHKABJCC_00021
17,3428.2545440787117,4146.616910853069,5277.523960203836,4702.15983639753,7989.420606694748,rpsD,HHKABJCC_00023
18,4529.407197345311,6621.282161617228,10015.563962411092,9116.908904995844,11566.962526593561,rpsK,HHKABJCC_00024
19,4819.8483080848055,7020.8943992827035,9402.511126936792,8225.682346179212,10750.173685678685,rpsM,HHKABJCC_00025
20,1533.4877013004884,2548.6067714535257,3764.731565938029,4028.227621513924,6427.89512439075,rpmJ,HHKABJCC_00026
22,2533.747026732906,4416.953366567186,6278.7351707045,5887.023515228811,8811.44114119048,rplO,HHKABJCC_00028
23,2681.1208639909437,4147.829990085796,6293.429649003058,5617.4337595702855,9671.584093806407,rpmD,HHKABJCC_00029
24,2331.4413840686734,3932.2145524738285,6004.689635457111,5412.246576450275,8581.163262823102,rpsE,HHKABJCC_00030
25,2057.5213648005965,4038.918842188278,5805.839984118815,5103.506715503965,9277.092272240614,rplR,HHKABJCC_00031
26,2657.342257344213,4863.557991652731,6761.90683593577,6020.32029499224,8729.558840908174,rplF,HHKABJCC_00032
27,2243.806541557821,4108.608764697816,6449.608906518901,5516.43436752796,9157.477291114483,rpsH,HHKABJCC_00033
28,4317.560837197083,7185.689537275724,8737.548337536693,7885.704200722206,10803.441148413425,rpsN,HHKABJCC_00034
29,3546.5516559948746,5828.343425863926,7286.587208857398,6418.347560745757,8058.503331929296,rplE,HHKABJCC_00035
30,1982.136701165751,2813.6394966494695,3975.974282727029,3752.551536687948,7365.699878924908,rplX,HHKABJCC_00036
31,1536.7443725449925,2097.096177152466,3048.5242659213895,2782.616340066428,5380.067576861571,rplN,HHKABJCC_00037
32,1968.464814683714,4407.788302517864,6635.555409492325,6409.086916006974,7378.728976918401,rpsQ,HHKABJCC_00038
33,2112.5287368011527,4725.079352452578,6968.560697483307,7184.896301397049,9812.013043058458,rpmC,HHKABJCC_00039
34,1494.0191331060669,3169.5134953367246,4562.957155001286,4626.250216281889,7917.322111223714,rplP,HHKABJCC_00040
35,1442.931433337573,3383.93903318024,5408.078647185822,4910.699042253082,8230.66261323803,rpsC,HHKABJCC_00041
36,1637.4900173879632,3907.25738686088,6334.98663452343,5873.867095157878,9079.825194662675,rplV,HHKABJCC_00042
37,2553.7314135048014,5619.476545483736,7371.853776968286,6663.4782442685355,8385.670299979047,rpsS,HHKABJCC_00043
38,1883.5915889145022,4159.887016098131,5928.686644712295,5205.494710086283,7215.426571586478,rplB,HHKABJCC_00044
39,2725.6504731488735,6340.676226415042,7902.816419104351,7018.456226970515,9594.006816755653,rplW,HHKABJCC_00045
40,1451.0834294363324,3343.563181395641,4959.873620514043,3891.0811200495045,8002.639711422826,rplD,HHKABJCC_00046
41,1959.5872466679625,4297.36079445931,6548.069933509905,5377.198455776008,10746.332239316347,rplC,HHKABJCC_00047
42,3710.1644853652306,7815.962190302445,9173.224409460367,8257.606364407537,11521.169253667098,rpsJ,HHKABJCC_00048
62,2131.0781075500317,3384.300831329914,5015.298308158002,4533.169410470422,6211.432866227715,rpsG,HHKABJCC_00068
63,1251.3801924097406,1827.242619355791,2783.7215577461598,2685.682828874509,4864.426626792709,rpsL,HHKABJCC_00069
364,696.3582341854992,966.6596689909004,1708.6266254109178,1709.642530892259,3720.2781151606487,rpmG,HHKABJCC_00371
365,2104.474235597108,3259.8114987530917,5186.956200495311,4894.08262642469,8037.901460115438,rpmB,HHKABJCC_00372
432,638.6023003984001,875.8302084230655,1239.143788878934,1151.9075091462742,2407.0280578169322,rpmH,HHKABJCC_00440
648,714.6498896615136,1323.219526489273,2419.779798326639,2644.3747705553014,4591.314288167176,rpmE,HHKABJCC_00671
685,2346.6153192411393,4476.523831646271,7397.409611307976,6646.499831078843,8977.805655597796,rplK,HHKABJCC_00716
686,1893.8747607511755,3905.3899026640265,6023.290898766047,5707.052213184685,9091.988146823409,rplA,HHKABJCC_00717
687,1979.155250978891,4327.996034705839,6988.629783659446,6593.921255683048,8624.99494849944,rplJ,HHKABJCC_00718
688,790.6488902298795,2110.2692158093855,3916.3930550869527,4116.659298494528,6914.222521660677,rplL,HHKABJCC_00719
904,2694.0831753944613,4706.618188837216,7762.248534589582,6376.1956817709415,9788.320861160748,rpsF,HHKABJCC_00943
906,2611.513684784768,5152.139158146498,7835.8971470350625,6806.499294365577,8194.867628151515,rpsR,HHKABJCC_00945
907,681.0204184958986,1324.488093312486,2222.674001132947,1899.8243014996624,4357.773577208,rplI,HHKABJCC_00946
1128,439.8391759942022,471.23628633055665,763.0619845866382,785.2043043469401,1634.4900287985047,rpsT,HHKABJCC_01171
