,r_square,const,rate,doubling_time,diauxic_growth,sample,#_well
16,0.9972445492407541,-4.206794698663101,0.8385156978737524,0.8266359023660236,,Conc4,B5
8,0.9984311302417623,-4.170108184962597,0.8382701161162261,0.826878075734529,,Conc2,C3
3,0.9977039598537445,-4.145950203289565,0.8339754381252383,0.8311362048241224,,Conc6,B7
13,0.9984400949475142,-4.057610962417225,0.8336072547369667,0.8315032968117082,,Conc1,C2
14,0.9979979034390797,-4.108874286740115,0.8307432263874268,0.8343699455416179,,Conc2,B3
17,0.9981913143379648,-4.006844183771938,0.8284942582720566,0.836634863355122,,Conc1,B2
12,0.9979169186216716,-4.1132572062869945,0.8269183943017852,0.8382292440661081,,Conc6,C7
6,0.9974189861328057,-4.149026499869358,0.8256685961033131,0.8394980550685909,,Conc2,D3
1,0.9978808168370249,-4.013491778382077,0.8222006700509975,0.8430389390426456,,Conc3,B4
4,0.9972435921211363,-4.081227077758072,0.8220413759655831,0.8432023020079292,,Conc4,C5
5,0.9985518851275914,-4.02180891472245,0.8207755287429174,0.8445027370900726,,Conc1,D2
15,0.9970428063025841,-4.136159322021074,0.8190730855149072,0.8462580358432861,,Conc4,D5
2,0.9978959194540735,-4.070390630179935,0.8176464432121262,0.8477346001003988,,Conc3,C4
11,0.9972673514599766,-4.030734338699499,0.8130081885410141,0.8525709707842357,,Conc5,C6
9,0.9974727976590809,-4.052113378325792,0.8115551172757334,0.8540974800168035,,Conc6,D7
7,0.9966057496633131,-4.058407791758138,0.8114660752425508,0.8541911999867161,,Conc5,D6
10,0.9967877220604209,-4.056533302495664,0.8105585679596096,0.8551475586826257,,Conc3,D4
0,0.9907790173187987,-4.021493191601348,0.7883894572990863,0.8791938732090255,,Conc5,B6
