,gene,locus_tag,product,length,strand,counts,coverage,RPKM,TPM,coverage_FPKM,coverage_TPM,htseq_counts,htseq_FPKM,htseq_TPM
0,yrdA,HHKABJCC_00006,hexapeptide repeat-containing protein YrdA,555,+,296,60445.29036378517,88.28184818711294,82.14292578693363,108.91043308790121,104.56142960833968,296.0,90.14378045662558,88.83328475220236
1,HHKABJCC_00007,HHKABJCC_00007,hypothetical protein,258,-,147,13567.935753283768,94.31273025803489,87.754433798541,52.58889826854173,50.488922214166806,94.5,61.90833759557498,61.00832419391804
2,aroE,HHKABJCC_00008,shikimate dehydrogenase,819,-,690,132107.18922238663,139.4562162296427,129.7587426579309,161.30303934357343,154.86189812799432,612.5,126.4035383005567,124.56590409964274
3,tsaC,HHKABJCC_00009,threonylcarbamoyl-AMP synthase,573,-,526,101132.28741982256,151.9510868665622,141.3847479186096,176.49613860352977,169.44830765517233,487.5,143.79938799936178,141.70885574835944
4,yrdD,HHKABJCC_00010,putative DNA topoisomerase,543,-,869,174964.8038458922,264.90651268853986,246.485505900709,322.2187916130611,309.3519743011301,842.5,262.2449414181873,258.4324668637102
5,HHKABJCC_00011,HHKABJCC_00011,hypothetical protein,474,-,679,121651.24245014874,237.1177805342155,220.62914006854405,256.6481908230986,246.39973396486565,522.0,186.13549603781073,183.42948829370897
6,smf,HHKABJCC_00012,protein Smf,1125,-,449,65797.23900303153,66.06424972668951,61.47028946388866,58.48643466936136,56.15095862108498,297.0,44.62117132602966,43.97247595234017
7,def,HHKABJCC_00013,peptide deformylase,510,+,1426,284811.0806677386,462.83057174567296,430.64636828002705,558.4530993485071,536.1529908705767,1354.5,448.8961420165417,442.3701624884489
8,fmt,HHKABJCC_00014,10-formyltetrahydrofolate:L-methionyl-tRNA(fMet) N-formyltransferase,948,+,1284,244103.07085693383,224.1967821840447,208.6066390633362,257.49269077735636,247.21051140847473,1205.5,214.92944489806592,211.80483538128945
9,rsmB,HHKABJCC_00015,16S rRNA m(5)C967 methyltransferase,1290,+,651,130213.94001784755,83.53413251425948,77.72535565013634,100.94103877352524,96.91026856712723,635.0,83.19956481098436,81.99002299076817
10,trkA,HHKABJCC_00016,NAD-binding component of Trk potassium transporters,1377,+,1060,218814.22049441718,127.42205756854537,118.56141249203384,158.9064782094533,152.56103629848405,1054.0,129.37301824793485,127.49221422769783
11,mscL,HHKABJCC_00017,large conductance mechanosensitive channel,411,+,1000,192749.99948098496,402.74565778792396,374.7396249403906,468.9781009269707,450.2509015674437,995.0,409.18367497419,403.2350288706266
12,arfA,HHKABJCC_00018,alternative ribosome-rescue factor A,219,-,69,10197.489888599366,52.152804151633504,48.526214720020725,46.56388076986012,44.70449527529903,59.5,45.92084706480498,45.253257215377054
13,zntR,HHKABJCC_00019,DNA-binding transcriptional activator ZntR,426,-,191,29922.162788719346,74.21581427701837,69.05501243531833,70.23981875286232,67.43500742763857,159.0,63.0847759357547,62.167659663733176
14,HHKABJCC_00020,HHKABJCC_00020,hypothetical protein,369,-,210,39928.43660893575,94.20319166307783,87.6525122726426,108.2071452816687,103.8862254395487,186.5,85.42588950793024,84.18398173925681
15,rplQ,HHKABJCC_00021,50S ribosomal subunit protein L17,384,-,6045,902586.0708280959,2605.7801381401255,2424.5800116309265,2350.4845594481662,2256.6251812612727,4864.0,2140.9147858448573,2109.790512864806
16,rpoA,HHKABJCC_00022,RNA polymerase subunit alpha,990,-,21520,3794397.1035951586,3598.1541155050577,3347.946520709871,3832.724347065817,3679.6762776661085,19287.0,3292.808889520715,3244.938566317665
17,rpsD,HHKABJCC_00023,30S ribosomal subunit protein S4,621,-,12433,2119504.041496593,3314.0344761786687,3083.58392605358,3413.049986306913,3276.7603229062897,11288.0,3072.29164792992,3027.627168728443
18,rpsK,HHKABJCC_00024,30S ribosomal subunit protein S11,390,-,10520,1761072.673225935,4465.024244848212,4154.536438839144,4515.570956989577,4335.255506510148,9196.0,3985.3952167265807,3927.456185486793
19,rpsM,HHKABJCC_00025,30S ribosomal subunit protein S13,357,-,10646,1745996.021680355,4936.179389705905,4592.92850802361,4890.745158768502,4695.448279396385,9426.0,4462.685265673071,4397.807468877413
20,rpmJ,HHKABJCC_00026,50S ribosomal subunit protein L36,117,-,1263,177669.14538445132,1786.858561864161,1662.6044113605317,1518.5397041406095,1457.9014873057754,1196.5,1728.4780980184696,1703.349762916829
21,secY,HHKABJCC_00027,Sec translocon subunit SecY,1332,-,14546,2607808.9431578675,1807.6404331781316,1681.9411577938295,1957.814521890291,1879.6352150357777,13271.0,1683.9781960020803,1659.496793280514
22,rplO,HHKABJCC_00028,50S ribosomal subunit protein L15,435,-,6448,1084129.9681916484,2453.6265392694145,2283.006833940293,2492.252800440571,2392.732343182679,4703.5,1827.5485835247343,1800.979977724068
